Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,8.99
2019-03-27,@ MEM,9300.00,10.38
2019-03-24,vs. DET,9900.00,8.98
2019-03-21,vs. IND,9800.00,4.8
2019-03-19,@ MIN,9400.00,-1.33
2019-03-18,@ SAS,9400.00,-8.13
2019-03-16,@ OKC,9300.00,4.85
2019-03-13,@ HOU,9200.00,11.51
2019-03-10,vs. PHX,9300.00,6.2
2019-03-08,vs. DEN,9100.00,2.39
2019-03-05,vs. BOS,9400.00,5.99
2019-03-02,@ PHI,9400.00,17.07
2019-02-28,@ ORL,9300.00,13.04
2019-02-27,@ MIA,9300.00,13.36
2019-02-25,@ CHA,9600.00,13.23
2019-02-23,vs. HOU,9500.00,-0.54
2019-02-21,vs. SAC,9500.00,4.25
2019-02-17,vs. LBN,-,8.72
2019-02-13,@ POR,9100.00,7.15
2019-02-12,vs. UTA,9100.00,13.72
2019-02-10,vs. MIA,9200.00,-3.59
2019-02-08,@ PHX,9200.00,7.53
2019-02-06,vs. SAS,9200.00,6.96
2019-02-02,vs. LAL,9500.00,5.29
2019-01-31,vs. PHI,9200.00,7.98
2019-01-28,@ IND,9600.00,6.01
2019-01-26,@ BOS,9800.00,11.96
2019-01-24,@ WAS,9800.00,12.23
2019-01-21,@ LAL,10000.00,18.44
2019-01-18,@ LAC,10400.00,10.62
2019-01-16,vs. NOP,10000.00,12.32
2019-01-15,@ DEN,10000.00,11.27
2019-01-13,@ DAL,10200.00,7.71
2019-01-11,vs. CHI,10200.00,4.41
2019-01-08,vs. NYK,10400.00,13.22
2019-01-05,@ SAC,10100.00,8.88
2019-01-03,vs. HOU,10400.00,-4.97
2018-12-31,@ PHX,10100.00,3.64
2018-12-29,@ POR,9800.00,1.36
2018-12-27,vs. POR,9700.00,8.06
2018-12-25,vs. LAL,9700.00,10.28
2018-12-23,vs. LAC,9500.00,13.52
2018-12-22,vs. DAL,9400.00,7.39
2018-12-19,@ UTA,9200.00,5.13
2018-12-17,vs. MEM,9600.00,19.07
2018-12-14,@ SAC,9400.00,8.49
2018-12-12,vs. TOR,9400.00,10.05
2018-12-10,vs. MIN,9200.00,3.09
2018-12-07,@ MIL,9900.00,5.38
2018-12-05,@ CLE,9700.00,9.05
2018-12-03,@ ATL,9700.00,-2.68
2018-12-01,@ DET,9600.00,2.78
2018-11-08,vs. MIL,10700.00,13.84
2018-11-05,vs. MEM,10700.00,12.4
2018-11-02,vs. MIN,10700.00,5.31
2018-10-31,vs. NOP,9900.00,-7.61
2018-10-29,@ CHI,9800.00,8.71
2018-10-28,@ BKN,10000.00,3.83
2018-10-26,@ NYK,9900.00,16.29
2018-10-24,vs. WAS,9300.00,10.82
2018-10-22,vs. PHX,10200.00,11.22
2018-10-21,@ DEN,9800.00,10.36
2018-10-19,@ UTA,9600.00,2.83
2018-10-16,vs. OKC,9600.00,5.62
