Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,10.86
2019-03-27,@ MEM,9300.00,9.31
2019-03-24,vs. DET,9900.00,7.87
2019-03-21,vs. IND,9800.00,18.29
2019-03-19,@ MIN,9400.00,9.89
2019-03-18,@ SAS,9400.00,8.92
2019-03-16,@ OKC,9300.00,8.06
2019-03-13,@ HOU,9200.00,17.89
2019-03-10,vs. PHX,9300.00,0.96
2019-03-08,vs. DEN,9100.00,10.48
2019-03-05,vs. BOS,9400.00,7.57
2019-03-02,@ PHI,9400.00,14.84
2019-02-28,@ ORL,9300.00,-3.9
2019-02-27,@ MIA,9300.00,14.84
2019-02-25,@ CHA,9600.00,12.08
2019-02-23,vs. HOU,9500.00,3.27
2019-02-21,vs. SAC,9500.00,8.2
2019-02-17,vs. LBN,-,11.81
2019-02-13,@ POR,9100.00,8.48
2019-02-12,vs. UTA,9100.00,-3.81
2019-02-10,vs. MIA,9200.00,4.98
2019-02-08,@ PHX,9200.00,13.95
2019-02-06,vs. SAS,9200.00,8.65
2019-02-02,vs. LAL,9500.00,18.14
2019-01-31,vs. PHI,9200.00,11.81
2019-01-28,@ IND,9600.00,6.99
2019-01-26,@ BOS,9800.00,3.76
2019-01-24,@ WAS,9800.00,-0.22
2019-01-21,@ LAL,10000.00,18.85
2019-01-18,@ LAC,10400.00,14.01
2019-01-16,vs. NOP,10000.00,7.96
2019-01-15,@ DEN,10000.00,9.79
2019-01-13,@ DAL,10200.00,8.68
2019-01-11,vs. CHI,10200.00,14.67
2019-01-08,vs. NYK,10400.00,8.47
2019-01-05,@ SAC,10100.00,1.18
2019-01-03,vs. HOU,10400.00,9.49
2018-12-31,@ PHX,10100.00,17.71
2018-12-29,@ POR,9800.00,13.68
2018-12-27,vs. POR,9700.00,15.66
2018-12-25,vs. LAL,9700.00,1.34
2018-12-23,vs. LAC,9500.00,19.66
2018-12-22,vs. DAL,9400.00,6.72
2018-12-19,@ UTA,9200.00,8.16
2018-12-17,vs. MEM,9600.00,2.26
2018-12-14,@ SAC,9400.00,5.08
2018-12-12,vs. TOR,9400.00,-1.9
2018-12-10,vs. MIN,9200.00,5.49
2018-12-07,@ MIL,9900.00,-1.95
2018-12-05,@ CLE,9700.00,2.53
2018-12-03,@ ATL,9700.00,20.11
2018-12-01,@ DET,9600.00,13.31
2018-11-08,vs. MIL,10700.00,17.13
2018-11-05,vs. MEM,10700.00,0.3
2018-11-02,vs. MIN,10700.00,15.59
2018-10-31,vs. NOP,9900.00,17.45
2018-10-29,@ CHI,9800.00,16.3
2018-10-28,@ BKN,10000.00,6.82
2018-10-26,@ NYK,9900.00,-0.64
2018-10-24,vs. WAS,9300.00,8.97
2018-10-22,vs. PHX,10200.00,7.03
2018-10-21,@ DEN,9800.00,14.78
2018-10-19,@ UTA,9600.00,5.59
2018-10-16,vs. OKC,9600.00,10.8
