Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,28.3
2019-03-27,@ MEM,9300.00,29.84
2019-03-24,vs. DET,9900.00,27.66
2019-03-21,vs. IND,9800.00,47.08
2019-03-19,@ MIN,9400.00,22.95
2019-03-18,@ SAS,9400.00,27.83
2019-03-16,@ OKC,9300.00,26.91
2019-03-13,@ HOU,9200.00,30.67
2019-03-10,vs. PHX,9300.00,35.1
2019-03-08,vs. DEN,9100.00,37.51
2019-03-05,vs. BOS,9400.00,22.05
2019-03-02,@ PHI,9400.00,31.29
2019-02-28,@ ORL,9300.00,36.34
2019-02-27,@ MIA,9300.00,27.25
2019-02-25,@ CHA,9600.00,43.19
2019-02-23,vs. HOU,9500.00,32.77
2019-02-21,vs. SAC,9500.00,27.96
2019-02-17,vs. LBN,-,28.62
2019-02-13,@ POR,9100.00,29.12
2019-02-12,vs. UTA,9100.00,31.62
2019-02-10,vs. MIA,9200.00,18.58
2019-02-08,@ PHX,9200.00,31.81
2019-02-06,vs. SAS,9200.00,34.56
2019-02-02,vs. LAL,9500.00,30.15
2019-01-31,vs. PHI,9200.00,31.56
2019-01-28,@ IND,9600.00,29.85
2019-01-26,@ BOS,9800.00,29.65
2019-01-24,@ WAS,9800.00,33.42
2019-01-21,@ LAL,10000.00,34.69
2019-01-18,@ LAC,10400.00,21.4
2019-01-16,vs. NOP,10000.00,22.66
2019-01-15,@ DEN,10000.00,28.45
2019-01-13,@ DAL,10200.00,36.58
2019-01-11,vs. CHI,10200.00,27.84
2019-01-08,vs. NYK,10400.00,32.94
2019-01-05,@ SAC,10100.00,31.26
2019-01-03,vs. HOU,10400.00,27.25
2018-12-31,@ PHX,10100.00,27.47
2018-12-29,@ POR,9800.00,26.09
2018-12-27,vs. POR,9700.00,28.52
2018-12-25,vs. LAL,9700.00,22.31
2018-12-23,vs. LAC,9500.00,24.61
2018-12-22,vs. DAL,9400.00,29.87
2018-12-19,@ UTA,9200.00,38.3
2018-12-17,vs. MEM,9600.00,21.72
2018-12-14,@ SAC,9400.00,32.21
2018-12-12,vs. TOR,9400.00,27.36
2018-12-10,vs. MIN,9200.00,23.65
2018-12-07,@ MIL,9900.00,28.03
2018-12-05,@ CLE,9700.00,35.12
2018-12-03,@ ATL,9700.00,35.71
2018-12-01,@ DET,9600.00,33.78
2018-11-08,vs. MIL,10700.00,22.33
2018-11-05,vs. MEM,10700.00,24.4
2018-11-02,vs. MIN,10700.00,28.25
2018-10-31,vs. NOP,9900.00,30.81
2018-10-29,@ CHI,9800.00,31.2
2018-10-28,@ BKN,10000.00,13.22
2018-10-26,@ NYK,9900.00,30.46
2018-10-24,vs. WAS,9300.00,33.38
2018-10-22,vs. PHX,10200.00,29.58
2018-10-21,@ DEN,9800.00,19.39
2018-10-19,@ UTA,9600.00,23.76
2018-10-16,vs. OKC,9600.00,36.63
