Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,42.78
2019-03-27,@ MEM,9300.00,52.08
2019-03-24,vs. DET,9900.00,57.79
2019-03-21,vs. IND,9800.00,44.05
2019-03-19,@ MIN,9400.00,44.63
2019-03-18,@ SAS,9400.00,47.12
2019-03-16,@ OKC,9300.00,37.96
2019-03-13,@ HOU,9200.00,38.23
2019-03-10,vs. PHX,9300.00,43.59
2019-03-08,vs. DEN,9100.00,36.14
2019-03-05,vs. BOS,9400.00,47.27
2019-03-02,@ PHI,9400.00,33.0
2019-02-28,@ ORL,9300.00,30.71
2019-02-27,@ MIA,9300.00,41.35
2019-02-25,@ CHA,9600.00,38.47
2019-02-23,vs. HOU,9500.00,47.72
2019-02-21,vs. SAC,9500.00,27.91
2019-02-17,vs. LBN,-,43.18
2019-02-13,@ POR,9100.00,33.36
2019-02-12,vs. UTA,9100.00,50.2
2019-02-10,vs. MIA,9200.00,39.38
2019-02-08,@ PHX,9200.00,51.09
2019-02-06,vs. SAS,9200.00,37.37
2019-02-02,vs. LAL,9500.00,55.31
2019-01-31,vs. PHI,9200.00,45.32
2019-01-28,@ IND,9600.00,46.66
2019-01-26,@ BOS,9800.00,43.72
2019-01-24,@ WAS,9800.00,49.67
2019-01-21,@ LAL,10000.00,42.34
2019-01-18,@ LAC,10400.00,32.69
2019-01-16,vs. NOP,10000.00,34.01
2019-01-15,@ DEN,10000.00,43.09
2019-01-13,@ DAL,10200.00,41.01
2019-01-11,vs. CHI,10200.00,54.59
2019-01-08,vs. NYK,10400.00,34.95
2019-01-05,@ SAC,10100.00,52.6
2019-01-03,vs. HOU,10400.00,46.98
2018-12-31,@ PHX,10100.00,37.03
2018-12-29,@ POR,9800.00,46.41
2018-12-27,vs. POR,9700.00,42.24
2018-12-25,vs. LAL,9700.00,42.95
2018-12-23,vs. LAC,9500.00,57.09
2018-12-22,vs. DAL,9400.00,41.76
2018-12-19,@ UTA,9200.00,56.64
2018-12-17,vs. MEM,9600.00,41.96
2018-12-14,@ SAC,9400.00,33.42
2018-12-12,vs. TOR,9400.00,51.1
2018-12-10,vs. MIN,9200.00,36.14
2018-12-07,@ MIL,9900.00,40.54
2018-12-05,@ CLE,9700.00,39.99
2018-12-03,@ ATL,9700.00,41.4
2018-12-01,@ DET,9600.00,45.92
2018-11-08,vs. MIL,10700.00,36.83
2018-11-05,vs. MEM,10700.00,39.95
2018-11-02,vs. MIN,10700.00,48.77
2018-10-31,vs. NOP,9900.00,52.45
2018-10-29,@ CHI,9800.00,43.34
2018-10-28,@ BKN,10000.00,41.37
2018-10-26,@ NYK,9900.00,39.41
2018-10-24,vs. WAS,9300.00,48.21
2018-10-22,vs. PHX,10200.00,34.44
2018-10-21,@ DEN,9800.00,40.09
2018-10-19,@ UTA,9600.00,45.97
2018-10-16,vs. OKC,9600.00,42.3
