Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,36.36
2019-03-27,@ MEM,9300.00,16.62
2019-03-24,vs. DET,9900.00,26.32
2019-03-21,vs. IND,9800.00,29.65
2019-03-19,@ MIN,9400.00,35.25
2019-03-18,@ SAS,9400.00,41.84
2019-03-16,@ OKC,9300.00,32.25
2019-03-13,@ HOU,9200.00,33.82
2019-03-10,vs. PHX,9300.00,39.16
2019-03-08,vs. DEN,9100.00,24.83
2019-03-05,vs. BOS,9400.00,34.66
2019-03-02,@ PHI,9400.00,38.62
2019-02-28,@ ORL,9300.00,27.5
2019-02-27,@ MIA,9300.00,35.61
2019-02-25,@ CHA,9600.00,31.36
2019-02-23,vs. HOU,9500.00,19.1
2019-02-21,vs. SAC,9500.00,25.35
2019-02-17,vs. LBN,-,31.89
2019-02-13,@ POR,9100.00,27.23
2019-02-12,vs. UTA,9100.00,30.98
2019-02-10,vs. MIA,9200.00,30.46
2019-02-08,@ PHX,9200.00,35.63
2019-02-06,vs. SAS,9200.00,22.19
2019-02-02,vs. LAL,9500.00,38.73
2019-01-31,vs. PHI,9200.00,24.96
2019-01-28,@ IND,9600.00,32.19
2019-01-26,@ BOS,9800.00,40.69
2019-01-24,@ WAS,9800.00,22.22
2019-01-21,@ LAL,10000.00,36.79
2019-01-18,@ LAC,10400.00,30.61
2019-01-16,vs. NOP,10000.00,28.72
2019-01-15,@ DEN,10000.00,27.56
2019-01-13,@ DAL,10200.00,23.83
2019-01-11,vs. CHI,10200.00,32.26
2019-01-08,vs. NYK,10400.00,34.99
2019-01-05,@ SAC,10100.00,33.92
2019-01-03,vs. HOU,10400.00,32.75
2018-12-31,@ PHX,10100.00,29.51
2018-12-29,@ POR,9800.00,37.84
2018-12-27,vs. POR,9700.00,34.66
2018-12-25,vs. LAL,9700.00,34.56
2018-12-23,vs. LAC,9500.00,21.94
2018-12-22,vs. DAL,9400.00,41.65
2018-12-19,@ UTA,9200.00,40.43
2018-12-17,vs. MEM,9600.00,31.97
2018-12-14,@ SAC,9400.00,35.24
2018-12-12,vs. TOR,9400.00,35.34
2018-12-10,vs. MIN,9200.00,37.11
2018-12-07,@ MIL,9900.00,38.02
2018-12-05,@ CLE,9700.00,22.8
2018-12-03,@ ATL,9700.00,38.01
2018-12-01,@ DET,9600.00,30.65
2018-11-08,vs. MIL,10700.00,39.12
2018-11-05,vs. MEM,10700.00,36.51
2018-11-02,vs. MIN,10700.00,26.13
2018-10-31,vs. NOP,9900.00,33.73
2018-10-29,@ CHI,9800.00,27.86
2018-10-28,@ BKN,10000.00,30.07
2018-10-26,@ NYK,9900.00,30.62
2018-10-24,vs. WAS,9300.00,28.49
2018-10-22,vs. PHX,10200.00,30.07
2018-10-21,@ DEN,9800.00,38.55
2018-10-19,@ UTA,9600.00,17.56
2018-10-16,vs. OKC,9600.00,24.48
