Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,20.13
2019-03-27,@ MEM,9300.00,23.14
2019-03-24,vs. DET,9900.00,15.83
2019-03-21,vs. IND,9800.00,25.71
2019-03-19,@ MIN,9400.00,27.39
2019-03-18,@ SAS,9400.00,19.16
2019-03-16,@ OKC,9300.00,22.92
2019-03-13,@ HOU,9200.00,30.66
2019-03-10,vs. PHX,9300.00,28.99
2019-03-08,vs. DEN,9100.00,13.29
2019-03-05,vs. BOS,9400.00,17.43
2019-03-02,@ PHI,9400.00,15.75
2019-02-28,@ ORL,9300.00,29.8
2019-02-27,@ MIA,9300.00,18.52
2019-02-25,@ CHA,9600.00,9.94
2019-02-23,vs. HOU,9500.00,27.4
2019-02-21,vs. SAC,9500.00,26.53
2019-02-17,vs. LBN,-,13.59
2019-02-13,@ POR,9100.00,14.77
2019-02-12,vs. UTA,9100.00,15.67
2019-02-10,vs. MIA,9200.00,20.89
2019-02-08,@ PHX,9200.00,23.26
2019-02-06,vs. SAS,9200.00,18.59
2019-02-02,vs. LAL,9500.00,27.78
2019-01-31,vs. PHI,9200.00,31.84
2019-01-28,@ IND,9600.00,16.6
2019-01-26,@ BOS,9800.00,27.47
2019-01-24,@ WAS,9800.00,32.32
2019-01-21,@ LAL,10000.00,26.1
2019-01-18,@ LAC,10400.00,14.72
2019-01-16,vs. NOP,10000.00,20.81
2019-01-15,@ DEN,10000.00,24.37
2019-01-13,@ DAL,10200.00,30.35
2019-01-11,vs. CHI,10200.00,17.81
2019-01-08,vs. NYK,10400.00,12.8
2019-01-05,@ SAC,10100.00,26.32
2019-01-03,vs. HOU,10400.00,23.5
2018-12-31,@ PHX,10100.00,20.8
2018-12-29,@ POR,9800.00,20.38
2018-12-27,vs. POR,9700.00,15.39
2018-12-25,vs. LAL,9700.00,27.74
2018-12-23,vs. LAC,9500.00,16.4
2018-12-22,vs. DAL,9400.00,15.12
2018-12-19,@ UTA,9200.00,18.83
2018-12-17,vs. MEM,9600.00,10.87
2018-12-14,@ SAC,9400.00,24.45
2018-12-12,vs. TOR,9400.00,20.22
2018-12-10,vs. MIN,9200.00,18.89
2018-12-07,@ MIL,9900.00,29.89
2018-12-05,@ CLE,9700.00,21.79
2018-12-03,@ ATL,9700.00,30.83
2018-12-01,@ DET,9600.00,23.36
2018-11-08,vs. MIL,10700.00,21.08
2018-11-05,vs. MEM,10700.00,22.31
2018-11-02,vs. MIN,10700.00,15.36
2018-10-31,vs. NOP,9900.00,20.11
2018-10-29,@ CHI,9800.00,14.02
2018-10-28,@ BKN,10000.00,23.86
2018-10-26,@ NYK,9900.00,17.45
2018-10-24,vs. WAS,9300.00,23.75
2018-10-22,vs. PHX,10200.00,25.37
2018-10-21,@ DEN,9800.00,24.55
2018-10-19,@ UTA,9600.00,19.24
2018-10-16,vs. OKC,9600.00,9.89
