Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,21.01
2019-03-27,@ MEM,9300.00,25.89
2019-03-24,vs. DET,9900.00,16.33
2019-03-21,vs. IND,9800.00,22.21
2019-03-19,@ MIN,9400.00,31.34
2019-03-18,@ SAS,9400.00,24.06
2019-03-16,@ OKC,9300.00,16.17
2019-03-13,@ HOU,9200.00,19.96
2019-03-10,vs. PHX,9300.00,18.59
2019-03-08,vs. DEN,9100.00,21.61
2019-03-05,vs. BOS,9400.00,9.65
2019-03-02,@ PHI,9400.00,14.48
2019-02-28,@ ORL,9300.00,24.57
2019-02-27,@ MIA,9300.00,15.55
2019-02-25,@ CHA,9600.00,16.87
2019-02-23,vs. HOU,9500.00,24.53
2019-02-21,vs. SAC,9500.00,26.5
2019-02-17,vs. LBN,-,17.55
2019-02-13,@ POR,9100.00,16.63
2019-02-12,vs. UTA,9100.00,5.43
2019-02-10,vs. MIA,9200.00,7.61
2019-02-08,@ PHX,9200.00,24.8
2019-02-06,vs. SAS,9200.00,27.31
2019-02-02,vs. LAL,9500.00,14.5
2019-01-31,vs. PHI,9200.00,17.84
2019-01-28,@ IND,9600.00,25.65
2019-01-26,@ BOS,9800.00,17.59
2019-01-24,@ WAS,9800.00,26.19
2019-01-21,@ LAL,10000.00,19.43
2019-01-18,@ LAC,10400.00,24.98
2019-01-16,vs. NOP,10000.00,13.47
2019-01-15,@ DEN,10000.00,19.8
2019-01-13,@ DAL,10200.00,30.87
2019-01-11,vs. CHI,10200.00,29.63
2019-01-08,vs. NYK,10400.00,14.41
2019-01-05,@ SAC,10100.00,17.1
2019-01-03,vs. HOU,10400.00,22.96
2018-12-31,@ PHX,10100.00,24.68
2018-12-29,@ POR,9800.00,16.38
2018-12-27,vs. POR,9700.00,20.05
2018-12-25,vs. LAL,9700.00,9.68
2018-12-23,vs. LAC,9500.00,19.7
2018-12-22,vs. DAL,9400.00,8.99
2018-12-19,@ UTA,9200.00,32.6
2018-12-17,vs. MEM,9600.00,19.83
2018-12-14,@ SAC,9400.00,17.59
2018-12-12,vs. TOR,9400.00,20.92
2018-12-10,vs. MIN,9200.00,20.78
2018-12-07,@ MIL,9900.00,21.38
2018-12-05,@ CLE,9700.00,25.04
2018-12-03,@ ATL,9700.00,15.73
2018-12-01,@ DET,9600.00,23.18
2018-11-08,vs. MIL,10700.00,22.99
2018-11-05,vs. MEM,10700.00,17.05
2018-11-02,vs. MIN,10700.00,21.09
2018-10-31,vs. NOP,9900.00,15.18
2018-10-29,@ CHI,9800.00,28.97
2018-10-28,@ BKN,10000.00,35.16
2018-10-26,@ NYK,9900.00,23.71
2018-10-24,vs. WAS,9300.00,12.41
2018-10-22,vs. PHX,10200.00,14.72
2018-10-21,@ DEN,9800.00,24.96
2018-10-19,@ UTA,9600.00,18.33
2018-10-16,vs. OKC,9600.00,15.78
