Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,51.3
2019-03-27,@ MEM,9300.00,44.36
2019-03-24,vs. DET,9900.00,40.0
2019-03-21,vs. IND,9800.00,38.11
2019-03-19,@ MIN,9400.00,31.29
2019-03-18,@ SAS,9400.00,32.16
2019-03-16,@ OKC,9300.00,41.74
2019-03-13,@ HOU,9200.00,39.88
2019-03-10,vs. PHX,9300.00,45.27
2019-03-08,vs. DEN,9100.00,34.7
2019-03-05,vs. BOS,9400.00,41.18
2019-03-02,@ PHI,9400.00,26.63
2019-02-28,@ ORL,9300.00,37.74
2019-02-27,@ MIA,9300.00,42.16
2019-02-25,@ CHA,9600.00,41.45
2019-02-23,vs. HOU,9500.00,41.83
2019-02-21,vs. SAC,9500.00,41.58
2019-02-17,vs. LBN,-,35.5
2019-02-13,@ POR,9100.00,44.02
2019-02-12,vs. UTA,9100.00,44.1
2019-02-10,vs. MIA,9200.00,54.33
2019-02-08,@ PHX,9200.00,41.78
2019-02-06,vs. SAS,9200.00,42.23
2019-02-02,vs. LAL,9500.00,35.42
2019-01-31,vs. PHI,9200.00,48.09
2019-01-28,@ IND,9600.00,41.79
2019-01-26,@ BOS,9800.00,35.0
2019-01-24,@ WAS,9800.00,36.15
2019-01-21,@ LAL,10000.00,36.26
2019-01-18,@ LAC,10400.00,35.19
2019-01-16,vs. NOP,10000.00,40.2
2019-01-15,@ DEN,10000.00,41.88
2019-01-13,@ DAL,10200.00,43.83
2019-01-11,vs. CHI,10200.00,32.15
2019-01-08,vs. NYK,10400.00,38.24
2019-01-05,@ SAC,10100.00,36.38
2019-01-03,vs. HOU,10400.00,42.34
2018-12-31,@ PHX,10100.00,40.3
2018-12-29,@ POR,9800.00,35.04
2018-12-27,vs. POR,9700.00,32.56
2018-12-25,vs. LAL,9700.00,44.0
2018-12-23,vs. LAC,9500.00,33.76
2018-12-22,vs. DAL,9400.00,45.59
2018-12-19,@ UTA,9200.00,40.6
2018-12-17,vs. MEM,9600.00,45.7
2018-12-14,@ SAC,9400.00,39.09
2018-12-12,vs. TOR,9400.00,43.57
2018-12-10,vs. MIN,9200.00,58.13
2018-12-07,@ MIL,9900.00,28.39
2018-12-05,@ CLE,9700.00,34.88
2018-12-03,@ ATL,9700.00,43.56
2018-12-01,@ DET,9600.00,34.48
2018-11-08,vs. MIL,10700.00,49.0
2018-11-05,vs. MEM,10700.00,39.99
2018-11-02,vs. MIN,10700.00,45.24
2018-10-31,vs. NOP,9900.00,36.18
2018-10-29,@ CHI,9800.00,34.65
2018-10-28,@ BKN,10000.00,43.57
2018-10-26,@ NYK,9900.00,43.09
2018-10-24,vs. WAS,9300.00,39.99
2018-10-22,vs. PHX,10200.00,42.88
2018-10-21,@ DEN,9800.00,41.1
2018-10-19,@ UTA,9600.00,33.46
2018-10-16,vs. OKC,9600.00,42.74
