Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,28.07
2019-03-27,@ MEM,9300.00,21.74
2019-03-24,vs. DET,9900.00,37.06
2019-03-21,vs. IND,9800.00,24.42
2019-03-19,@ MIN,9400.00,15.18
2019-03-18,@ SAS,9400.00,28.48
2019-03-16,@ OKC,9300.00,20.84
2019-03-13,@ HOU,9200.00,28.2
2019-03-10,vs. PHX,9300.00,15.05
2019-03-08,vs. DEN,9100.00,26.82
2019-03-05,vs. BOS,9400.00,16.24
2019-03-02,@ PHI,9400.00,19.75
2019-02-28,@ ORL,9300.00,28.8
2019-02-27,@ MIA,9300.00,22.57
2019-02-25,@ CHA,9600.00,31.66
2019-02-23,vs. HOU,9500.00,31.66
2019-02-21,vs. SAC,9500.00,33.58
2019-02-17,vs. LBN,-,38.75
2019-02-13,@ POR,9100.00,26.64
2019-02-12,vs. UTA,9100.00,28.19
2019-02-10,vs. MIA,9200.00,20.23
2019-02-08,@ PHX,9200.00,32.32
2019-02-06,vs. SAS,9200.00,22.07
2019-02-02,vs. LAL,9500.00,20.06
2019-01-31,vs. PHI,9200.00,20.59
2019-01-28,@ IND,9600.00,30.46
2019-01-26,@ BOS,9800.00,23.59
2019-01-24,@ WAS,9800.00,21.29
2019-01-21,@ LAL,10000.00,15.23
2019-01-18,@ LAC,10400.00,25.4
2019-01-16,vs. NOP,10000.00,35.07
2019-01-15,@ DEN,10000.00,31.1
2019-01-13,@ DAL,10200.00,19.5
2019-01-11,vs. CHI,10200.00,18.07
2019-01-08,vs. NYK,10400.00,22.36
2019-01-05,@ SAC,10100.00,21.58
2019-01-03,vs. HOU,10400.00,25.22
2018-12-31,@ PHX,10100.00,36.25
2018-12-29,@ POR,9800.00,13.95
2018-12-27,vs. POR,9700.00,27.51
2018-12-25,vs. LAL,9700.00,18.51
2018-12-23,vs. LAC,9500.00,27.17
2018-12-22,vs. DAL,9400.00,28.34
2018-12-19,@ UTA,9200.00,28.84
2018-12-17,vs. MEM,9600.00,25.62
2018-12-14,@ SAC,9400.00,28.22
2018-12-12,vs. TOR,9400.00,29.26
2018-12-10,vs. MIN,9200.00,28.14
2018-12-07,@ MIL,9900.00,29.09
2018-12-05,@ CLE,9700.00,21.67
2018-12-03,@ ATL,9700.00,26.02
2018-12-01,@ DET,9600.00,26.33
2018-11-08,vs. MIL,10700.00,20.36
2018-11-05,vs. MEM,10700.00,23.78
2018-11-02,vs. MIN,10700.00,25.32
2018-10-31,vs. NOP,9900.00,22.88
2018-10-29,@ CHI,9800.00,19.53
2018-10-28,@ BKN,10000.00,30.7
2018-10-26,@ NYK,9900.00,29.56
2018-10-24,vs. WAS,9300.00,22.25
2018-10-22,vs. PHX,10200.00,35.25
2018-10-21,@ DEN,9800.00,26.01
2018-10-19,@ UTA,9600.00,27.04
2018-10-16,vs. OKC,9600.00,28.69
