Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,15.26
2019-03-27,@ MEM,9300.00,16.43
2019-03-24,vs. DET,9900.00,14.29
2019-03-21,vs. IND,9800.00,11.29
2019-03-19,@ MIN,9400.00,11.42
2019-03-18,@ SAS,9400.00,15.23
2019-03-16,@ OKC,9300.00,15.0
2019-03-13,@ HOU,9200.00,22.0
2019-03-10,vs. PHX,9300.00,17.26
2019-03-08,vs. DEN,9100.00,13.04
2019-03-05,vs. BOS,9400.00,15.51
2019-03-02,@ PHI,9400.00,4.03
2019-02-28,@ ORL,9300.00,19.69
2019-02-27,@ MIA,9300.00,15.88
2019-02-25,@ CHA,9600.00,12.63
2019-02-23,vs. HOU,9500.00,23.56
2019-02-21,vs. SAC,9500.00,17.08
2019-02-17,vs. LBN,-,31.77
2019-02-13,@ POR,9100.00,22.35
2019-02-12,vs. UTA,9100.00,22.45
2019-02-10,vs. MIA,9200.00,23.74
2019-02-08,@ PHX,9200.00,16.79
2019-02-06,vs. SAS,9200.00,14.81
2019-02-02,vs. LAL,9500.00,16.01
2019-01-31,vs. PHI,9200.00,13.52
2019-01-28,@ IND,9600.00,12.02
2019-01-26,@ BOS,9800.00,16.64
2019-01-24,@ WAS,9800.00,17.55
2019-01-21,@ LAL,10000.00,24.83
2019-01-18,@ LAC,10400.00,12.62
2019-01-16,vs. NOP,10000.00,18.22
2019-01-15,@ DEN,10000.00,31.75
2019-01-13,@ DAL,10200.00,14.39
2019-01-11,vs. CHI,10200.00,15.42
2019-01-08,vs. NYK,10400.00,22.32
2019-01-05,@ SAC,10100.00,14.1
2019-01-03,vs. HOU,10400.00,24.32
2018-12-31,@ PHX,10100.00,20.32
2018-12-29,@ POR,9800.00,14.9
2018-12-27,vs. POR,9700.00,11.21
2018-12-25,vs. LAL,9700.00,4.72
2018-12-23,vs. LAC,9500.00,15.77
2018-12-22,vs. DAL,9400.00,20.47
2018-12-19,@ UTA,9200.00,8.67
2018-12-17,vs. MEM,9600.00,13.92
2018-12-14,@ SAC,9400.00,26.69
2018-12-12,vs. TOR,9400.00,5.79
2018-12-10,vs. MIN,9200.00,12.3
2018-12-07,@ MIL,9900.00,25.07
2018-12-05,@ CLE,9700.00,26.04
2018-12-03,@ ATL,9700.00,21.49
2018-12-01,@ DET,9600.00,15.46
2018-11-08,vs. MIL,10700.00,13.9
2018-11-05,vs. MEM,10700.00,17.29
2018-11-02,vs. MIN,10700.00,24.7
2018-10-31,vs. NOP,9900.00,10.84
2018-10-29,@ CHI,9800.00,4.81
2018-10-28,@ BKN,10000.00,18.13
2018-10-26,@ NYK,9900.00,9.46
2018-10-24,vs. WAS,9300.00,31.17
2018-10-22,vs. PHX,10200.00,11.81
2018-10-21,@ DEN,9800.00,13.9
2018-10-19,@ UTA,9600.00,21.01
2018-10-16,vs. OKC,9600.00,25.33
