Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,28.14
2019-03-27,@ MEM,9300.00,16.28
2019-03-24,vs. DET,9900.00,34.55
2019-03-21,vs. IND,9800.00,28.41
2019-03-19,@ MIN,9400.00,29.75
2019-03-18,@ SAS,9400.00,25.72
2019-03-16,@ OKC,9300.00,12.92
2019-03-13,@ HOU,9200.00,28.6
2019-03-10,vs. PHX,9300.00,24.52
2019-03-08,vs. DEN,9100.00,22.32
2019-03-05,vs. BOS,9400.00,20.12
2019-03-02,@ PHI,9400.00,23.12
2019-02-28,@ ORL,9300.00,16.04
2019-02-27,@ MIA,9300.00,22.9
2019-02-25,@ CHA,9600.00,24.65
2019-02-23,vs. HOU,9500.00,25.51
2019-02-21,vs. SAC,9500.00,35.56
2019-02-17,vs. LBN,-,23.74
2019-02-13,@ POR,9100.00,18.76
2019-02-12,vs. UTA,9100.00,34.59
2019-02-10,vs. MIA,9200.00,27.59
2019-02-08,@ PHX,9200.00,18.22
2019-02-06,vs. SAS,9200.00,10.77
2019-02-02,vs. LAL,9500.00,22.45
2019-01-31,vs. PHI,9200.00,25.1
2019-01-28,@ IND,9600.00,22.09
2019-01-26,@ BOS,9800.00,12.51
2019-01-24,@ WAS,9800.00,18.5
2019-01-21,@ LAL,10000.00,22.87
2019-01-18,@ LAC,10400.00,21.7
2019-01-16,vs. NOP,10000.00,20.34
2019-01-15,@ DEN,10000.00,28.91
2019-01-13,@ DAL,10200.00,20.11
2019-01-11,vs. CHI,10200.00,26.1
2019-01-08,vs. NYK,10400.00,16.45
2019-01-05,@ SAC,10100.00,18.06
2019-01-03,vs. HOU,10400.00,24.75
2018-12-31,@ PHX,10100.00,25.4
2018-12-29,@ POR,9800.00,22.28
2018-12-27,vs. POR,9700.00,18.33
2018-12-25,vs. LAL,9700.00,28.45
2018-12-23,vs. LAC,9500.00,30.43
2018-12-22,vs. DAL,9400.00,20.41
2018-12-19,@ UTA,9200.00,24.96
2018-12-17,vs. MEM,9600.00,14.98
2018-12-14,@ SAC,9400.00,15.57
2018-12-12,vs. TOR,9400.00,23.12
2018-12-10,vs. MIN,9200.00,17.85
2018-12-07,@ MIL,9900.00,28.17
2018-12-05,@ CLE,9700.00,21.35
2018-12-03,@ ATL,9700.00,19.8
2018-12-01,@ DET,9600.00,10.61
2018-11-08,vs. MIL,10700.00,16.28
2018-11-05,vs. MEM,10700.00,20.74
2018-11-02,vs. MIN,10700.00,16.58
2018-10-31,vs. NOP,9900.00,22.29
2018-10-29,@ CHI,9800.00,28.22
2018-10-28,@ BKN,10000.00,15.36
2018-10-26,@ NYK,9900.00,32.36
2018-10-24,vs. WAS,9300.00,15.99
2018-10-22,vs. PHX,10200.00,28.8
2018-10-21,@ DEN,9800.00,20.66
2018-10-19,@ UTA,9600.00,10.67
2018-10-16,vs. OKC,9600.00,21.39
