Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,30.86
2019-03-27,@ MEM,9300.00,8.65
2019-03-24,vs. DET,9900.00,13.49
2019-03-21,vs. IND,9800.00,15.33
2019-03-19,@ MIN,9400.00,25.93
2019-03-18,@ SAS,9400.00,3.29
2019-03-16,@ OKC,9300.00,19.09
2019-03-13,@ HOU,9200.00,26.88
2019-03-10,vs. PHX,9300.00,19.9
2019-03-08,vs. DEN,9100.00,21.83
2019-03-05,vs. BOS,9400.00,16.13
2019-03-02,@ PHI,9400.00,15.53
2019-02-28,@ ORL,9300.00,8.68
2019-02-27,@ MIA,9300.00,22.18
2019-02-25,@ CHA,9600.00,12.64
2019-02-23,vs. HOU,9500.00,18.37
2019-02-21,vs. SAC,9500.00,13.18
2019-02-17,vs. LBN,-,13.86
2019-02-13,@ POR,9100.00,21.29
2019-02-12,vs. UTA,9100.00,13.51
2019-02-10,vs. MIA,9200.00,21.64
2019-02-08,@ PHX,9200.00,32.64
2019-02-06,vs. SAS,9200.00,17.27
2019-02-02,vs. LAL,9500.00,16.65
2019-01-31,vs. PHI,9200.00,17.95
2019-01-28,@ IND,9600.00,3.54
2019-01-26,@ BOS,9800.00,21.09
2019-01-24,@ WAS,9800.00,30.88
2019-01-21,@ LAL,10000.00,13.25
2019-01-18,@ LAC,10400.00,12.28
2019-01-16,vs. NOP,10000.00,21.35
2019-01-15,@ DEN,10000.00,19.36
2019-01-13,@ DAL,10200.00,9.63
2019-01-11,vs. CHI,10200.00,25.34
2019-01-08,vs. NYK,10400.00,13.23
2019-01-05,@ SAC,10100.00,21.51
2019-01-03,vs. HOU,10400.00,11.93
2018-12-31,@ PHX,10100.00,9.49
2018-12-29,@ POR,9800.00,26.66
2018-12-27,vs. POR,9700.00,16.09
2018-12-25,vs. LAL,9700.00,26.5
2018-12-23,vs. LAC,9500.00,17.89
2018-12-22,vs. DAL,9400.00,17.93
2018-12-19,@ UTA,9200.00,14.16
2018-12-17,vs. MEM,9600.00,16.82
2018-12-14,@ SAC,9400.00,13.18
2018-12-12,vs. TOR,9400.00,15.03
2018-12-10,vs. MIN,9200.00,23.0
2018-12-07,@ MIL,9900.00,32.1
2018-12-05,@ CLE,9700.00,12.26
2018-12-03,@ ATL,9700.00,21.64
2018-12-01,@ DET,9600.00,24.25
2018-11-08,vs. MIL,10700.00,18.72
2018-11-05,vs. MEM,10700.00,11.9
2018-11-02,vs. MIN,10700.00,23.84
2018-10-31,vs. NOP,9900.00,9.16
2018-10-29,@ CHI,9800.00,15.69
2018-10-28,@ BKN,10000.00,21.0
2018-10-26,@ NYK,9900.00,15.31
2018-10-24,vs. WAS,9300.00,8.46
2018-10-22,vs. PHX,10200.00,22.85
2018-10-21,@ DEN,9800.00,18.41
2018-10-19,@ UTA,9600.00,29.07
2018-10-16,vs. OKC,9600.00,21.82
