Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,21.34
2019-03-27,@ MEM,9300.00,18.48
2019-03-24,vs. DET,9900.00,16.88
2019-03-21,vs. IND,9800.00,19.59
2019-03-19,@ MIN,9400.00,24.95
2019-03-18,@ SAS,9400.00,12.89
2019-03-16,@ OKC,9300.00,10.46
2019-03-13,@ HOU,9200.00,32.46
2019-03-10,vs. PHX,9300.00,14.74
2019-03-08,vs. DEN,9100.00,24.48
2019-03-05,vs. BOS,9400.00,23.94
2019-03-02,@ PHI,9400.00,29.93
2019-02-28,@ ORL,9300.00,24.75
2019-02-27,@ MIA,9300.00,30.56
2019-02-25,@ CHA,9600.00,25.67
2019-02-23,vs. HOU,9500.00,18.32
2019-02-21,vs. SAC,9500.00,2.72
2019-02-17,vs. LBN,-,15.12
2019-02-13,@ POR,9100.00,7.98
2019-02-12,vs. UTA,9100.00,10.58
2019-02-10,vs. MIA,9200.00,21.14
2019-02-08,@ PHX,9200.00,14.13
2019-02-06,vs. SAS,9200.00,21.07
2019-02-02,vs. LAL,9500.00,14.95
2019-01-31,vs. PHI,9200.00,7.49
2019-01-28,@ IND,9600.00,22.84
2019-01-26,@ BOS,9800.00,16.33
2019-01-24,@ WAS,9800.00,13.69
2019-01-21,@ LAL,10000.00,17.6
2019-01-18,@ LAC,10400.00,20.18
2019-01-16,vs. NOP,10000.00,10.9
2019-01-15,@ DEN,10000.00,9.74
2019-01-13,@ DAL,10200.00,15.04
2019-01-11,vs. CHI,10200.00,26.94
2019-01-08,vs. NYK,10400.00,11.47
2019-01-05,@ SAC,10100.00,9.66
2019-01-03,vs. HOU,10400.00,14.62
2018-12-31,@ PHX,10100.00,10.8
2018-12-29,@ POR,9800.00,15.03
2018-12-27,vs. POR,9700.00,18.97
2018-12-25,vs. LAL,9700.00,8.44
2018-12-23,vs. LAC,9500.00,11.03
2018-12-22,vs. DAL,9400.00,30.5
2018-12-19,@ UTA,9200.00,16.29
2018-12-17,vs. MEM,9600.00,15.75
2018-12-14,@ SAC,9400.00,10.31
2018-12-12,vs. TOR,9400.00,20.26
2018-12-10,vs. MIN,9200.00,17.47
2018-12-07,@ MIL,9900.00,13.67
2018-12-05,@ CLE,9700.00,14.07
2018-12-03,@ ATL,9700.00,2.07
2018-12-01,@ DET,9600.00,14.65
2018-11-08,vs. MIL,10700.00,11.99
2018-11-05,vs. MEM,10700.00,20.78
2018-11-02,vs. MIN,10700.00,15.74
2018-10-31,vs. NOP,9900.00,15.81
2018-10-29,@ CHI,9800.00,18.24
2018-10-28,@ BKN,10000.00,20.01
2018-10-26,@ NYK,9900.00,4.95
2018-10-24,vs. WAS,9300.00,15.69
2018-10-22,vs. PHX,10200.00,8.51
2018-10-21,@ DEN,9800.00,12.0
2018-10-19,@ UTA,9600.00,11.77
2018-10-16,vs. OKC,9600.00,8.99
