Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,16.79
2019-03-27,@ MEM,9300.00,17.46
2019-03-24,vs. DET,9900.00,19.09
2019-03-21,vs. IND,9800.00,15.01
2019-03-19,@ MIN,9400.00,19.3
2019-03-18,@ SAS,9400.00,15.62
2019-03-16,@ OKC,9300.00,20.69
2019-03-13,@ HOU,9200.00,9.96
2019-03-10,vs. PHX,9300.00,22.32
2019-03-08,vs. DEN,9100.00,20.87
2019-03-05,vs. BOS,9400.00,21.74
2019-03-02,@ PHI,9400.00,16.69
2019-02-28,@ ORL,9300.00,19.86
2019-02-27,@ MIA,9300.00,22.86
2019-02-25,@ CHA,9600.00,16.96
2019-02-23,vs. HOU,9500.00,10.24
2019-02-21,vs. SAC,9500.00,12.36
2019-02-17,vs. LBN,-,14.01
2019-02-13,@ POR,9100.00,21.82
2019-02-12,vs. UTA,9100.00,12.22
2019-02-10,vs. MIA,9200.00,18.18
2019-02-08,@ PHX,9200.00,20.73
2019-02-06,vs. SAS,9200.00,27.0
2019-02-02,vs. LAL,9500.00,15.13
2019-01-31,vs. PHI,9200.00,19.4
2019-01-28,@ IND,9600.00,13.72
2019-01-26,@ BOS,9800.00,16.1
2019-01-24,@ WAS,9800.00,24.51
2019-01-21,@ LAL,10000.00,21.51
2019-01-18,@ LAC,10400.00,19.35
2019-01-16,vs. NOP,10000.00,24.33
2019-01-15,@ DEN,10000.00,22.92
2019-01-13,@ DAL,10200.00,17.67
2019-01-11,vs. CHI,10200.00,14.61
2019-01-08,vs. NYK,10400.00,27.71
2019-01-05,@ SAC,10100.00,19.71
2019-01-03,vs. HOU,10400.00,10.32
2018-12-31,@ PHX,10100.00,26.07
2018-12-29,@ POR,9800.00,15.01
2018-12-27,vs. POR,9700.00,13.78
2018-12-25,vs. LAL,9700.00,5.69
2018-12-23,vs. LAC,9500.00,25.63
2018-12-22,vs. DAL,9400.00,26.91
2018-12-19,@ UTA,9200.00,25.79
2018-12-17,vs. MEM,9600.00,27.84
2018-12-14,@ SAC,9400.00,11.55
2018-12-12,vs. TOR,9400.00,25.41
2018-12-10,vs. MIN,9200.00,10.63
2018-12-07,@ MIL,9900.00,13.48
2018-12-05,@ CLE,9700.00,10.77
2018-12-03,@ ATL,9700.00,18.63
2018-12-01,@ DET,9600.00,14.69
2018-11-08,vs. MIL,10700.00,11.8
2018-11-05,vs. MEM,10700.00,26.23
2018-11-02,vs. MIN,10700.00,21.33
2018-10-31,vs. NOP,9900.00,17.24
2018-10-29,@ CHI,9800.00,12.89
2018-10-28,@ BKN,10000.00,12.69
2018-10-26,@ NYK,9900.00,16.36
2018-10-24,vs. WAS,9300.00,20.8
2018-10-22,vs. PHX,10200.00,20.5
2018-10-21,@ DEN,9800.00,17.3
2018-10-19,@ UTA,9600.00,20.9
2018-10-16,vs. OKC,9600.00,30.71
