Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,5.25
2019-03-27,@ MEM,9300.00,5.7
2019-03-24,vs. DET,9900.00,7.88
2019-03-21,vs. IND,9800.00,6.91
2019-03-19,@ MIN,9400.00,15.09
2019-03-18,@ SAS,9400.00,9.2
2019-03-16,@ OKC,9300.00,13.57
2019-03-13,@ HOU,9200.00,14.46
2019-03-10,vs. PHX,9300.00,16.37
2019-03-08,vs. DEN,9100.00,7.19
2019-03-05,vs. BOS,9400.00,19.31
2019-03-02,@ PHI,9400.00,9.02
2019-02-28,@ ORL,9300.00,12.78
2019-02-27,@ MIA,9300.00,14.82
2019-02-25,@ CHA,9600.00,20.53
2019-02-23,vs. HOU,9500.00,6.1
2019-02-21,vs. SAC,9500.00,14.37
2019-02-17,vs. LBN,-,10.14
2019-02-13,@ POR,9100.00,9.28
2019-02-12,vs. UTA,9100.00,14.36
2019-02-10,vs. MIA,9200.00,4.38
2019-02-08,@ PHX,9200.00,8.1
2019-02-06,vs. SAS,9200.00,9.76
2019-02-02,vs. LAL,9500.00,11.69
2019-01-31,vs. PHI,9200.00,16.78
2019-01-28,@ IND,9600.00,4.72
2019-01-26,@ BOS,9800.00,7.23
2019-01-24,@ WAS,9800.00,8.99
2019-01-21,@ LAL,10000.00,4.21
2019-01-18,@ LAC,10400.00,4.4
2019-01-16,vs. NOP,10000.00,3.66
2019-01-15,@ DEN,10000.00,17.29
2019-01-13,@ DAL,10200.00,4.21
2019-01-11,vs. CHI,10200.00,2.97
2019-01-08,vs. NYK,10400.00,11.66
2019-01-05,@ SAC,10100.00,14.9
2019-01-03,vs. HOU,10400.00,13.93
2018-12-31,@ PHX,10100.00,3.08
2018-12-29,@ POR,9800.00,5.82
2018-12-27,vs. POR,9700.00,26.54
2018-12-25,vs. LAL,9700.00,12.39
2018-12-23,vs. LAC,9500.00,3.05
2018-12-22,vs. DAL,9400.00,7.75
2018-12-19,@ UTA,9200.00,15.54
2018-12-17,vs. MEM,9600.00,14.79
2018-12-14,@ SAC,9400.00,5.79
2018-12-12,vs. TOR,9400.00,13.46
2018-12-10,vs. MIN,9200.00,4.13
2018-12-07,@ MIL,9900.00,15.3
2018-12-05,@ CLE,9700.00,7.77
2018-12-03,@ ATL,9700.00,-0.85
2018-12-01,@ DET,9600.00,4.48
2018-11-08,vs. MIL,10700.00,3.42
2018-11-05,vs. MEM,10700.00,6.56
2018-11-02,vs. MIN,10700.00,20.26
2018-10-31,vs. NOP,9900.00,11.69
2018-10-29,@ CHI,9800.00,14.2
2018-10-28,@ BKN,10000.00,4.59
2018-10-26,@ NYK,9900.00,9.34
2018-10-24,vs. WAS,9300.00,1.01
2018-10-22,vs. PHX,10200.00,6.65
2018-10-21,@ DEN,9800.00,16.49
2018-10-19,@ UTA,9600.00,20.78
2018-10-16,vs. OKC,9600.00,17.38
