Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,26.58
2019-03-27,@ MEM,9300.00,21.87
2019-03-24,vs. DET,9900.00,19.86
2019-03-21,vs. IND,9800.00,20.41
2019-03-19,@ MIN,9400.00,25.64
2019-03-18,@ SAS,9400.00,9.46
2019-03-16,@ OKC,9300.00,23.96
2019-03-13,@ HOU,9200.00,31.06
2019-03-10,vs. PHX,9300.00,25.19
2019-03-08,vs. DEN,9100.00,27.48
2019-03-05,vs. BOS,9400.00,25.12
2019-03-02,@ PHI,9400.00,30.49
2019-02-28,@ ORL,9300.00,23.53
2019-02-27,@ MIA,9300.00,24.71
2019-02-25,@ CHA,9600.00,19.69
2019-02-23,vs. HOU,9500.00,19.1
2019-02-21,vs. SAC,9500.00,24.37
2019-02-17,vs. LBN,-,15.47
2019-02-13,@ POR,9100.00,20.23
2019-02-12,vs. UTA,9100.00,20.17
2019-02-10,vs. MIA,9200.00,19.94
2019-02-08,@ PHX,9200.00,28.55
2019-02-06,vs. SAS,9200.00,18.97
2019-02-02,vs. LAL,9500.00,25.91
2019-01-31,vs. PHI,9200.00,32.42
2019-01-28,@ IND,9600.00,25.94
2019-01-26,@ BOS,9800.00,14.4
2019-01-24,@ WAS,9800.00,17.59
2019-01-21,@ LAL,10000.00,20.51
2019-01-18,@ LAC,10400.00,21.86
2019-01-16,vs. NOP,10000.00,17.95
2019-01-15,@ DEN,10000.00,16.84
2019-01-13,@ DAL,10200.00,19.15
2019-01-11,vs. CHI,10200.00,25.08
2019-01-08,vs. NYK,10400.00,14.42
2019-01-05,@ SAC,10100.00,16.56
2019-01-03,vs. HOU,10400.00,27.82
2018-12-31,@ PHX,10100.00,22.11
2018-12-29,@ POR,9800.00,7.61
2018-12-27,vs. POR,9700.00,26.31
2018-12-25,vs. LAL,9700.00,18.58
2018-12-23,vs. LAC,9500.00,26.92
2018-12-22,vs. DAL,9400.00,21.95
2018-12-19,@ UTA,9200.00,25.99
2018-12-17,vs. MEM,9600.00,19.44
2018-12-14,@ SAC,9400.00,20.82
2018-12-12,vs. TOR,9400.00,19.17
2018-12-10,vs. MIN,9200.00,16.17
2018-12-07,@ MIL,9900.00,19.23
2018-12-05,@ CLE,9700.00,31.31
2018-12-03,@ ATL,9700.00,21.49
2018-12-01,@ DET,9600.00,19.69
2018-11-08,vs. MIL,10700.00,15.33
2018-11-05,vs. MEM,10700.00,36.03
2018-11-02,vs. MIN,10700.00,24.8
2018-10-31,vs. NOP,9900.00,26.61
2018-10-29,@ CHI,9800.00,20.79
2018-10-28,@ BKN,10000.00,26.43
2018-10-26,@ NYK,9900.00,22.68
2018-10-24,vs. WAS,9300.00,12.47
2018-10-22,vs. PHX,10200.00,22.37
2018-10-21,@ DEN,9800.00,30.19
2018-10-19,@ UTA,9600.00,18.74
2018-10-16,vs. OKC,9600.00,19.51
