Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,16.83
2019-03-27,@ MEM,9300.00,11.21
2019-03-24,vs. DET,9900.00,12.82
2019-03-21,vs. IND,9800.00,9.19
2019-03-19,@ MIN,9400.00,5.95
2019-03-18,@ SAS,9400.00,11.69
2019-03-16,@ OKC,9300.00,30.1
2019-03-13,@ HOU,9200.00,4.31
2019-03-10,vs. PHX,9300.00,11.15
2019-03-08,vs. DEN,9100.00,11.31
2019-03-05,vs. BOS,9400.00,12.37
2019-03-02,@ PHI,9400.00,18.95
2019-02-28,@ ORL,9300.00,21.14
2019-02-27,@ MIA,9300.00,15.0
2019-02-25,@ CHA,9600.00,14.89
2019-02-23,vs. HOU,9500.00,12.92
2019-02-21,vs. SAC,9500.00,9.97
2019-02-17,vs. LBN,-,14.18
2019-02-13,@ POR,9100.00,3.3
2019-02-12,vs. UTA,9100.00,11.64
2019-02-10,vs. MIA,9200.00,22.26
2019-02-08,@ PHX,9200.00,10.22
2019-02-06,vs. SAS,9200.00,5.37
2019-02-02,vs. LAL,9500.00,6.24
2019-01-31,vs. PHI,9200.00,8.36
2019-01-28,@ IND,9600.00,17.91
2019-01-26,@ BOS,9800.00,12.96
2019-01-24,@ WAS,9800.00,22.84
2019-01-21,@ LAL,10000.00,8.8
2019-01-18,@ LAC,10400.00,22.1
2019-01-16,vs. NOP,10000.00,6.43
2019-01-15,@ DEN,10000.00,13.19
2019-01-13,@ DAL,10200.00,6.75
2019-01-11,vs. CHI,10200.00,6.18
2019-01-08,vs. NYK,10400.00,3.65
2019-01-05,@ SAC,10100.00,14.99
2019-01-03,vs. HOU,10400.00,6.41
2018-12-31,@ PHX,10100.00,20.24
2018-12-29,@ POR,9800.00,11.44
2018-12-27,vs. POR,9700.00,7.71
2018-12-25,vs. LAL,9700.00,15.91
2018-12-23,vs. LAC,9500.00,13.14
2018-12-22,vs. DAL,9400.00,-5.22
2018-12-19,@ UTA,9200.00,15.72
2018-12-17,vs. MEM,9600.00,11.55
2018-12-14,@ SAC,9400.00,1.41
2018-12-12,vs. TOR,9400.00,14.98
2018-12-10,vs. MIN,9200.00,12.92
2018-12-07,@ MIL,9900.00,11.25
2018-12-05,@ CLE,9700.00,14.34
2018-12-03,@ ATL,9700.00,11.85
2018-12-01,@ DET,9600.00,22.9
2018-11-08,vs. MIL,10700.00,7.61
2018-11-05,vs. MEM,10700.00,4.07
2018-11-02,vs. MIN,10700.00,19.73
2018-10-31,vs. NOP,9900.00,9.19
2018-10-29,@ CHI,9800.00,7.57
2018-10-28,@ BKN,10000.00,20.5
2018-10-26,@ NYK,9900.00,16.76
2018-10-24,vs. WAS,9300.00,18.91
2018-10-22,vs. PHX,10200.00,14.8
2018-10-21,@ DEN,9800.00,9.06
2018-10-19,@ UTA,9600.00,21.15
2018-10-16,vs. OKC,9600.00,13.8
