Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,48.62
2019-03-27,@ MEM,9300.00,41.65
2019-03-24,vs. DET,9900.00,43.85
2019-03-21,vs. IND,9800.00,53.66
2019-03-19,@ MIN,9400.00,53.31
2019-03-18,@ SAS,9400.00,42.88
2019-03-16,@ OKC,9300.00,45.94
2019-03-13,@ HOU,9200.00,42.05
2019-03-10,vs. PHX,9300.00,43.19
2019-03-08,vs. DEN,9100.00,47.36
2019-03-05,vs. BOS,9400.00,49.63
2019-03-02,@ PHI,9400.00,48.66
2019-02-28,@ ORL,9300.00,43.87
2019-02-27,@ MIA,9300.00,34.65
2019-02-25,@ CHA,9600.00,35.94
2019-02-23,vs. HOU,9500.00,39.96
2019-02-21,vs. SAC,9500.00,39.12
2019-02-17,vs. LBN,-,39.36
2019-02-13,@ POR,9100.00,32.52
2019-02-12,vs. UTA,9100.00,40.06
2019-02-10,vs. MIA,9200.00,51.98
2019-02-08,@ PHX,9200.00,40.58
2019-02-06,vs. SAS,9200.00,27.55
2019-02-02,vs. LAL,9500.00,38.29
2019-01-31,vs. PHI,9200.00,46.93
2019-01-28,@ IND,9600.00,50.86
2019-01-26,@ BOS,9800.00,37.6
2019-01-24,@ WAS,9800.00,40.27
2019-01-21,@ LAL,10000.00,49.12
2019-01-18,@ LAC,10400.00,42.18
2019-01-16,vs. NOP,10000.00,55.08
2019-01-15,@ DEN,10000.00,45.99
2019-01-13,@ DAL,10200.00,37.19
2019-01-11,vs. CHI,10200.00,48.07
2019-01-08,vs. NYK,10400.00,40.84
2019-01-05,@ SAC,10100.00,41.8
2019-01-03,vs. HOU,10400.00,52.84
2018-12-31,@ PHX,10100.00,44.08
2018-12-29,@ POR,9800.00,42.48
2018-12-27,vs. POR,9700.00,48.06
2018-12-25,vs. LAL,9700.00,47.97
2018-12-23,vs. LAC,9500.00,41.79
2018-12-22,vs. DAL,9400.00,45.38
2018-12-19,@ UTA,9200.00,36.68
2018-12-17,vs. MEM,9600.00,46.44
2018-12-14,@ SAC,9400.00,37.35
2018-12-12,vs. TOR,9400.00,40.59
2018-12-10,vs. MIN,9200.00,38.04
2018-12-07,@ MIL,9900.00,47.07
2018-12-05,@ CLE,9700.00,44.65
2018-12-03,@ ATL,9700.00,32.0
2018-12-01,@ DET,9600.00,41.84
2018-11-08,vs. MIL,10700.00,52.91
2018-11-05,vs. MEM,10700.00,42.39
2018-11-02,vs. MIN,10700.00,45.17
2018-10-31,vs. NOP,9900.00,43.62
2018-10-29,@ CHI,9800.00,46.02
2018-10-28,@ BKN,10000.00,37.36
2018-10-26,@ NYK,9900.00,33.82
2018-10-24,vs. WAS,9300.00,46.35
2018-10-22,vs. PHX,10200.00,36.56
2018-10-21,@ DEN,9800.00,35.29
2018-10-19,@ UTA,9600.00,44.84
2018-10-16,vs. OKC,9600.00,40.1
