Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,4.3
2019-03-27,@ MEM,9300.00,2.63
2019-03-24,vs. DET,9900.00,7.56
2019-03-21,vs. IND,9800.00,8.64
2019-03-19,@ MIN,9400.00,0.08
2019-03-18,@ SAS,9400.00,13.6
2019-03-16,@ OKC,9300.00,8.4
2019-03-13,@ HOU,9200.00,2.1
2019-03-10,vs. PHX,9300.00,0.89
2019-03-08,vs. DEN,9100.00,4.75
2019-03-05,vs. BOS,9400.00,6.92
2019-03-02,@ PHI,9400.00,-7.83
2019-02-28,@ ORL,9300.00,10.15
2019-02-27,@ MIA,9300.00,3.73
2019-02-25,@ CHA,9600.00,6.07
2019-02-23,vs. HOU,9500.00,1.07
2019-02-21,vs. SAC,9500.00,-0.62
2019-02-17,vs. LBN,-,4.67
2019-02-13,@ POR,9100.00,11.11
2019-02-12,vs. UTA,9100.00,2.92
2019-02-10,vs. MIA,9200.00,1.55
2019-02-08,@ PHX,9200.00,3.34
2019-02-06,vs. SAS,9200.00,3.4
2019-02-02,vs. LAL,9500.00,-1.49
2019-01-31,vs. PHI,9200.00,9.58
2019-01-28,@ IND,9600.00,-0.32
2019-01-26,@ BOS,9800.00,5.52
2019-01-24,@ WAS,9800.00,1.26
2019-01-21,@ LAL,10000.00,20.09
2019-01-18,@ LAC,10400.00,2.2
2019-01-16,vs. NOP,10000.00,7.92
2019-01-15,@ DEN,10000.00,9.59
2019-01-13,@ DAL,10200.00,6.58
2019-01-11,vs. CHI,10200.00,6.13
2019-01-08,vs. NYK,10400.00,7.52
2019-01-05,@ SAC,10100.00,12.6
2019-01-03,vs. HOU,10400.00,-0.41
2018-12-31,@ PHX,10100.00,7.33
2018-12-29,@ POR,9800.00,4.24
2018-12-27,vs. POR,9700.00,1.27
2018-12-25,vs. LAL,9700.00,2.52
2018-12-23,vs. LAC,9500.00,4.84
2018-12-22,vs. DAL,9400.00,8.03
2018-12-19,@ UTA,9200.00,10.38
2018-12-17,vs. MEM,9600.00,-5.48
2018-12-14,@ SAC,9400.00,6.58
2018-12-12,vs. TOR,9400.00,-2.6
2018-12-10,vs. MIN,9200.00,15.8
2018-12-07,@ MIL,9900.00,3.21
2018-12-05,@ CLE,9700.00,8.26
2018-12-03,@ ATL,9700.00,1.93
2018-12-01,@ DET,9600.00,5.16
2018-11-08,vs. MIL,10700.00,0.24
2018-11-05,vs. MEM,10700.00,10.6
2018-11-02,vs. MIN,10700.00,6.58
2018-10-31,vs. NOP,9900.00,10.88
2018-10-29,@ CHI,9800.00,7.46
2018-10-28,@ BKN,10000.00,6.63
2018-10-26,@ NYK,9900.00,9.43
2018-10-24,vs. WAS,9300.00,7.35
2018-10-22,vs. PHX,10200.00,1.72
2018-10-21,@ DEN,9800.00,12.4
2018-10-19,@ UTA,9600.00,11.08
2018-10-16,vs. OKC,9600.00,5.56
