Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,19.53
2019-03-27,@ MEM,9300.00,17.85
2019-03-24,vs. DET,9900.00,17.18
2019-03-21,vs. IND,9800.00,20.7
2019-03-19,@ MIN,9400.00,20.49
2019-03-18,@ SAS,9400.00,20.79
2019-03-16,@ OKC,9300.00,22.34
2019-03-13,@ HOU,9200.00,18.45
2019-03-10,vs. PHX,9300.00,18.4
2019-03-08,vs. DEN,9100.00,23.99
2019-03-05,vs. BOS,9400.00,38.19
2019-03-02,@ PHI,9400.00,23.37
2019-02-28,@ ORL,9300.00,22.31
2019-02-27,@ MIA,9300.00,29.42
2019-02-25,@ CHA,9600.00,27.42
2019-02-23,vs. HOU,9500.00,30.95
2019-02-21,vs. SAC,9500.00,28.35
2019-02-17,vs. LBN,-,27.89
2019-02-13,@ POR,9100.00,29.81
2019-02-12,vs. UTA,9100.00,13.87
2019-02-10,vs. MIA,9200.00,28.88
2019-02-08,@ PHX,9200.00,9.18
2019-02-06,vs. SAS,9200.00,23.77
2019-02-02,vs. LAL,9500.00,26.66
2019-01-31,vs. PHI,9200.00,29.37
2019-01-28,@ IND,9600.00,21.95
2019-01-26,@ BOS,9800.00,28.18
2019-01-24,@ WAS,9800.00,30.24
2019-01-21,@ LAL,10000.00,28.45
2019-01-18,@ LAC,10400.00,30.2
2019-01-16,vs. NOP,10000.00,22.54
2019-01-15,@ DEN,10000.00,27.6
2019-01-13,@ DAL,10200.00,24.64
2019-01-11,vs. CHI,10200.00,18.99
2019-01-08,vs. NYK,10400.00,25.4
2019-01-05,@ SAC,10100.00,27.89
2019-01-03,vs. HOU,10400.00,26.69
2018-12-31,@ PHX,10100.00,17.95
2018-12-29,@ POR,9800.00,33.56
2018-12-27,vs. POR,9700.00,17.51
2018-12-25,vs. LAL,9700.00,19.8
2018-12-23,vs. LAC,9500.00,20.87
2018-12-22,vs. DAL,9400.00,15.68
2018-12-19,@ UTA,9200.00,21.49
2018-12-17,vs. MEM,9600.00,27.36
2018-12-14,@ SAC,9400.00,26.64
2018-12-12,vs. TOR,9400.00,20.24
2018-12-10,vs. MIN,9200.00,24.46
2018-12-07,@ MIL,9900.00,19.32
2018-12-05,@ CLE,9700.00,19.96
2018-12-03,@ ATL,9700.00,29.4
2018-12-01,@ DET,9600.00,27.46
2018-11-08,vs. MIL,10700.00,25.24
2018-11-05,vs. MEM,10700.00,25.92
2018-11-02,vs. MIN,10700.00,15.72
2018-10-31,vs. NOP,9900.00,30.75
2018-10-29,@ CHI,9800.00,23.81
2018-10-28,@ BKN,10000.00,19.34
2018-10-26,@ NYK,9900.00,18.76
2018-10-24,vs. WAS,9300.00,16.64
2018-10-22,vs. PHX,10200.00,34.06
2018-10-21,@ DEN,9800.00,21.44
2018-10-19,@ UTA,9600.00,22.78
2018-10-16,vs. OKC,9600.00,6.59
