Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,24.23
2019-03-27,@ MEM,9300.00,13.21
2019-03-24,vs. DET,9900.00,24.76
2019-03-21,vs. IND,9800.00,10.08
2019-03-19,@ MIN,9400.00,24.02
2019-03-18,@ SAS,9400.00,26.82
2019-03-16,@ OKC,9300.00,11.72
2019-03-13,@ HOU,9200.00,25.54
2019-03-10,vs. PHX,9300.00,12.16
2019-03-08,vs. DEN,9100.00,13.44
2019-03-05,vs. BOS,9400.00,18.0
2019-03-02,@ PHI,9400.00,26.8
2019-02-28,@ ORL,9300.00,25.14
2019-02-27,@ MIA,9300.00,15.57
2019-02-25,@ CHA,9600.00,17.44
2019-02-23,vs. HOU,9500.00,22.97
2019-02-21,vs. SAC,9500.00,19.75
2019-02-17,vs. LBN,-,18.23
2019-02-13,@ POR,9100.00,30.54
2019-02-12,vs. UTA,9100.00,11.16
2019-02-10,vs. MIA,9200.00,21.0
2019-02-08,@ PHX,9200.00,27.94
2019-02-06,vs. SAS,9200.00,-2.0
2019-02-02,vs. LAL,9500.00,16.98
2019-01-31,vs. PHI,9200.00,17.45
2019-01-28,@ IND,9600.00,21.91
2019-01-26,@ BOS,9800.00,21.95
2019-01-24,@ WAS,9800.00,26.13
2019-01-21,@ LAL,10000.00,29.58
2019-01-18,@ LAC,10400.00,41.89
2019-01-16,vs. NOP,10000.00,29.15
2019-01-15,@ DEN,10000.00,31.23
2019-01-13,@ DAL,10200.00,27.23
2019-01-11,vs. CHI,10200.00,23.82
2019-01-08,vs. NYK,10400.00,22.27
2019-01-05,@ SAC,10100.00,21.74
2019-01-03,vs. HOU,10400.00,28.32
2018-12-31,@ PHX,10100.00,23.48
2018-12-29,@ POR,9800.00,18.1
2018-12-27,vs. POR,9700.00,21.56
2018-12-25,vs. LAL,9700.00,21.09
2018-12-23,vs. LAC,9500.00,18.63
2018-12-22,vs. DAL,9400.00,21.33
2018-12-19,@ UTA,9200.00,16.64
2018-12-17,vs. MEM,9600.00,16.76
2018-12-14,@ SAC,9400.00,21.32
2018-12-12,vs. TOR,9400.00,12.4
2018-12-10,vs. MIN,9200.00,17.35
2018-12-07,@ MIL,9900.00,22.59
2018-12-05,@ CLE,9700.00,27.35
2018-12-03,@ ATL,9700.00,24.37
2018-12-01,@ DET,9600.00,24.03
2018-11-08,vs. MIL,10700.00,16.77
2018-11-05,vs. MEM,10700.00,15.2
2018-11-02,vs. MIN,10700.00,18.57
2018-10-31,vs. NOP,9900.00,21.7
2018-10-29,@ CHI,9800.00,15.0
2018-10-28,@ BKN,10000.00,16.7
2018-10-26,@ NYK,9900.00,21.87
2018-10-24,vs. WAS,9300.00,16.61
2018-10-22,vs. PHX,10200.00,16.89
2018-10-21,@ DEN,9800.00,14.25
2018-10-19,@ UTA,9600.00,13.23
2018-10-16,vs. OKC,9600.00,12.98
