Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,31.14
2019-03-27,@ MEM,9300.00,27.84
2019-03-24,vs. DET,9900.00,28.1
2019-03-21,vs. IND,9800.00,18.04
2019-03-19,@ MIN,9400.00,19.1
2019-03-18,@ SAS,9400.00,28.75
2019-03-16,@ OKC,9300.00,25.96
2019-03-13,@ HOU,9200.00,24.68
2019-03-10,vs. PHX,9300.00,24.78
2019-03-08,vs. DEN,9100.00,22.32
2019-03-05,vs. BOS,9400.00,27.21
2019-03-02,@ PHI,9400.00,22.48
2019-02-28,@ ORL,9300.00,19.89
2019-02-27,@ MIA,9300.00,15.28
2019-02-25,@ CHA,9600.00,28.1
2019-02-23,vs. HOU,9500.00,35.03
2019-02-21,vs. SAC,9500.00,14.07
2019-02-17,vs. LBN,-,19.15
2019-02-13,@ POR,9100.00,22.57
2019-02-12,vs. UTA,9100.00,21.94
2019-02-10,vs. MIA,9200.00,12.05
2019-02-08,@ PHX,9200.00,22.86
2019-02-06,vs. SAS,9200.00,10.02
2019-02-02,vs. LAL,9500.00,38.94
2019-01-31,vs. PHI,9200.00,26.76
2019-01-28,@ IND,9600.00,26.3
2019-01-26,@ BOS,9800.00,18.5
2019-01-24,@ WAS,9800.00,31.53
2019-01-21,@ LAL,10000.00,22.85
2019-01-18,@ LAC,10400.00,20.44
2019-01-16,vs. NOP,10000.00,23.81
2019-01-15,@ DEN,10000.00,30.87
2019-01-13,@ DAL,10200.00,21.68
2019-01-11,vs. CHI,10200.00,30.21
2019-01-08,vs. NYK,10400.00,20.12
2019-01-05,@ SAC,10100.00,19.09
2019-01-03,vs. HOU,10400.00,29.97
2018-12-31,@ PHX,10100.00,20.88
2018-12-29,@ POR,9800.00,25.45
2018-12-27,vs. POR,9700.00,23.08
2018-12-25,vs. LAL,9700.00,23.83
2018-12-23,vs. LAC,9500.00,21.4
2018-12-22,vs. DAL,9400.00,26.22
2018-12-19,@ UTA,9200.00,24.78
2018-12-17,vs. MEM,9600.00,31.02
2018-12-14,@ SAC,9400.00,31.05
2018-12-12,vs. TOR,9400.00,30.39
2018-12-10,vs. MIN,9200.00,25.87
2018-12-07,@ MIL,9900.00,26.11
2018-12-05,@ CLE,9700.00,26.68
2018-12-03,@ ATL,9700.00,24.12
2018-12-01,@ DET,9600.00,21.86
2018-11-08,vs. MIL,10700.00,16.32
2018-11-05,vs. MEM,10700.00,23.15
2018-11-02,vs. MIN,10700.00,24.36
2018-10-31,vs. NOP,9900.00,27.94
2018-10-29,@ CHI,9800.00,22.3
2018-10-28,@ BKN,10000.00,25.37
2018-10-26,@ NYK,9900.00,23.5
2018-10-24,vs. WAS,9300.00,24.76
2018-10-22,vs. PHX,10200.00,28.17
2018-10-21,@ DEN,9800.00,19.28
2018-10-19,@ UTA,9600.00,19.16
2018-10-16,vs. OKC,9600.00,26.49
