Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,6.77
2019-03-27,@ MEM,9300.00,16.49
2019-03-24,vs. DET,9900.00,17.96
2019-03-21,vs. IND,9800.00,13.19
2019-03-19,@ MIN,9400.00,10.9
2019-03-18,@ SAS,9400.00,6.23
2019-03-16,@ OKC,9300.00,10.33
2019-03-13,@ HOU,9200.00,10.38
2019-03-10,vs. PHX,9300.00,14.97
2019-03-08,vs. DEN,9100.00,16.28
2019-03-05,vs. BOS,9400.00,-0.48
2019-03-02,@ PHI,9400.00,10.77
2019-02-28,@ ORL,9300.00,6.23
2019-02-27,@ MIA,9300.00,8.14
2019-02-25,@ CHA,9600.00,11.56
2019-02-23,vs. HOU,9500.00,17.44
2019-02-21,vs. SAC,9500.00,20.4
2019-02-17,vs. LBN,-,12.76
2019-02-13,@ POR,9100.00,18.23
2019-02-12,vs. UTA,9100.00,24.25
2019-02-10,vs. MIA,9200.00,6.43
2019-02-08,@ PHX,9200.00,13.4
2019-02-06,vs. SAS,9200.00,14.2
2019-02-02,vs. LAL,9500.00,11.57
2019-01-31,vs. PHI,9200.00,13.39
2019-01-28,@ IND,9600.00,7.37
2019-01-26,@ BOS,9800.00,13.26
2019-01-24,@ WAS,9800.00,11.35
2019-01-21,@ LAL,10000.00,16.71
2019-01-18,@ LAC,10400.00,10.58
2019-01-16,vs. NOP,10000.00,4.4
2019-01-15,@ DEN,10000.00,14.79
2019-01-13,@ DAL,10200.00,19.41
2019-01-11,vs. CHI,10200.00,10.67
2019-01-08,vs. NYK,10400.00,12.1
2019-01-05,@ SAC,10100.00,29.56
2019-01-03,vs. HOU,10400.00,6.97
2018-12-31,@ PHX,10100.00,19.07
2018-12-29,@ POR,9800.00,14.62
2018-12-27,vs. POR,9700.00,8.25
2018-12-25,vs. LAL,9700.00,10.63
2018-12-23,vs. LAC,9500.00,5.15
2018-12-22,vs. DAL,9400.00,10.46
2018-12-19,@ UTA,9200.00,19.55
2018-12-17,vs. MEM,9600.00,1.7
2018-12-14,@ SAC,9400.00,20.73
2018-12-12,vs. TOR,9400.00,11.71
2018-12-10,vs. MIN,9200.00,1.24
2018-12-07,@ MIL,9900.00,9.32
2018-12-05,@ CLE,9700.00,16.08
2018-12-03,@ ATL,9700.00,12.63
2018-12-01,@ DET,9600.00,17.42
2018-11-08,vs. MIL,10700.00,11.04
2018-11-05,vs. MEM,10700.00,12.03
2018-11-02,vs. MIN,10700.00,4.01
2018-10-31,vs. NOP,9900.00,-4.6
2018-10-29,@ CHI,9800.00,11.5
2018-10-28,@ BKN,10000.00,10.83
2018-10-26,@ NYK,9900.00,21.12
2018-10-24,vs. WAS,9300.00,9.28
2018-10-22,vs. PHX,10200.00,3.24
2018-10-21,@ DEN,9800.00,6.38
2018-10-19,@ UTA,9600.00,16.65
2018-10-16,vs. OKC,9600.00,26.74
