Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,25.93
2019-03-27,@ MEM,9300.00,25.14
2019-03-24,vs. DET,9900.00,19.57
2019-03-21,vs. IND,9800.00,17.08
2019-03-19,@ MIN,9400.00,19.23
2019-03-18,@ SAS,9400.00,18.66
2019-03-16,@ OKC,9300.00,19.25
2019-03-13,@ HOU,9200.00,32.99
2019-03-10,vs. PHX,9300.00,14.0
2019-03-08,vs. DEN,9100.00,22.18
2019-03-05,vs. BOS,9400.00,10.95
2019-03-02,@ PHI,9400.00,16.53
2019-02-28,@ ORL,9300.00,29.8
2019-02-27,@ MIA,9300.00,25.91
2019-02-25,@ CHA,9600.00,22.56
2019-02-23,vs. HOU,9500.00,26.18
2019-02-21,vs. SAC,9500.00,27.89
2019-02-17,vs. LBN,-,13.66
2019-02-13,@ POR,9100.00,34.39
2019-02-12,vs. UTA,9100.00,11.21
2019-02-10,vs. MIA,9200.00,11.34
2019-02-08,@ PHX,9200.00,19.76
2019-02-06,vs. SAS,9200.00,20.54
2019-02-02,vs. LAL,9500.00,21.46
2019-01-31,vs. PHI,9200.00,33.38
2019-01-28,@ IND,9600.00,29.86
2019-01-26,@ BOS,9800.00,28.77
2019-01-24,@ WAS,9800.00,24.14
2019-01-21,@ LAL,10000.00,18.82
2019-01-18,@ LAC,10400.00,12.19
2019-01-16,vs. NOP,10000.00,34.81
2019-01-15,@ DEN,10000.00,32.49
2019-01-13,@ DAL,10200.00,27.41
2019-01-11,vs. CHI,10200.00,18.54
2019-01-08,vs. NYK,10400.00,18.51
2019-01-05,@ SAC,10100.00,25.33
2019-01-03,vs. HOU,10400.00,31.64
2018-12-31,@ PHX,10100.00,20.08
2018-12-29,@ POR,9800.00,26.44
2018-12-27,vs. POR,9700.00,18.5
2018-12-25,vs. LAL,9700.00,15.87
2018-12-23,vs. LAC,9500.00,20.61
2018-12-22,vs. DAL,9400.00,25.97
2018-12-19,@ UTA,9200.00,22.52
2018-12-17,vs. MEM,9600.00,23.08
2018-12-14,@ SAC,9400.00,11.66
2018-12-12,vs. TOR,9400.00,23.06
2018-12-10,vs. MIN,9200.00,26.62
2018-12-07,@ MIL,9900.00,32.0
2018-12-05,@ CLE,9700.00,20.8
2018-12-03,@ ATL,9700.00,22.61
2018-12-01,@ DET,9600.00,17.28
2018-11-08,vs. MIL,10700.00,19.13
2018-11-05,vs. MEM,10700.00,18.1
2018-11-02,vs. MIN,10700.00,28.81
2018-10-31,vs. NOP,9900.00,27.09
2018-10-29,@ CHI,9800.00,29.0
2018-10-28,@ BKN,10000.00,28.52
2018-10-26,@ NYK,9900.00,27.3
2018-10-24,vs. WAS,9300.00,19.95
2018-10-22,vs. PHX,10200.00,16.58
2018-10-21,@ DEN,9800.00,16.08
2018-10-19,@ UTA,9600.00,29.77
2018-10-16,vs. OKC,9600.00,29.42
