Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,34.75
2019-03-27,@ MEM,9300.00,26.33
2019-03-24,vs. DET,9900.00,17.41
2019-03-21,vs. IND,9800.00,14.69
2019-03-19,@ MIN,9400.00,15.98
2019-03-18,@ SAS,9400.00,28.14
2019-03-16,@ OKC,9300.00,16.89
2019-03-13,@ HOU,9200.00,21.85
2019-03-10,vs. PHX,9300.00,19.47
2019-03-08,vs. DEN,9100.00,3.34
2019-03-05,vs. BOS,9400.00,24.55
2019-03-02,@ PHI,9400.00,28.79
2019-02-28,@ ORL,9300.00,23.54
2019-02-27,@ MIA,9300.00,23.92
2019-02-25,@ CHA,9600.00,21.33
2019-02-23,vs. HOU,9500.00,18.16
2019-02-21,vs. SAC,9500.00,24.43
2019-02-17,vs. LBN,-,6.93
2019-02-13,@ POR,9100.00,31.82
2019-02-12,vs. UTA,9100.00,11.08
2019-02-10,vs. MIA,9200.00,17.26
2019-02-08,@ PHX,9200.00,21.34
2019-02-06,vs. SAS,9200.00,22.25
2019-02-02,vs. LAL,9500.00,15.73
2019-01-31,vs. PHI,9200.00,12.02
2019-01-28,@ IND,9600.00,23.84
2019-01-26,@ BOS,9800.00,24.17
2019-01-24,@ WAS,9800.00,21.15
2019-01-21,@ LAL,10000.00,18.95
2019-01-18,@ LAC,10400.00,19.05
2019-01-16,vs. NOP,10000.00,16.89
2019-01-15,@ DEN,10000.00,22.39
2019-01-13,@ DAL,10200.00,24.11
2019-01-11,vs. CHI,10200.00,12.92
2019-01-08,vs. NYK,10400.00,6.95
2019-01-05,@ SAC,10100.00,21.61
2019-01-03,vs. HOU,10400.00,26.58
2018-12-31,@ PHX,10100.00,10.79
2018-12-29,@ POR,9800.00,20.99
2018-12-27,vs. POR,9700.00,14.71
2018-12-25,vs. LAL,9700.00,17.2
2018-12-23,vs. LAC,9500.00,24.95
2018-12-22,vs. DAL,9400.00,17.43
2018-12-19,@ UTA,9200.00,22.08
2018-12-17,vs. MEM,9600.00,17.81
2018-12-14,@ SAC,9400.00,29.81
2018-12-12,vs. TOR,9400.00,27.34
2018-12-10,vs. MIN,9200.00,22.86
2018-12-07,@ MIL,9900.00,28.42
2018-12-05,@ CLE,9700.00,22.17
2018-12-03,@ ATL,9700.00,20.75
2018-12-01,@ DET,9600.00,19.81
2018-11-08,vs. MIL,10700.00,5.21
2018-11-05,vs. MEM,10700.00,18.55
2018-11-02,vs. MIN,10700.00,23.72
2018-10-31,vs. NOP,9900.00,25.4
2018-10-29,@ CHI,9800.00,25.1
2018-10-28,@ BKN,10000.00,14.73
2018-10-26,@ NYK,9900.00,16.59
2018-10-24,vs. WAS,9300.00,19.0
2018-10-22,vs. PHX,10200.00,18.84
2018-10-21,@ DEN,9800.00,20.33
2018-10-19,@ UTA,9600.00,25.23
2018-10-16,vs. OKC,9600.00,26.51
