Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,10.07
2019-03-27,@ MEM,9300.00,16.93
2019-03-24,vs. DET,9900.00,17.32
2019-03-21,vs. IND,9800.00,19.43
2019-03-19,@ MIN,9400.00,10.54
2019-03-18,@ SAS,9400.00,16.03
2019-03-16,@ OKC,9300.00,23.3
2019-03-13,@ HOU,9200.00,19.69
2019-03-10,vs. PHX,9300.00,10.0
2019-03-08,vs. DEN,9100.00,28.06
2019-03-05,vs. BOS,9400.00,-6.97
2019-03-02,@ PHI,9400.00,18.79
2019-02-28,@ ORL,9300.00,5.65
2019-02-27,@ MIA,9300.00,6.11
2019-02-25,@ CHA,9600.00,9.61
2019-02-23,vs. HOU,9500.00,10.8
2019-02-21,vs. SAC,9500.00,13.36
2019-02-17,vs. LBN,-,27.43
2019-02-13,@ POR,9100.00,4.51
2019-02-12,vs. UTA,9100.00,9.96
2019-02-10,vs. MIA,9200.00,14.2
2019-02-08,@ PHX,9200.00,9.62
2019-02-06,vs. SAS,9200.00,18.19
2019-02-02,vs. LAL,9500.00,18.74
2019-01-31,vs. PHI,9200.00,13.76
2019-01-28,@ IND,9600.00,22.47
2019-01-26,@ BOS,9800.00,18.49
2019-01-24,@ WAS,9800.00,6.93
2019-01-21,@ LAL,10000.00,7.51
2019-01-18,@ LAC,10400.00,21.66
2019-01-16,vs. NOP,10000.00,28.83
2019-01-15,@ DEN,10000.00,20.84
2019-01-13,@ DAL,10200.00,17.33
2019-01-11,vs. CHI,10200.00,9.0
2019-01-08,vs. NYK,10400.00,30.38
2019-01-05,@ SAC,10100.00,16.08
2019-01-03,vs. HOU,10400.00,15.65
2018-12-31,@ PHX,10100.00,24.35
2018-12-29,@ POR,9800.00,13.6
2018-12-27,vs. POR,9700.00,10.36
2018-12-25,vs. LAL,9700.00,13.67
2018-12-23,vs. LAC,9500.00,28.37
2018-12-22,vs. DAL,9400.00,15.73
2018-12-19,@ UTA,9200.00,14.28
2018-12-17,vs. MEM,9600.00,20.07
2018-12-14,@ SAC,9400.00,18.06
2018-12-12,vs. TOR,9400.00,8.85
2018-12-10,vs. MIN,9200.00,29.67
2018-12-07,@ MIL,9900.00,16.29
2018-12-05,@ CLE,9700.00,19.71
2018-12-03,@ ATL,9700.00,5.75
2018-12-01,@ DET,9600.00,18.89
2018-11-08,vs. MIL,10700.00,22.14
2018-11-05,vs. MEM,10700.00,14.93
2018-11-02,vs. MIN,10700.00,13.72
2018-10-31,vs. NOP,9900.00,13.87
2018-10-29,@ CHI,9800.00,20.56
2018-10-28,@ BKN,10000.00,10.67
2018-10-26,@ NYK,9900.00,11.2
2018-10-24,vs. WAS,9300.00,15.53
2018-10-22,vs. PHX,10200.00,13.27
2018-10-21,@ DEN,9800.00,18.45
2018-10-19,@ UTA,9600.00,27.33
2018-10-16,vs. OKC,9600.00,19.31
