Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,12.96
2019-03-27,@ MEM,9300.00,14.42
2019-03-24,vs. DET,9900.00,5.93
2019-03-21,vs. IND,9800.00,32.57
2019-03-19,@ MIN,9400.00,25.88
2019-03-18,@ SAS,9400.00,29.87
2019-03-16,@ OKC,9300.00,28.75
2019-03-13,@ HOU,9200.00,26.46
2019-03-10,vs. PHX,9300.00,26.39
2019-03-08,vs. DEN,9100.00,23.2
2019-03-05,vs. BOS,9400.00,12.9
2019-03-02,@ PHI,9400.00,19.42
2019-02-28,@ ORL,9300.00,20.01
2019-02-27,@ MIA,9300.00,19.67
2019-02-25,@ CHA,9600.00,23.95
2019-02-23,vs. HOU,9500.00,25.28
2019-02-21,vs. SAC,9500.00,31.68
2019-02-17,vs. LBN,-,29.81
2019-02-13,@ POR,9100.00,26.9
2019-02-12,vs. UTA,9100.00,23.96
2019-02-10,vs. MIA,9200.00,19.65
2019-02-08,@ PHX,9200.00,25.59
2019-02-06,vs. SAS,9200.00,25.84
2019-02-02,vs. LAL,9500.00,24.88
2019-01-31,vs. PHI,9200.00,31.47
2019-01-28,@ IND,9600.00,25.1
2019-01-26,@ BOS,9800.00,25.4
2019-01-24,@ WAS,9800.00,17.66
2019-01-21,@ LAL,10000.00,20.53
2019-01-18,@ LAC,10400.00,34.96
2019-01-16,vs. NOP,10000.00,36.23
2019-01-15,@ DEN,10000.00,30.34
2019-01-13,@ DAL,10200.00,28.34
2019-01-11,vs. CHI,10200.00,32.51
2019-01-08,vs. NYK,10400.00,23.55
2019-01-05,@ SAC,10100.00,33.32
2019-01-03,vs. HOU,10400.00,20.6
2018-12-31,@ PHX,10100.00,29.91
2018-12-29,@ POR,9800.00,19.75
2018-12-27,vs. POR,9700.00,25.65
2018-12-25,vs. LAL,9700.00,25.55
2018-12-23,vs. LAC,9500.00,27.07
2018-12-22,vs. DAL,9400.00,6.49
2018-12-19,@ UTA,9200.00,38.22
2018-12-17,vs. MEM,9600.00,34.58
2018-12-14,@ SAC,9400.00,18.61
2018-12-12,vs. TOR,9400.00,20.89
2018-12-10,vs. MIN,9200.00,17.14
2018-12-07,@ MIL,9900.00,30.39
2018-12-05,@ CLE,9700.00,20.04
2018-12-03,@ ATL,9700.00,23.59
2018-12-01,@ DET,9600.00,14.07
2018-11-08,vs. MIL,10700.00,29.61
2018-11-05,vs. MEM,10700.00,36.28
2018-11-02,vs. MIN,10700.00,18.77
2018-10-31,vs. NOP,9900.00,19.92
2018-10-29,@ CHI,9800.00,29.26
2018-10-28,@ BKN,10000.00,35.4
2018-10-26,@ NYK,9900.00,18.43
2018-10-24,vs. WAS,9300.00,27.99
2018-10-22,vs. PHX,10200.00,36.0
2018-10-21,@ DEN,9800.00,30.24
2018-10-19,@ UTA,9600.00,36.0
2018-10-16,vs. OKC,9600.00,31.54
