Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,12.05
2019-03-27,@ MEM,9300.00,20.87
2019-03-24,vs. DET,9900.00,23.1
2019-03-21,vs. IND,9800.00,15.39
2019-03-19,@ MIN,9400.00,26.3
2019-03-18,@ SAS,9400.00,21.34
2019-03-16,@ OKC,9300.00,34.45
2019-03-13,@ HOU,9200.00,16.33
2019-03-10,vs. PHX,9300.00,19.11
2019-03-08,vs. DEN,9100.00,24.42
2019-03-05,vs. BOS,9400.00,22.83
2019-03-02,@ PHI,9400.00,21.27
2019-02-28,@ ORL,9300.00,23.26
2019-02-27,@ MIA,9300.00,28.54
2019-02-25,@ CHA,9600.00,29.23
2019-02-23,vs. HOU,9500.00,25.34
2019-02-21,vs. SAC,9500.00,25.77
2019-02-17,vs. LBN,-,25.35
2019-02-13,@ POR,9100.00,22.58
2019-02-12,vs. UTA,9100.00,22.38
2019-02-10,vs. MIA,9200.00,28.1
2019-02-08,@ PHX,9200.00,4.11
2019-02-06,vs. SAS,9200.00,23.99
2019-02-02,vs. LAL,9500.00,24.37
2019-01-31,vs. PHI,9200.00,32.2
2019-01-28,@ IND,9600.00,25.07
2019-01-26,@ BOS,9800.00,24.05
2019-01-24,@ WAS,9800.00,18.32
2019-01-21,@ LAL,10000.00,29.77
2019-01-18,@ LAC,10400.00,14.77
2019-01-16,vs. NOP,10000.00,16.94
2019-01-15,@ DEN,10000.00,21.97
2019-01-13,@ DAL,10200.00,21.95
2019-01-11,vs. CHI,10200.00,21.05
2019-01-08,vs. NYK,10400.00,31.29
2019-01-05,@ SAC,10100.00,27.29
2019-01-03,vs. HOU,10400.00,14.09
2018-12-31,@ PHX,10100.00,13.5
2018-12-29,@ POR,9800.00,20.54
2018-12-27,vs. POR,9700.00,23.0
2018-12-25,vs. LAL,9700.00,32.34
2018-12-23,vs. LAC,9500.00,21.99
2018-12-22,vs. DAL,9400.00,19.2
2018-12-19,@ UTA,9200.00,23.04
2018-12-17,vs. MEM,9600.00,16.29
2018-12-14,@ SAC,9400.00,32.86
2018-12-12,vs. TOR,9400.00,25.24
2018-12-10,vs. MIN,9200.00,30.41
2018-12-07,@ MIL,9900.00,24.52
2018-12-05,@ CLE,9700.00,22.93
2018-12-03,@ ATL,9700.00,24.64
2018-12-01,@ DET,9600.00,36.12
2018-11-08,vs. MIL,10700.00,19.14
2018-11-05,vs. MEM,10700.00,11.08
2018-11-02,vs. MIN,10700.00,26.98
2018-10-31,vs. NOP,9900.00,12.73
2018-10-29,@ CHI,9800.00,25.04
2018-10-28,@ BKN,10000.00,13.87
2018-10-26,@ NYK,9900.00,30.24
2018-10-24,vs. WAS,9300.00,24.58
2018-10-22,vs. PHX,10200.00,14.11
2018-10-21,@ DEN,9800.00,23.75
2018-10-19,@ UTA,9600.00,15.92
2018-10-16,vs. OKC,9600.00,19.33
