Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,37.52
2019-03-27,@ MEM,9300.00,20.65
2019-03-24,vs. DET,9900.00,25.66
2019-03-21,vs. IND,9800.00,27.73
2019-03-19,@ MIN,9400.00,21.19
2019-03-18,@ SAS,9400.00,31.51
2019-03-16,@ OKC,9300.00,24.72
2019-03-13,@ HOU,9200.00,23.79
2019-03-10,vs. PHX,9300.00,15.34
2019-03-08,vs. DEN,9100.00,32.26
2019-03-05,vs. BOS,9400.00,29.19
2019-03-02,@ PHI,9400.00,23.92
2019-02-28,@ ORL,9300.00,12.02
2019-02-27,@ MIA,9300.00,14.34
2019-02-25,@ CHA,9600.00,33.97
2019-02-23,vs. HOU,9500.00,25.12
2019-02-21,vs. SAC,9500.00,28.76
2019-02-17,vs. LBN,-,33.88
2019-02-13,@ POR,9100.00,31.49
2019-02-12,vs. UTA,9100.00,21.5
2019-02-10,vs. MIA,9200.00,24.55
2019-02-08,@ PHX,9200.00,18.92
2019-02-06,vs. SAS,9200.00,14.05
2019-02-02,vs. LAL,9500.00,20.95
2019-01-31,vs. PHI,9200.00,31.81
2019-01-28,@ IND,9600.00,28.32
2019-01-26,@ BOS,9800.00,18.4
2019-01-24,@ WAS,9800.00,26.37
2019-01-21,@ LAL,10000.00,30.3
2019-01-18,@ LAC,10400.00,28.42
2019-01-16,vs. NOP,10000.00,26.81
2019-01-15,@ DEN,10000.00,35.44
2019-01-13,@ DAL,10200.00,20.34
2019-01-11,vs. CHI,10200.00,25.96
2019-01-08,vs. NYK,10400.00,24.39
2019-01-05,@ SAC,10100.00,23.75
2019-01-03,vs. HOU,10400.00,31.25
2018-12-31,@ PHX,10100.00,19.18
2018-12-29,@ POR,9800.00,27.03
2018-12-27,vs. POR,9700.00,28.14
2018-12-25,vs. LAL,9700.00,29.57
2018-12-23,vs. LAC,9500.00,23.66
2018-12-22,vs. DAL,9400.00,24.4
2018-12-19,@ UTA,9200.00,19.96
2018-12-17,vs. MEM,9600.00,14.22
2018-12-14,@ SAC,9400.00,26.25
2018-12-12,vs. TOR,9400.00,25.08
2018-12-10,vs. MIN,9200.00,28.52
2018-12-07,@ MIL,9900.00,31.88
2018-12-05,@ CLE,9700.00,22.99
2018-12-03,@ ATL,9700.00,32.15
2018-12-01,@ DET,9600.00,27.35
2018-11-08,vs. MIL,10700.00,24.94
2018-11-05,vs. MEM,10700.00,30.47
2018-11-02,vs. MIN,10700.00,31.68
2018-10-31,vs. NOP,9900.00,27.45
2018-10-29,@ CHI,9800.00,28.34
2018-10-28,@ BKN,10000.00,31.72
2018-10-26,@ NYK,9900.00,19.73
2018-10-24,vs. WAS,9300.00,24.56
2018-10-22,vs. PHX,10200.00,25.86
2018-10-21,@ DEN,9800.00,23.72
2018-10-19,@ UTA,9600.00,16.9
2018-10-16,vs. OKC,9600.00,27.17
