Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,22.0
2019-03-27,@ MEM,9300.00,21.33
2019-03-24,vs. DET,9900.00,5.76
2019-03-21,vs. IND,9800.00,20.07
2019-03-19,@ MIN,9400.00,22.87
2019-03-18,@ SAS,9400.00,16.88
2019-03-16,@ OKC,9300.00,24.47
2019-03-13,@ HOU,9200.00,12.16
2019-03-10,vs. PHX,9300.00,18.73
2019-03-08,vs. DEN,9100.00,25.1
2019-03-05,vs. BOS,9400.00,22.72
2019-03-02,@ PHI,9400.00,17.71
2019-02-28,@ ORL,9300.00,17.31
2019-02-27,@ MIA,9300.00,19.79
2019-02-25,@ CHA,9600.00,17.83
2019-02-23,vs. HOU,9500.00,20.79
2019-02-21,vs. SAC,9500.00,13.51
2019-02-17,vs. LBN,-,28.28
2019-02-13,@ POR,9100.00,26.47
2019-02-12,vs. UTA,9100.00,15.8
2019-02-10,vs. MIA,9200.00,19.36
2019-02-08,@ PHX,9200.00,17.16
2019-02-06,vs. SAS,9200.00,15.89
2019-02-02,vs. LAL,9500.00,15.86
2019-01-31,vs. PHI,9200.00,24.18
2019-01-28,@ IND,9600.00,13.08
2019-01-26,@ BOS,9800.00,22.34
2019-01-24,@ WAS,9800.00,22.04
2019-01-21,@ LAL,10000.00,8.02
2019-01-18,@ LAC,10400.00,27.3
2019-01-16,vs. NOP,10000.00,18.97
2019-01-15,@ DEN,10000.00,22.62
2019-01-13,@ DAL,10200.00,25.4
2019-01-11,vs. CHI,10200.00,21.05
2019-01-08,vs. NYK,10400.00,14.77
2019-01-05,@ SAC,10100.00,23.52
2019-01-03,vs. HOU,10400.00,16.32
2018-12-31,@ PHX,10100.00,26.21
2018-12-29,@ POR,9800.00,8.04
2018-12-27,vs. POR,9700.00,12.92
2018-12-25,vs. LAL,9700.00,-4.99
2018-12-23,vs. LAC,9500.00,21.98
2018-12-22,vs. DAL,9400.00,7.06
2018-12-19,@ UTA,9200.00,21.29
2018-12-17,vs. MEM,9600.00,18.92
2018-12-14,@ SAC,9400.00,25.08
2018-12-12,vs. TOR,9400.00,16.77
2018-12-10,vs. MIN,9200.00,24.63
2018-12-07,@ MIL,9900.00,28.96
2018-12-05,@ CLE,9700.00,25.78
2018-12-03,@ ATL,9700.00,14.15
2018-12-01,@ DET,9600.00,12.08
2018-11-08,vs. MIL,10700.00,20.28
2018-11-05,vs. MEM,10700.00,19.71
2018-11-02,vs. MIN,10700.00,12.29
2018-10-31,vs. NOP,9900.00,15.85
2018-10-29,@ CHI,9800.00,26.32
2018-10-28,@ BKN,10000.00,30.98
2018-10-26,@ NYK,9900.00,13.95
2018-10-24,vs. WAS,9300.00,19.42
2018-10-22,vs. PHX,10200.00,27.71
2018-10-21,@ DEN,9800.00,20.92
2018-10-19,@ UTA,9600.00,23.22
2018-10-16,vs. OKC,9600.00,9.31
