Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,57.27
2019-03-27,@ MEM,9300.00,49.66
2019-03-24,vs. DET,9900.00,45.47
2019-03-21,vs. IND,9800.00,37.05
2019-03-19,@ MIN,9400.00,47.96
2019-03-18,@ SAS,9400.00,54.69
2019-03-16,@ OKC,9300.00,38.39
2019-03-13,@ HOU,9200.00,52.37
2019-03-10,vs. PHX,9300.00,44.83
2019-03-08,vs. DEN,9100.00,60.01
2019-03-05,vs. BOS,9400.00,53.76
2019-03-02,@ PHI,9400.00,35.03
2019-02-28,@ ORL,9300.00,40.94
2019-02-27,@ MIA,9300.00,42.32
2019-02-25,@ CHA,9600.00,40.46
2019-02-23,vs. HOU,9500.00,52.89
2019-02-21,vs. SAC,9500.00,51.24
2019-02-17,vs. LBN,-,42.82
2019-02-13,@ POR,9100.00,43.12
2019-02-12,vs. UTA,9100.00,56.56
2019-02-10,vs. MIA,9200.00,46.46
2019-02-08,@ PHX,9200.00,44.92
2019-02-06,vs. SAS,9200.00,49.35
2019-02-02,vs. LAL,9500.00,45.4
2019-01-31,vs. PHI,9200.00,47.46
2019-01-28,@ IND,9600.00,40.73
2019-01-26,@ BOS,9800.00,42.72
2019-01-24,@ WAS,9800.00,42.9
2019-01-21,@ LAL,10000.00,54.86
2019-01-18,@ LAC,10400.00,56.91
2019-01-16,vs. NOP,10000.00,48.47
2019-01-15,@ DEN,10000.00,50.38
2019-01-13,@ DAL,10200.00,61.82
2019-01-11,vs. CHI,10200.00,45.82
2019-01-08,vs. NYK,10400.00,49.31
2019-01-05,@ SAC,10100.00,38.67
2019-01-03,vs. HOU,10400.00,43.41
2018-12-31,@ PHX,10100.00,46.78
2018-12-29,@ POR,9800.00,43.11
2018-12-27,vs. POR,9700.00,51.77
2018-12-25,vs. LAL,9700.00,45.25
2018-12-23,vs. LAC,9500.00,45.32
2018-12-22,vs. DAL,9400.00,46.15
2018-12-19,@ UTA,9200.00,48.45
2018-12-17,vs. MEM,9600.00,53.81
2018-12-14,@ SAC,9400.00,51.34
2018-12-12,vs. TOR,9400.00,50.31
2018-12-10,vs. MIN,9200.00,54.62
2018-12-07,@ MIL,9900.00,47.67
2018-12-05,@ CLE,9700.00,39.76
2018-12-03,@ ATL,9700.00,45.82
2018-12-01,@ DET,9600.00,43.33
2018-11-08,vs. MIL,10700.00,52.96
2018-11-05,vs. MEM,10700.00,46.69
2018-11-02,vs. MIN,10700.00,42.49
2018-10-31,vs. NOP,9900.00,52.08
2018-10-29,@ CHI,9800.00,45.47
2018-10-28,@ BKN,10000.00,37.82
2018-10-26,@ NYK,9900.00,54.39
2018-10-24,vs. WAS,9300.00,37.63
2018-10-22,vs. PHX,10200.00,49.71
2018-10-21,@ DEN,9800.00,53.99
2018-10-19,@ UTA,9600.00,50.8
2018-10-16,vs. OKC,9600.00,42.64
