Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,39.79
2019-03-27,@ MEM,9300.00,42.7
2019-03-24,vs. DET,9900.00,33.85
2019-03-21,vs. IND,9800.00,35.31
2019-03-19,@ MIN,9400.00,39.58
2019-03-18,@ SAS,9400.00,20.35
2019-03-16,@ OKC,9300.00,35.03
2019-03-13,@ HOU,9200.00,32.91
2019-03-10,vs. PHX,9300.00,40.52
2019-03-08,vs. DEN,9100.00,27.38
2019-03-05,vs. BOS,9400.00,31.39
2019-03-02,@ PHI,9400.00,35.71
2019-02-28,@ ORL,9300.00,39.55
2019-02-27,@ MIA,9300.00,29.8
2019-02-25,@ CHA,9600.00,30.96
2019-02-23,vs. HOU,9500.00,35.34
2019-02-21,vs. SAC,9500.00,37.57
2019-02-17,vs. LBN,-,32.24
2019-02-13,@ POR,9100.00,29.96
2019-02-12,vs. UTA,9100.00,35.65
2019-02-10,vs. MIA,9200.00,27.09
2019-02-08,@ PHX,9200.00,34.37
2019-02-06,vs. SAS,9200.00,27.6
2019-02-02,vs. LAL,9500.00,47.95
2019-01-31,vs. PHI,9200.00,33.35
2019-01-28,@ IND,9600.00,39.2
2019-01-26,@ BOS,9800.00,29.99
2019-01-24,@ WAS,9800.00,28.05
2019-01-21,@ LAL,10000.00,34.13
2019-01-18,@ LAC,10400.00,32.31
2019-01-16,vs. NOP,10000.00,32.57
2019-01-15,@ DEN,10000.00,31.35
2019-01-13,@ DAL,10200.00,33.77
2019-01-11,vs. CHI,10200.00,31.37
2019-01-08,vs. NYK,10400.00,35.18
2019-01-05,@ SAC,10100.00,33.57
2019-01-03,vs. HOU,10400.00,27.73
2018-12-31,@ PHX,10100.00,39.69
2018-12-29,@ POR,9800.00,31.54
2018-12-27,vs. POR,9700.00,38.29
2018-12-25,vs. LAL,9700.00,31.74
2018-12-23,vs. LAC,9500.00,42.22
2018-12-22,vs. DAL,9400.00,36.69
2018-12-19,@ UTA,9200.00,25.41
2018-12-17,vs. MEM,9600.00,32.84
2018-12-14,@ SAC,9400.00,38.49
2018-12-12,vs. TOR,9400.00,38.48
2018-12-10,vs. MIN,9200.00,30.59
2018-12-07,@ MIL,9900.00,33.9
2018-12-05,@ CLE,9700.00,26.44
2018-12-03,@ ATL,9700.00,30.82
2018-12-01,@ DET,9600.00,40.24
2018-11-08,vs. MIL,10700.00,21.93
2018-11-05,vs. MEM,10700.00,41.18
2018-11-02,vs. MIN,10700.00,26.05
2018-10-31,vs. NOP,9900.00,27.36
2018-10-29,@ CHI,9800.00,30.8
2018-10-28,@ BKN,10000.00,24.41
2018-10-26,@ NYK,9900.00,40.81
2018-10-24,vs. WAS,9300.00,27.76
2018-10-22,vs. PHX,10200.00,33.43
2018-10-21,@ DEN,9800.00,30.08
2018-10-19,@ UTA,9600.00,30.07
2018-10-16,vs. OKC,9600.00,33.6
