Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,28.37
2019-03-27,@ MEM,9300.00,24.28
2019-03-24,vs. DET,9900.00,35.86
2019-03-21,vs. IND,9800.00,28.67
2019-03-19,@ MIN,9400.00,32.66
2019-03-18,@ SAS,9400.00,33.78
2019-03-16,@ OKC,9300.00,37.78
2019-03-13,@ HOU,9200.00,31.81
2019-03-10,vs. PHX,9300.00,34.0
2019-03-08,vs. DEN,9100.00,38.27
2019-03-05,vs. BOS,9400.00,34.39
2019-03-02,@ PHI,9400.00,33.39
2019-02-28,@ ORL,9300.00,27.37
2019-02-27,@ MIA,9300.00,33.47
2019-02-25,@ CHA,9600.00,33.46
2019-02-23,vs. HOU,9500.00,29.21
2019-02-21,vs. SAC,9500.00,31.57
2019-02-17,vs. LBN,-,25.56
2019-02-13,@ POR,9100.00,24.58
2019-02-12,vs. UTA,9100.00,50.18
2019-02-10,vs. MIA,9200.00,27.41
2019-02-08,@ PHX,9200.00,19.73
2019-02-06,vs. SAS,9200.00,39.28
2019-02-02,vs. LAL,9500.00,29.63
2019-01-31,vs. PHI,9200.00,22.06
2019-01-28,@ IND,9600.00,15.75
2019-01-26,@ BOS,9800.00,39.7
2019-01-24,@ WAS,9800.00,25.54
2019-01-21,@ LAL,10000.00,33.36
2019-01-18,@ LAC,10400.00,28.15
2019-01-16,vs. NOP,10000.00,37.92
2019-01-15,@ DEN,10000.00,33.78
2019-01-13,@ DAL,10200.00,22.76
2019-01-11,vs. CHI,10200.00,30.74
2019-01-08,vs. NYK,10400.00,34.85
2019-01-05,@ SAC,10100.00,37.46
2019-01-03,vs. HOU,10400.00,25.38
2018-12-31,@ PHX,10100.00,39.83
2018-12-29,@ POR,9800.00,31.41
2018-12-27,vs. POR,9700.00,34.19
2018-12-25,vs. LAL,9700.00,31.72
2018-12-23,vs. LAC,9500.00,35.71
2018-12-22,vs. DAL,9400.00,29.22
2018-12-19,@ UTA,9200.00,37.79
2018-12-17,vs. MEM,9600.00,38.85
2018-12-14,@ SAC,9400.00,36.14
2018-12-12,vs. TOR,9400.00,27.35
2018-12-10,vs. MIN,9200.00,21.36
2018-12-07,@ MIL,9900.00,33.45
2018-12-05,@ CLE,9700.00,26.62
2018-12-03,@ ATL,9700.00,39.25
2018-12-01,@ DET,9600.00,27.98
2018-11-08,vs. MIL,10700.00,25.86
2018-11-05,vs. MEM,10700.00,30.04
2018-11-02,vs. MIN,10700.00,32.82
2018-10-31,vs. NOP,9900.00,26.38
2018-10-29,@ CHI,9800.00,36.58
2018-10-28,@ BKN,10000.00,24.17
2018-10-26,@ NYK,9900.00,25.63
2018-10-24,vs. WAS,9300.00,36.62
2018-10-22,vs. PHX,10200.00,38.79
2018-10-21,@ DEN,9800.00,30.54
2018-10-19,@ UTA,9600.00,31.21
2018-10-16,vs. OKC,9600.00,31.27
