Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,14.33
2019-03-27,@ MEM,9300.00,4.18
2019-03-24,vs. DET,9900.00,1.93
2019-03-21,vs. IND,9800.00,3.53
2019-03-19,@ MIN,9400.00,10.53
2019-03-18,@ SAS,9400.00,8.86
2019-03-16,@ OKC,9300.00,13.37
2019-03-13,@ HOU,9200.00,5.85
2019-03-10,vs. PHX,9300.00,6.25
2019-03-08,vs. DEN,9100.00,11.09
2019-03-05,vs. BOS,9400.00,12.27
2019-03-02,@ PHI,9400.00,11.17
2019-02-28,@ ORL,9300.00,16.12
2019-02-27,@ MIA,9300.00,8.52
2019-02-25,@ CHA,9600.00,1.64
2019-02-23,vs. HOU,9500.00,24.63
2019-02-21,vs. SAC,9500.00,12.83
2019-02-17,vs. LBN,-,16.98
2019-02-13,@ POR,9100.00,7.38
2019-02-12,vs. UTA,9100.00,21.22
2019-02-10,vs. MIA,9200.00,24.49
2019-02-08,@ PHX,9200.00,11.49
2019-02-06,vs. SAS,9200.00,14.06
2019-02-02,vs. LAL,9500.00,4.85
2019-01-31,vs. PHI,9200.00,18.6
2019-01-28,@ IND,9600.00,13.48
2019-01-26,@ BOS,9800.00,-1.79
2019-01-24,@ WAS,9800.00,13.07
2019-01-21,@ LAL,10000.00,3.13
2019-01-18,@ LAC,10400.00,14.23
2019-01-16,vs. NOP,10000.00,4.13
2019-01-15,@ DEN,10000.00,11.71
2019-01-13,@ DAL,10200.00,8.19
2019-01-11,vs. CHI,10200.00,6.5
2019-01-08,vs. NYK,10400.00,20.91
2019-01-05,@ SAC,10100.00,12.25
2019-01-03,vs. HOU,10400.00,13.52
2018-12-31,@ PHX,10100.00,10.4
2018-12-29,@ POR,9800.00,4.42
2018-12-27,vs. POR,9700.00,16.68
2018-12-25,vs. LAL,9700.00,4.92
2018-12-23,vs. LAC,9500.00,3.73
2018-12-22,vs. DAL,9400.00,4.76
2018-12-19,@ UTA,9200.00,5.78
2018-12-17,vs. MEM,9600.00,19.46
2018-12-14,@ SAC,9400.00,10.82
2018-12-12,vs. TOR,9400.00,-7.02
2018-12-10,vs. MIN,9200.00,14.45
2018-12-07,@ MIL,9900.00,13.71
2018-12-05,@ CLE,9700.00,12.26
2018-12-03,@ ATL,9700.00,16.85
2018-12-01,@ DET,9600.00,15.88
2018-11-08,vs. MIL,10700.00,8.34
2018-11-05,vs. MEM,10700.00,13.92
2018-11-02,vs. MIN,10700.00,8.12
2018-10-31,vs. NOP,9900.00,14.51
2018-10-29,@ CHI,9800.00,11.44
2018-10-28,@ BKN,10000.00,6.54
2018-10-26,@ NYK,9900.00,6.43
2018-10-24,vs. WAS,9300.00,7.94
2018-10-22,vs. PHX,10200.00,20.53
2018-10-21,@ DEN,9800.00,7.58
2018-10-19,@ UTA,9600.00,-4.48
2018-10-16,vs. OKC,9600.00,14.13
