Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,10.22
2019-03-27,@ MEM,9300.00,9.27
2019-03-24,vs. DET,9900.00,4.46
2019-03-21,vs. IND,9800.00,15.0
2019-03-19,@ MIN,9400.00,10.02
2019-03-18,@ SAS,9400.00,12.79
2019-03-16,@ OKC,9300.00,11.01
2019-03-13,@ HOU,9200.00,3.5
2019-03-10,vs. PHX,9300.00,0.35
2019-03-08,vs. DEN,9100.00,-2.21
2019-03-05,vs. BOS,9400.00,18.11
2019-03-02,@ PHI,9400.00,4.61
2019-02-28,@ ORL,9300.00,5.6
2019-02-27,@ MIA,9300.00,7.32
2019-02-25,@ CHA,9600.00,6.1
2019-02-23,vs. HOU,9500.00,14.36
2019-02-21,vs. SAC,9500.00,10.13
2019-02-17,vs. LBN,-,7.23
2019-02-13,@ POR,9100.00,-2.09
2019-02-12,vs. UTA,9100.00,0.61
2019-02-10,vs. MIA,9200.00,3.3
2019-02-08,@ PHX,9200.00,4.54
2019-02-06,vs. SAS,9200.00,4.08
2019-02-02,vs. LAL,9500.00,0.25
2019-01-31,vs. PHI,9200.00,-6.86
2019-01-28,@ IND,9600.00,-2.22
2019-01-26,@ BOS,9800.00,-3.97
2019-01-24,@ WAS,9800.00,-2.39
2019-01-21,@ LAL,10000.00,6.8
2019-01-18,@ LAC,10400.00,6.52
2019-01-16,vs. NOP,10000.00,6.28
2019-01-15,@ DEN,10000.00,7.54
2019-01-13,@ DAL,10200.00,17.41
2019-01-11,vs. CHI,10200.00,4.81
2019-01-08,vs. NYK,10400.00,11.94
2019-01-05,@ SAC,10100.00,7.4
2019-01-03,vs. HOU,10400.00,4.7
2018-12-31,@ PHX,10100.00,6.48
2018-12-29,@ POR,9800.00,9.16
2018-12-27,vs. POR,9700.00,9.83
2018-12-25,vs. LAL,9700.00,6.33
2018-12-23,vs. LAC,9500.00,11.34
2018-12-22,vs. DAL,9400.00,-0.88
2018-12-19,@ UTA,9200.00,11.96
2018-12-17,vs. MEM,9600.00,1.25
2018-12-14,@ SAC,9400.00,9.45
2018-12-12,vs. TOR,9400.00,15.1
2018-12-10,vs. MIN,9200.00,4.97
2018-12-07,@ MIL,9900.00,1.92
2018-12-05,@ CLE,9700.00,19.04
2018-12-03,@ ATL,9700.00,5.15
2018-12-01,@ DET,9600.00,15.92
2018-11-08,vs. MIL,10700.00,7.95
2018-11-05,vs. MEM,10700.00,7.85
2018-11-02,vs. MIN,10700.00,11.14
2018-10-31,vs. NOP,9900.00,14.4
2018-10-29,@ CHI,9800.00,7.04
2018-10-28,@ BKN,10000.00,10.76
2018-10-26,@ NYK,9900.00,4.95
2018-10-24,vs. WAS,9300.00,8.81
2018-10-22,vs. PHX,10200.00,10.61
2018-10-21,@ DEN,9800.00,5.75
2018-10-19,@ UTA,9600.00,-0.12
2018-10-16,vs. OKC,9600.00,13.68
