Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,23.29
2019-03-27,@ MEM,9300.00,24.3
2019-03-24,vs. DET,9900.00,25.27
2019-03-21,vs. IND,9800.00,10.21
2019-03-19,@ MIN,9400.00,21.57
2019-03-18,@ SAS,9400.00,23.53
2019-03-16,@ OKC,9300.00,19.03
2019-03-13,@ HOU,9200.00,23.05
2019-03-10,vs. PHX,9300.00,10.43
2019-03-08,vs. DEN,9100.00,17.18
2019-03-05,vs. BOS,9400.00,17.6
2019-03-02,@ PHI,9400.00,7.85
2019-02-28,@ ORL,9300.00,7.13
2019-02-27,@ MIA,9300.00,17.53
2019-02-25,@ CHA,9600.00,8.86
2019-02-23,vs. HOU,9500.00,14.48
2019-02-21,vs. SAC,9500.00,17.85
2019-02-17,vs. LBN,-,24.35
2019-02-13,@ POR,9100.00,25.66
2019-02-12,vs. UTA,9100.00,16.76
2019-02-10,vs. MIA,9200.00,19.54
2019-02-08,@ PHX,9200.00,21.51
2019-02-06,vs. SAS,9200.00,16.28
2019-02-02,vs. LAL,9500.00,28.16
2019-01-31,vs. PHI,9200.00,20.72
2019-01-28,@ IND,9600.00,16.39
2019-01-26,@ BOS,9800.00,21.68
2019-01-24,@ WAS,9800.00,28.09
2019-01-21,@ LAL,10000.00,6.3
2019-01-18,@ LAC,10400.00,29.65
2019-01-16,vs. NOP,10000.00,17.8
2019-01-15,@ DEN,10000.00,15.42
2019-01-13,@ DAL,10200.00,11.94
2019-01-11,vs. CHI,10200.00,16.77
2019-01-08,vs. NYK,10400.00,21.27
2019-01-05,@ SAC,10100.00,13.42
2019-01-03,vs. HOU,10400.00,22.05
2018-12-31,@ PHX,10100.00,5.99
2018-12-29,@ POR,9800.00,20.65
2018-12-27,vs. POR,9700.00,7.44
2018-12-25,vs. LAL,9700.00,24.13
2018-12-23,vs. LAC,9500.00,19.63
2018-12-22,vs. DAL,9400.00,10.21
2018-12-19,@ UTA,9200.00,13.45
2018-12-17,vs. MEM,9600.00,21.47
2018-12-14,@ SAC,9400.00,10.23
2018-12-12,vs. TOR,9400.00,25.77
2018-12-10,vs. MIN,9200.00,25.24
2018-12-07,@ MIL,9900.00,14.45
2018-12-05,@ CLE,9700.00,29.2
2018-12-03,@ ATL,9700.00,18.23
2018-12-01,@ DET,9600.00,20.41
2018-11-08,vs. MIL,10700.00,23.69
2018-11-05,vs. MEM,10700.00,11.83
2018-11-02,vs. MIN,10700.00,7.37
2018-10-31,vs. NOP,9900.00,17.9
2018-10-29,@ CHI,9800.00,15.35
2018-10-28,@ BKN,10000.00,28.28
2018-10-26,@ NYK,9900.00,22.79
2018-10-24,vs. WAS,9300.00,18.89
2018-10-22,vs. PHX,10200.00,21.86
2018-10-21,@ DEN,9800.00,21.84
2018-10-19,@ UTA,9600.00,13.48
2018-10-16,vs. OKC,9600.00,22.67
