Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,24.24
2019-03-27,@ MEM,9300.00,30.88
2019-03-24,vs. DET,9900.00,21.85
2019-03-21,vs. IND,9800.00,27.43
2019-03-19,@ MIN,9400.00,30.39
2019-03-18,@ SAS,9400.00,27.78
2019-03-16,@ OKC,9300.00,30.99
2019-03-13,@ HOU,9200.00,36.74
2019-03-10,vs. PHX,9300.00,34.79
2019-03-08,vs. DEN,9100.00,37.67
2019-03-05,vs. BOS,9400.00,37.16
2019-03-02,@ PHI,9400.00,25.27
2019-02-28,@ ORL,9300.00,28.0
2019-02-27,@ MIA,9300.00,18.26
2019-02-25,@ CHA,9600.00,17.26
2019-02-23,vs. HOU,9500.00,23.25
2019-02-21,vs. SAC,9500.00,33.74
2019-02-17,vs. LBN,-,39.01
2019-02-13,@ POR,9100.00,24.45
2019-02-12,vs. UTA,9100.00,24.68
2019-02-10,vs. MIA,9200.00,32.74
2019-02-08,@ PHX,9200.00,24.75
2019-02-06,vs. SAS,9200.00,26.09
2019-02-02,vs. LAL,9500.00,27.85
2019-01-31,vs. PHI,9200.00,42.44
2019-01-28,@ IND,9600.00,31.01
2019-01-26,@ BOS,9800.00,28.18
2019-01-24,@ WAS,9800.00,21.25
2019-01-21,@ LAL,10000.00,36.32
2019-01-18,@ LAC,10400.00,35.7
2019-01-16,vs. NOP,10000.00,32.38
2019-01-15,@ DEN,10000.00,27.03
2019-01-13,@ DAL,10200.00,29.79
2019-01-11,vs. CHI,10200.00,27.9
2019-01-08,vs. NYK,10400.00,35.24
2019-01-05,@ SAC,10100.00,31.39
2019-01-03,vs. HOU,10400.00,31.42
2018-12-31,@ PHX,10100.00,20.97
2018-12-29,@ POR,9800.00,28.64
2018-12-27,vs. POR,9700.00,36.83
2018-12-25,vs. LAL,9700.00,26.13
2018-12-23,vs. LAC,9500.00,25.53
2018-12-22,vs. DAL,9400.00,30.26
2018-12-19,@ UTA,9200.00,29.49
2018-12-17,vs. MEM,9600.00,28.31
2018-12-14,@ SAC,9400.00,33.23
2018-12-12,vs. TOR,9400.00,26.36
2018-12-10,vs. MIN,9200.00,37.26
2018-12-07,@ MIL,9900.00,36.4
2018-12-05,@ CLE,9700.00,40.29
2018-12-03,@ ATL,9700.00,24.15
2018-12-01,@ DET,9600.00,17.69
2018-11-08,vs. MIL,10700.00,19.49
2018-11-05,vs. MEM,10700.00,28.2
2018-11-02,vs. MIN,10700.00,22.0
2018-10-31,vs. NOP,9900.00,27.17
2018-10-29,@ CHI,9800.00,32.99
2018-10-28,@ BKN,10000.00,26.56
2018-10-26,@ NYK,9900.00,36.25
2018-10-24,vs. WAS,9300.00,32.54
2018-10-22,vs. PHX,10200.00,29.01
2018-10-21,@ DEN,9800.00,29.13
2018-10-19,@ UTA,9600.00,24.82
2018-10-16,vs. OKC,9600.00,27.74
