Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,9.05
2019-03-27,@ MEM,9300.00,10.73
2019-03-24,vs. DET,9900.00,4.32
2019-03-21,vs. IND,9800.00,11.5
2019-03-19,@ MIN,9400.00,-1.92
2019-03-18,@ SAS,9400.00,-3.35
2019-03-16,@ OKC,9300.00,2.27
2019-03-13,@ HOU,9200.00,-1.59
2019-03-10,vs. PHX,9300.00,-0.06
2019-03-08,vs. DEN,9100.00,20.71
2019-03-05,vs. BOS,9400.00,4.59
2019-03-02,@ PHI,9400.00,3.93
2019-02-28,@ ORL,9300.00,1.91
2019-02-27,@ MIA,9300.00,8.67
2019-02-25,@ CHA,9600.00,9.11
2019-02-23,vs. HOU,9500.00,4.45
2019-02-21,vs. SAC,9500.00,8.86
2019-02-17,vs. LBN,-,1.12
2019-02-13,@ POR,9100.00,-3.05
2019-02-12,vs. UTA,9100.00,1.02
2019-02-10,vs. MIA,9200.00,5.14
2019-02-08,@ PHX,9200.00,7.98
2019-02-06,vs. SAS,9200.00,5.58
2019-02-02,vs. LAL,9500.00,4.4
2019-01-31,vs. PHI,9200.00,4.66
2019-01-28,@ IND,9600.00,-2.79
2019-01-26,@ BOS,9800.00,10.1
2019-01-24,@ WAS,9800.00,1.09
2019-01-21,@ LAL,10000.00,6.57
2019-01-18,@ LAC,10400.00,9.9
2019-01-16,vs. NOP,10000.00,6.28
2019-01-15,@ DEN,10000.00,16.08
2019-01-13,@ DAL,10200.00,2.71
2019-01-11,vs. CHI,10200.00,8.31
2019-01-08,vs. NYK,10400.00,7.47
2019-01-05,@ SAC,10100.00,-2.97
2019-01-03,vs. HOU,10400.00,6.41
2018-12-31,@ PHX,10100.00,4.18
2018-12-29,@ POR,9800.00,15.79
2018-12-27,vs. POR,9700.00,5.8
2018-12-25,vs. LAL,9700.00,1.96
2018-12-23,vs. LAC,9500.00,8.27
2018-12-22,vs. DAL,9400.00,11.38
2018-12-19,@ UTA,9200.00,9.06
2018-12-17,vs. MEM,9600.00,4.31
2018-12-14,@ SAC,9400.00,11.11
2018-12-12,vs. TOR,9400.00,2.59
2018-12-10,vs. MIN,9200.00,12.32
2018-12-07,@ MIL,9900.00,9.59
2018-12-05,@ CLE,9700.00,-0.13
2018-12-03,@ ATL,9700.00,6.51
2018-12-01,@ DET,9600.00,14.16
2018-11-08,vs. MIL,10700.00,10.2
2018-11-05,vs. MEM,10700.00,16.8
2018-11-02,vs. MIN,10700.00,11.59
2018-10-31,vs. NOP,9900.00,-2.47
2018-10-29,@ CHI,9800.00,11.3
2018-10-28,@ BKN,10000.00,-1.99
2018-10-26,@ NYK,9900.00,10.49
2018-10-24,vs. WAS,9300.00,-2.28
2018-10-22,vs. PHX,10200.00,6.67
2018-10-21,@ DEN,9800.00,10.08
2018-10-19,@ UTA,9600.00,-8.27
2018-10-16,vs. OKC,9600.00,-1.29
