Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,24.81
2019-03-27,@ MEM,9300.00,30.98
2019-03-24,vs. DET,9900.00,22.23
2019-03-21,vs. IND,9800.00,9.31
2019-03-19,@ MIN,9400.00,25.47
2019-03-18,@ SAS,9400.00,18.61
2019-03-16,@ OKC,9300.00,17.42
2019-03-13,@ HOU,9200.00,25.52
2019-03-10,vs. PHX,9300.00,22.41
2019-03-08,vs. DEN,9100.00,19.68
2019-03-05,vs. BOS,9400.00,21.25
2019-03-02,@ PHI,9400.00,35.15
2019-02-28,@ ORL,9300.00,23.13
2019-02-27,@ MIA,9300.00,14.8
2019-02-25,@ CHA,9600.00,33.99
2019-02-23,vs. HOU,9500.00,29.38
2019-02-21,vs. SAC,9500.00,23.52
2019-02-17,vs. LBN,-,18.43
2019-02-13,@ POR,9100.00,21.56
2019-02-12,vs. UTA,9100.00,18.71
2019-02-10,vs. MIA,9200.00,27.48
2019-02-08,@ PHX,9200.00,21.67
2019-02-06,vs. SAS,9200.00,30.09
2019-02-02,vs. LAL,9500.00,27.53
2019-01-31,vs. PHI,9200.00,21.7
2019-01-28,@ IND,9600.00,33.32
2019-01-26,@ BOS,9800.00,25.84
2019-01-24,@ WAS,9800.00,25.55
2019-01-21,@ LAL,10000.00,26.16
2019-01-18,@ LAC,10400.00,16.36
2019-01-16,vs. NOP,10000.00,31.13
2019-01-15,@ DEN,10000.00,13.58
2019-01-13,@ DAL,10200.00,21.2
2019-01-11,vs. CHI,10200.00,27.1
2019-01-08,vs. NYK,10400.00,25.58
2019-01-05,@ SAC,10100.00,17.51
2019-01-03,vs. HOU,10400.00,17.11
2018-12-31,@ PHX,10100.00,24.78
2018-12-29,@ POR,9800.00,35.49
2018-12-27,vs. POR,9700.00,28.5
2018-12-25,vs. LAL,9700.00,23.91
2018-12-23,vs. LAC,9500.00,24.6
2018-12-22,vs. DAL,9400.00,16.24
2018-12-19,@ UTA,9200.00,24.42
2018-12-17,vs. MEM,9600.00,27.29
2018-12-14,@ SAC,9400.00,12.53
2018-12-12,vs. TOR,9400.00,23.81
2018-12-10,vs. MIN,9200.00,24.69
2018-12-07,@ MIL,9900.00,20.35
2018-12-05,@ CLE,9700.00,23.66
2018-12-03,@ ATL,9700.00,35.11
2018-12-01,@ DET,9600.00,21.79
2018-11-08,vs. MIL,10700.00,27.47
2018-11-05,vs. MEM,10700.00,30.75
2018-11-02,vs. MIN,10700.00,37.9
2018-10-31,vs. NOP,9900.00,23.82
2018-10-29,@ CHI,9800.00,21.31
2018-10-28,@ BKN,10000.00,30.52
2018-10-26,@ NYK,9900.00,24.02
2018-10-24,vs. WAS,9300.00,28.42
2018-10-22,vs. PHX,10200.00,22.0
2018-10-21,@ DEN,9800.00,20.66
2018-10-19,@ UTA,9600.00,31.42
2018-10-16,vs. OKC,9600.00,33.51
