Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,2.76
2019-03-27,@ MEM,9300.00,18.7
2019-03-24,vs. DET,9900.00,6.76
2019-03-21,vs. IND,9800.00,1.18
2019-03-19,@ MIN,9400.00,16.82
2019-03-18,@ SAS,9400.00,6.06
2019-03-16,@ OKC,9300.00,1.62
2019-03-13,@ HOU,9200.00,9.97
2019-03-10,vs. PHX,9300.00,11.67
2019-03-08,vs. DEN,9100.00,1.82
2019-03-05,vs. BOS,9400.00,12.35
2019-03-02,@ PHI,9400.00,1.23
2019-02-28,@ ORL,9300.00,12.82
2019-02-27,@ MIA,9300.00,2.73
2019-02-25,@ CHA,9600.00,-0.62
2019-02-23,vs. HOU,9500.00,10.08
2019-02-21,vs. SAC,9500.00,13.02
2019-02-17,vs. LBN,-,7.32
2019-02-13,@ POR,9100.00,19.26
2019-02-12,vs. UTA,9100.00,8.95
2019-02-10,vs. MIA,9200.00,18.17
2019-02-08,@ PHX,9200.00,4.74
2019-02-06,vs. SAS,9200.00,5.04
2019-02-02,vs. LAL,9500.00,15.66
2019-01-31,vs. PHI,9200.00,22.81
2019-01-28,@ IND,9600.00,3.11
2019-01-26,@ BOS,9800.00,13.08
2019-01-24,@ WAS,9800.00,14.62
2019-01-21,@ LAL,10000.00,9.0
2019-01-18,@ LAC,10400.00,10.98
2019-01-16,vs. NOP,10000.00,6.3
2019-01-15,@ DEN,10000.00,15.46
2019-01-13,@ DAL,10200.00,14.86
2019-01-11,vs. CHI,10200.00,7.71
2019-01-08,vs. NYK,10400.00,10.47
2019-01-05,@ SAC,10100.00,11.99
2019-01-03,vs. HOU,10400.00,25.68
2018-12-31,@ PHX,10100.00,10.96
2018-12-29,@ POR,9800.00,6.14
2018-12-27,vs. POR,9700.00,6.31
2018-12-25,vs. LAL,9700.00,-1.22
2018-12-23,vs. LAC,9500.00,-6.23
2018-12-22,vs. DAL,9400.00,0.79
2018-12-19,@ UTA,9200.00,4.88
2018-12-17,vs. MEM,9600.00,3.45
2018-12-14,@ SAC,9400.00,-1.26
2018-12-12,vs. TOR,9400.00,10.97
2018-12-10,vs. MIN,9200.00,-2.5
2018-12-07,@ MIL,9900.00,7.96
2018-12-05,@ CLE,9700.00,2.42
2018-12-03,@ ATL,9700.00,10.41
2018-12-01,@ DET,9600.00,9.76
2018-11-08,vs. MIL,10700.00,10.05
2018-11-05,vs. MEM,10700.00,12.59
2018-11-02,vs. MIN,10700.00,5.99
2018-10-31,vs. NOP,9900.00,14.16
2018-10-29,@ CHI,9800.00,6.54
2018-10-28,@ BKN,10000.00,15.51
2018-10-26,@ NYK,9900.00,15.85
2018-10-24,vs. WAS,9300.00,4.62
2018-10-22,vs. PHX,10200.00,2.24
2018-10-21,@ DEN,9800.00,19.39
2018-10-19,@ UTA,9600.00,13.01
2018-10-16,vs. OKC,9600.00,7.8
