Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,31.21
2019-03-27,@ MEM,9300.00,23.92
2019-03-24,vs. DET,9900.00,29.18
2019-03-21,vs. IND,9800.00,36.13
2019-03-19,@ MIN,9400.00,36.04
2019-03-18,@ SAS,9400.00,30.89
2019-03-16,@ OKC,9300.00,35.1
2019-03-13,@ HOU,9200.00,38.47
2019-03-10,vs. PHX,9300.00,33.33
2019-03-08,vs. DEN,9100.00,37.25
2019-03-05,vs. BOS,9400.00,34.73
2019-03-02,@ PHI,9400.00,32.07
2019-02-28,@ ORL,9300.00,29.67
2019-02-27,@ MIA,9300.00,38.23
2019-02-25,@ CHA,9600.00,25.77
2019-02-23,vs. HOU,9500.00,32.66
2019-02-21,vs. SAC,9500.00,28.7
2019-02-17,vs. LBN,-,33.58
2019-02-13,@ POR,9100.00,36.49
2019-02-12,vs. UTA,9100.00,38.12
2019-02-10,vs. MIA,9200.00,41.67
2019-02-08,@ PHX,9200.00,35.91
2019-02-06,vs. SAS,9200.00,33.26
2019-02-02,vs. LAL,9500.00,26.25
2019-01-31,vs. PHI,9200.00,34.3
2019-01-28,@ IND,9600.00,34.89
2019-01-26,@ BOS,9800.00,28.49
2019-01-24,@ WAS,9800.00,28.19
2019-01-21,@ LAL,10000.00,36.17
2019-01-18,@ LAC,10400.00,31.49
2019-01-16,vs. NOP,10000.00,35.11
2019-01-15,@ DEN,10000.00,30.23
2019-01-13,@ DAL,10200.00,41.63
2019-01-11,vs. CHI,10200.00,39.1
2019-01-08,vs. NYK,10400.00,25.11
2019-01-05,@ SAC,10100.00,31.61
2019-01-03,vs. HOU,10400.00,31.63
2018-12-31,@ PHX,10100.00,31.02
2018-12-29,@ POR,9800.00,30.0
2018-12-27,vs. POR,9700.00,33.35
2018-12-25,vs. LAL,9700.00,24.12
2018-12-23,vs. LAC,9500.00,38.89
2018-12-22,vs. DAL,9400.00,27.83
2018-12-19,@ UTA,9200.00,21.19
2018-12-17,vs. MEM,9600.00,33.82
2018-12-14,@ SAC,9400.00,36.24
2018-12-12,vs. TOR,9400.00,33.29
2018-12-10,vs. MIN,9200.00,36.65
2018-12-07,@ MIL,9900.00,21.88
2018-12-05,@ CLE,9700.00,37.49
2018-12-03,@ ATL,9700.00,17.02
2018-12-01,@ DET,9600.00,38.67
2018-11-08,vs. MIL,10700.00,32.11
2018-11-05,vs. MEM,10700.00,28.62
2018-11-02,vs. MIN,10700.00,32.18
2018-10-31,vs. NOP,9900.00,33.94
2018-10-29,@ CHI,9800.00,40.01
2018-10-28,@ BKN,10000.00,45.67
2018-10-26,@ NYK,9900.00,40.59
2018-10-24,vs. WAS,9300.00,43.83
2018-10-22,vs. PHX,10200.00,30.16
2018-10-21,@ DEN,9800.00,29.24
2018-10-19,@ UTA,9600.00,28.26
2018-10-16,vs. OKC,9600.00,34.8
