Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,45.29
2019-03-27,@ MEM,9300.00,49.63
2019-03-24,vs. DET,9900.00,48.09
2019-03-21,vs. IND,9800.00,40.09
2019-03-19,@ MIN,9400.00,35.28
2019-03-18,@ SAS,9400.00,50.15
2019-03-16,@ OKC,9300.00,43.2
2019-03-13,@ HOU,9200.00,45.08
2019-03-10,vs. PHX,9300.00,51.08
2019-03-08,vs. DEN,9100.00,48.96
2019-03-05,vs. BOS,9400.00,34.15
2019-03-02,@ PHI,9400.00,50.57
2019-02-28,@ ORL,9300.00,33.36
2019-02-27,@ MIA,9300.00,39.01
2019-02-25,@ CHA,9600.00,40.67
2019-02-23,vs. HOU,9500.00,48.26
2019-02-21,vs. SAC,9500.00,35.84
2019-02-17,vs. LBN,-,48.58
2019-02-13,@ POR,9100.00,48.79
2019-02-12,vs. UTA,9100.00,39.76
2019-02-10,vs. MIA,9200.00,43.85
2019-02-08,@ PHX,9200.00,41.27
2019-02-06,vs. SAS,9200.00,48.65
2019-02-02,vs. LAL,9500.00,47.15
2019-01-31,vs. PHI,9200.00,42.76
2019-01-28,@ IND,9600.00,30.59
2019-01-26,@ BOS,9800.00,46.53
2019-01-24,@ WAS,9800.00,47.24
2019-01-21,@ LAL,10000.00,27.55
2019-01-18,@ LAC,10400.00,40.92
2019-01-16,vs. NOP,10000.00,34.58
2019-01-15,@ DEN,10000.00,48.61
2019-01-13,@ DAL,10200.00,53.24
2019-01-11,vs. CHI,10200.00,52.88
2019-01-08,vs. NYK,10400.00,47.2
2019-01-05,@ SAC,10100.00,52.43
2019-01-03,vs. HOU,10400.00,42.0
2018-12-31,@ PHX,10100.00,45.37
2018-12-29,@ POR,9800.00,41.6
2018-12-27,vs. POR,9700.00,46.7
2018-12-25,vs. LAL,9700.00,39.47
2018-12-23,vs. LAC,9500.00,52.65
2018-12-22,vs. DAL,9400.00,44.07
2018-12-19,@ UTA,9200.00,47.58
2018-12-17,vs. MEM,9600.00,46.49
2018-12-14,@ SAC,9400.00,46.92
2018-12-12,vs. TOR,9400.00,45.29
2018-12-10,vs. MIN,9200.00,45.64
2018-12-07,@ MIL,9900.00,46.07
2018-12-05,@ CLE,9700.00,39.16
2018-12-03,@ ATL,9700.00,39.44
2018-12-01,@ DET,9600.00,45.29
2018-11-08,vs. MIL,10700.00,45.3
2018-11-05,vs. MEM,10700.00,47.2
2018-11-02,vs. MIN,10700.00,32.28
2018-10-31,vs. NOP,9900.00,45.95
2018-10-29,@ CHI,9800.00,38.46
2018-10-28,@ BKN,10000.00,46.04
2018-10-26,@ NYK,9900.00,49.96
2018-10-24,vs. WAS,9300.00,39.6
2018-10-22,vs. PHX,10200.00,44.94
2018-10-21,@ DEN,9800.00,33.91
2018-10-19,@ UTA,9600.00,49.19
2018-10-16,vs. OKC,9600.00,38.53
