Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,56.58
2019-03-27,@ MEM,9300.00,45.53
2019-03-24,vs. DET,9900.00,54.62
2019-03-21,vs. IND,9800.00,48.28
2019-03-19,@ MIN,9400.00,35.67
2019-03-18,@ SAS,9400.00,35.46
2019-03-16,@ OKC,9300.00,34.87
2019-03-13,@ HOU,9200.00,49.65
2019-03-10,vs. PHX,9300.00,46.0
2019-03-08,vs. DEN,9100.00,39.04
2019-03-05,vs. BOS,9400.00,41.83
2019-03-02,@ PHI,9400.00,37.35
2019-02-28,@ ORL,9300.00,49.96
2019-02-27,@ MIA,9300.00,42.95
2019-02-25,@ CHA,9600.00,44.94
2019-02-23,vs. HOU,9500.00,45.7
2019-02-21,vs. SAC,9500.00,52.24
2019-02-17,vs. LBN,-,40.97
2019-02-13,@ POR,9100.00,42.99
2019-02-12,vs. UTA,9100.00,40.15
2019-02-10,vs. MIA,9200.00,53.57
2019-02-08,@ PHX,9200.00,41.12
2019-02-06,vs. SAS,9200.00,42.89
2019-02-02,vs. LAL,9500.00,41.87
2019-01-31,vs. PHI,9200.00,38.19
2019-01-28,@ IND,9600.00,34.14
2019-01-26,@ BOS,9800.00,38.83
2019-01-24,@ WAS,9800.00,37.58
2019-01-21,@ LAL,10000.00,33.21
2019-01-18,@ LAC,10400.00,46.2
2019-01-16,vs. NOP,10000.00,48.94
2019-01-15,@ DEN,10000.00,35.86
2019-01-13,@ DAL,10200.00,52.53
2019-01-11,vs. CHI,10200.00,37.35
2019-01-08,vs. NYK,10400.00,54.66
2019-01-05,@ SAC,10100.00,38.37
2019-01-03,vs. HOU,10400.00,44.6
2018-12-31,@ PHX,10100.00,32.69
2018-12-29,@ POR,9800.00,46.85
2018-12-27,vs. POR,9700.00,41.43
2018-12-25,vs. LAL,9700.00,46.15
2018-12-23,vs. LAC,9500.00,47.13
2018-12-22,vs. DAL,9400.00,36.68
2018-12-19,@ UTA,9200.00,48.96
2018-12-17,vs. MEM,9600.00,45.93
2018-12-14,@ SAC,9400.00,44.1
2018-12-12,vs. TOR,9400.00,30.57
2018-12-10,vs. MIN,9200.00,34.49
2018-12-07,@ MIL,9900.00,53.01
2018-12-05,@ CLE,9700.00,47.9
2018-12-03,@ ATL,9700.00,44.6
2018-12-01,@ DET,9600.00,38.78
2018-11-08,vs. MIL,10700.00,46.34
2018-11-05,vs. MEM,10700.00,47.33
2018-11-02,vs. MIN,10700.00,52.88
2018-10-31,vs. NOP,9900.00,56.43
2018-10-29,@ CHI,9800.00,42.97
2018-10-28,@ BKN,10000.00,49.11
2018-10-26,@ NYK,9900.00,37.33
2018-10-24,vs. WAS,9300.00,60.18
2018-10-22,vs. PHX,10200.00,39.31
2018-10-21,@ DEN,9800.00,38.11
2018-10-19,@ UTA,9600.00,44.11
2018-10-16,vs. OKC,9600.00,44.61
