Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,11.55
2019-03-27,@ MEM,9300.00,8.91
2019-03-24,vs. DET,9900.00,11.52
2019-03-21,vs. IND,9800.00,7.64
2019-03-19,@ MIN,9400.00,16.9
2019-03-18,@ SAS,9400.00,7.66
2019-03-16,@ OKC,9300.00,4.46
2019-03-13,@ HOU,9200.00,2.99
2019-03-10,vs. PHX,9300.00,11.13
2019-03-08,vs. DEN,9100.00,18.1
2019-03-05,vs. BOS,9400.00,18.03
2019-03-02,@ PHI,9400.00,13.61
2019-02-28,@ ORL,9300.00,2.17
2019-02-27,@ MIA,9300.00,9.03
2019-02-25,@ CHA,9600.00,10.07
2019-02-23,vs. HOU,9500.00,16.81
2019-02-21,vs. SAC,9500.00,4.91
2019-02-17,vs. LBN,-,6.77
2019-02-13,@ POR,9100.00,11.46
2019-02-12,vs. UTA,9100.00,13.55
2019-02-10,vs. MIA,9200.00,8.84
2019-02-08,@ PHX,9200.00,19.78
2019-02-06,vs. SAS,9200.00,11.34
2019-02-02,vs. LAL,9500.00,2.19
2019-01-31,vs. PHI,9200.00,7.77
2019-01-28,@ IND,9600.00,7.3
2019-01-26,@ BOS,9800.00,11.08
2019-01-24,@ WAS,9800.00,7.47
2019-01-21,@ LAL,10000.00,13.3
2019-01-18,@ LAC,10400.00,14.91
2019-01-16,vs. NOP,10000.00,19.69
2019-01-15,@ DEN,10000.00,15.9
2019-01-13,@ DAL,10200.00,14.64
2019-01-11,vs. CHI,10200.00,10.74
2019-01-08,vs. NYK,10400.00,4.61
2019-01-05,@ SAC,10100.00,22.77
2019-01-03,vs. HOU,10400.00,16.62
2018-12-31,@ PHX,10100.00,10.18
2018-12-29,@ POR,9800.00,14.69
2018-12-27,vs. POR,9700.00,16.81
2018-12-25,vs. LAL,9700.00,21.61
2018-12-23,vs. LAC,9500.00,18.07
2018-12-22,vs. DAL,9400.00,7.2
2018-12-19,@ UTA,9200.00,12.28
2018-12-17,vs. MEM,9600.00,12.83
2018-12-14,@ SAC,9400.00,10.49
2018-12-12,vs. TOR,9400.00,6.11
2018-12-10,vs. MIN,9200.00,6.49
2018-12-07,@ MIL,9900.00,10.35
2018-12-05,@ CLE,9700.00,7.93
2018-12-03,@ ATL,9700.00,4.66
2018-12-01,@ DET,9600.00,15.36
2018-11-08,vs. MIL,10700.00,1.93
2018-11-05,vs. MEM,10700.00,12.68
2018-11-02,vs. MIN,10700.00,11.09
2018-10-31,vs. NOP,9900.00,3.89
2018-10-29,@ CHI,9800.00,9.38
2018-10-28,@ BKN,10000.00,5.26
2018-10-26,@ NYK,9900.00,8.67
2018-10-24,vs. WAS,9300.00,4.36
2018-10-22,vs. PHX,10200.00,2.72
2018-10-21,@ DEN,9800.00,16.47
2018-10-19,@ UTA,9600.00,16.22
2018-10-16,vs. OKC,9600.00,-1.38
