Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,21.75
2019-03-27,@ MEM,9300.00,26.12
2019-03-24,vs. DET,9900.00,31.35
2019-03-21,vs. IND,9800.00,22.19
2019-03-19,@ MIN,9400.00,20.28
2019-03-18,@ SAS,9400.00,25.18
2019-03-16,@ OKC,9300.00,26.36
2019-03-13,@ HOU,9200.00,24.06
2019-03-10,vs. PHX,9300.00,22.98
2019-03-08,vs. DEN,9100.00,19.49
2019-03-05,vs. BOS,9400.00,21.3
2019-03-02,@ PHI,9400.00,15.76
2019-02-28,@ ORL,9300.00,13.53
2019-02-27,@ MIA,9300.00,23.36
2019-02-25,@ CHA,9600.00,21.63
2019-02-23,vs. HOU,9500.00,21.26
2019-02-21,vs. SAC,9500.00,21.31
2019-02-17,vs. LBN,-,32.48
2019-02-13,@ POR,9100.00,13.97
2019-02-12,vs. UTA,9100.00,17.53
2019-02-10,vs. MIA,9200.00,31.75
2019-02-08,@ PHX,9200.00,25.36
2019-02-06,vs. SAS,9200.00,25.15
2019-02-02,vs. LAL,9500.00,19.03
2019-01-31,vs. PHI,9200.00,23.19
2019-01-28,@ IND,9600.00,26.14
2019-01-26,@ BOS,9800.00,17.39
2019-01-24,@ WAS,9800.00,14.84
2019-01-21,@ LAL,10000.00,26.75
2019-01-18,@ LAC,10400.00,17.85
2019-01-16,vs. NOP,10000.00,31.41
2019-01-15,@ DEN,10000.00,22.99
2019-01-13,@ DAL,10200.00,18.88
2019-01-11,vs. CHI,10200.00,15.97
2019-01-08,vs. NYK,10400.00,13.53
2019-01-05,@ SAC,10100.00,25.01
2019-01-03,vs. HOU,10400.00,31.69
2018-12-31,@ PHX,10100.00,21.69
2018-12-29,@ POR,9800.00,21.55
2018-12-27,vs. POR,9700.00,10.03
2018-12-25,vs. LAL,9700.00,26.3
2018-12-23,vs. LAC,9500.00,22.48
2018-12-22,vs. DAL,9400.00,18.0
2018-12-19,@ UTA,9200.00,32.52
2018-12-17,vs. MEM,9600.00,7.93
2018-12-14,@ SAC,9400.00,14.42
2018-12-12,vs. TOR,9400.00,22.74
2018-12-10,vs. MIN,9200.00,21.58
2018-12-07,@ MIL,9900.00,37.19
2018-12-05,@ CLE,9700.00,17.55
2018-12-03,@ ATL,9700.00,24.94
2018-12-01,@ DET,9600.00,17.66
2018-11-08,vs. MIL,10700.00,25.29
2018-11-05,vs. MEM,10700.00,14.16
2018-11-02,vs. MIN,10700.00,24.63
2018-10-31,vs. NOP,9900.00,32.56
2018-10-29,@ CHI,9800.00,26.25
2018-10-28,@ BKN,10000.00,23.25
2018-10-26,@ NYK,9900.00,25.74
2018-10-24,vs. WAS,9300.00,31.44
2018-10-22,vs. PHX,10200.00,19.91
2018-10-21,@ DEN,9800.00,17.6
2018-10-19,@ UTA,9600.00,27.45
2018-10-16,vs. OKC,9600.00,22.16
