Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,32.32
2019-03-27,@ MEM,9300.00,31.69
2019-03-24,vs. DET,9900.00,40.01
2019-03-21,vs. IND,9800.00,35.65
2019-03-19,@ MIN,9400.00,41.1
2019-03-18,@ SAS,9400.00,18.67
2019-03-16,@ OKC,9300.00,42.15
2019-03-13,@ HOU,9200.00,35.42
2019-03-10,vs. PHX,9300.00,37.8
2019-03-08,vs. DEN,9100.00,44.39
2019-03-05,vs. BOS,9400.00,38.43
2019-03-02,@ PHI,9400.00,34.1
2019-02-28,@ ORL,9300.00,38.57
2019-02-27,@ MIA,9300.00,43.48
2019-02-25,@ CHA,9600.00,39.02
2019-02-23,vs. HOU,9500.00,39.3
2019-02-21,vs. SAC,9500.00,48.28
2019-02-17,vs. LBN,-,37.04
2019-02-13,@ POR,9100.00,51.53
2019-02-12,vs. UTA,9100.00,28.9
2019-02-10,vs. MIA,9200.00,37.35
2019-02-08,@ PHX,9200.00,35.01
2019-02-06,vs. SAS,9200.00,28.88
2019-02-02,vs. LAL,9500.00,37.46
2019-01-31,vs. PHI,9200.00,34.64
2019-01-28,@ IND,9600.00,37.66
2019-01-26,@ BOS,9800.00,44.98
2019-01-24,@ WAS,9800.00,38.88
2019-01-21,@ LAL,10000.00,32.73
2019-01-18,@ LAC,10400.00,39.72
2019-01-16,vs. NOP,10000.00,39.06
2019-01-15,@ DEN,10000.00,31.98
2019-01-13,@ DAL,10200.00,26.9
2019-01-11,vs. CHI,10200.00,42.46
2019-01-08,vs. NYK,10400.00,27.94
2019-01-05,@ SAC,10100.00,38.11
2019-01-03,vs. HOU,10400.00,24.81
2018-12-31,@ PHX,10100.00,26.29
2018-12-29,@ POR,9800.00,29.54
2018-12-27,vs. POR,9700.00,37.69
2018-12-25,vs. LAL,9700.00,41.75
2018-12-23,vs. LAC,9500.00,27.68
2018-12-22,vs. DAL,9400.00,32.0
2018-12-19,@ UTA,9200.00,25.01
2018-12-17,vs. MEM,9600.00,42.38
2018-12-14,@ SAC,9400.00,25.47
2018-12-12,vs. TOR,9400.00,38.29
2018-12-10,vs. MIN,9200.00,39.49
2018-12-07,@ MIL,9900.00,32.31
2018-12-05,@ CLE,9700.00,44.51
2018-12-03,@ ATL,9700.00,36.11
2018-12-01,@ DET,9600.00,41.18
2018-11-08,vs. MIL,10700.00,38.66
2018-11-05,vs. MEM,10700.00,40.75
2018-11-02,vs. MIN,10700.00,39.61
2018-10-31,vs. NOP,9900.00,46.88
2018-10-29,@ CHI,9800.00,39.62
2018-10-28,@ BKN,10000.00,24.68
2018-10-26,@ NYK,9900.00,32.96
2018-10-24,vs. WAS,9300.00,32.56
2018-10-22,vs. PHX,10200.00,37.3
2018-10-21,@ DEN,9800.00,31.9
2018-10-19,@ UTA,9600.00,29.77
2018-10-16,vs. OKC,9600.00,38.17
