Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,22.85
2019-03-27,@ MEM,9300.00,20.92
2019-03-24,vs. DET,9900.00,23.66
2019-03-21,vs. IND,9800.00,28.1
2019-03-19,@ MIN,9400.00,29.6
2019-03-18,@ SAS,9400.00,21.77
2019-03-16,@ OKC,9300.00,28.24
2019-03-13,@ HOU,9200.00,17.15
2019-03-10,vs. PHX,9300.00,24.07
2019-03-08,vs. DEN,9100.00,28.2
2019-03-05,vs. BOS,9400.00,41.78
2019-03-02,@ PHI,9400.00,25.56
2019-02-28,@ ORL,9300.00,20.62
2019-02-27,@ MIA,9300.00,37.65
2019-02-25,@ CHA,9600.00,24.22
2019-02-23,vs. HOU,9500.00,18.68
2019-02-21,vs. SAC,9500.00,30.27
2019-02-17,vs. LBN,-,23.01
2019-02-13,@ POR,9100.00,24.78
2019-02-12,vs. UTA,9100.00,39.85
2019-02-10,vs. MIA,9200.00,21.77
2019-02-08,@ PHX,9200.00,35.2
2019-02-06,vs. SAS,9200.00,31.12
2019-02-02,vs. LAL,9500.00,21.27
2019-01-31,vs. PHI,9200.00,29.35
2019-01-28,@ IND,9600.00,17.87
2019-01-26,@ BOS,9800.00,17.6
2019-01-24,@ WAS,9800.00,21.24
2019-01-21,@ LAL,10000.00,11.72
2019-01-18,@ LAC,10400.00,25.67
2019-01-16,vs. NOP,10000.00,23.69
2019-01-15,@ DEN,10000.00,18.82
2019-01-13,@ DAL,10200.00,21.55
2019-01-11,vs. CHI,10200.00,18.36
2019-01-08,vs. NYK,10400.00,26.02
2019-01-05,@ SAC,10100.00,22.79
2019-01-03,vs. HOU,10400.00,27.48
2018-12-31,@ PHX,10100.00,23.46
2018-12-29,@ POR,9800.00,30.03
2018-12-27,vs. POR,9700.00,17.3
2018-12-25,vs. LAL,9700.00,15.68
2018-12-23,vs. LAC,9500.00,24.46
2018-12-22,vs. DAL,9400.00,22.19
2018-12-19,@ UTA,9200.00,27.01
2018-12-17,vs. MEM,9600.00,31.46
2018-12-14,@ SAC,9400.00,34.27
2018-12-12,vs. TOR,9400.00,21.08
2018-12-10,vs. MIN,9200.00,19.75
2018-12-07,@ MIL,9900.00,26.84
2018-12-05,@ CLE,9700.00,15.62
2018-12-03,@ ATL,9700.00,34.48
2018-12-01,@ DET,9600.00,20.58
2018-11-08,vs. MIL,10700.00,18.75
2018-11-05,vs. MEM,10700.00,15.18
2018-11-02,vs. MIN,10700.00,28.44
2018-10-31,vs. NOP,9900.00,35.05
2018-10-29,@ CHI,9800.00,33.71
2018-10-28,@ BKN,10000.00,26.28
2018-10-26,@ NYK,9900.00,16.76
2018-10-24,vs. WAS,9300.00,25.16
2018-10-22,vs. PHX,10200.00,24.19
2018-10-21,@ DEN,9800.00,29.7
2018-10-19,@ UTA,9600.00,18.81
2018-10-16,vs. OKC,9600.00,29.64
