Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,10.59
2019-03-27,@ MEM,9300.00,6.27
2019-03-24,vs. DET,9900.00,22.92
2019-03-21,vs. IND,9800.00,25.08
2019-03-19,@ MIN,9400.00,23.84
2019-03-18,@ SAS,9400.00,0.46
2019-03-16,@ OKC,9300.00,11.83
2019-03-13,@ HOU,9200.00,12.81
2019-03-10,vs. PHX,9300.00,15.34
2019-03-08,vs. DEN,9100.00,12.54
2019-03-05,vs. BOS,9400.00,11.08
2019-03-02,@ PHI,9400.00,21.22
2019-02-28,@ ORL,9300.00,11.29
2019-02-27,@ MIA,9300.00,2.94
2019-02-25,@ CHA,9600.00,13.33
2019-02-23,vs. HOU,9500.00,9.63
2019-02-21,vs. SAC,9500.00,20.88
2019-02-17,vs. LBN,-,7.78
2019-02-13,@ POR,9100.00,6.92
2019-02-12,vs. UTA,9100.00,7.71
2019-02-10,vs. MIA,9200.00,8.7
2019-02-08,@ PHX,9200.00,8.11
2019-02-06,vs. SAS,9200.00,12.76
2019-02-02,vs. LAL,9500.00,12.62
2019-01-31,vs. PHI,9200.00,9.7
2019-01-28,@ IND,9600.00,4.39
2019-01-26,@ BOS,9800.00,10.52
2019-01-24,@ WAS,9800.00,23.95
2019-01-21,@ LAL,10000.00,18.38
2019-01-18,@ LAC,10400.00,17.35
2019-01-16,vs. NOP,10000.00,8.92
2019-01-15,@ DEN,10000.00,9.58
2019-01-13,@ DAL,10200.00,8.98
2019-01-11,vs. CHI,10200.00,18.12
2019-01-08,vs. NYK,10400.00,16.6
2019-01-05,@ SAC,10100.00,19.15
2019-01-03,vs. HOU,10400.00,32.11
2018-12-31,@ PHX,10100.00,15.02
2018-12-29,@ POR,9800.00,15.37
2018-12-27,vs. POR,9700.00,8.6
2018-12-25,vs. LAL,9700.00,20.49
2018-12-23,vs. LAC,9500.00,9.98
2018-12-22,vs. DAL,9400.00,7.18
2018-12-19,@ UTA,9200.00,9.42
2018-12-17,vs. MEM,9600.00,15.75
2018-12-14,@ SAC,9400.00,5.11
2018-12-12,vs. TOR,9400.00,12.6
2018-12-10,vs. MIN,9200.00,11.62
2018-12-07,@ MIL,9900.00,16.48
2018-12-05,@ CLE,9700.00,10.14
2018-12-03,@ ATL,9700.00,12.6
2018-12-01,@ DET,9600.00,4.61
2018-11-08,vs. MIL,10700.00,18.1
2018-11-05,vs. MEM,10700.00,7.28
2018-11-02,vs. MIN,10700.00,20.33
2018-10-31,vs. NOP,9900.00,14.61
2018-10-29,@ CHI,9800.00,2.82
2018-10-28,@ BKN,10000.00,12.62
2018-10-26,@ NYK,9900.00,14.65
2018-10-24,vs. WAS,9300.00,8.18
2018-10-22,vs. PHX,10200.00,12.95
2018-10-21,@ DEN,9800.00,17.74
2018-10-19,@ UTA,9600.00,20.56
2018-10-16,vs. OKC,9600.00,20.8
