Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,18.48
2019-03-27,@ MEM,9300.00,25.23
2019-03-24,vs. DET,9900.00,18.47
2019-03-21,vs. IND,9800.00,36.87
2019-03-19,@ MIN,9400.00,19.01
2019-03-18,@ SAS,9400.00,31.29
2019-03-16,@ OKC,9300.00,23.72
2019-03-13,@ HOU,9200.00,28.69
2019-03-10,vs. PHX,9300.00,33.76
2019-03-08,vs. DEN,9100.00,25.68
2019-03-05,vs. BOS,9400.00,18.46
2019-03-02,@ PHI,9400.00,37.14
2019-02-28,@ ORL,9300.00,29.51
2019-02-27,@ MIA,9300.00,26.73
2019-02-25,@ CHA,9600.00,28.68
2019-02-23,vs. HOU,9500.00,27.21
2019-02-21,vs. SAC,9500.00,23.93
2019-02-17,vs. LBN,-,30.05
2019-02-13,@ POR,9100.00,22.27
2019-02-12,vs. UTA,9100.00,22.76
2019-02-10,vs. MIA,9200.00,23.99
2019-02-08,@ PHX,9200.00,36.49
2019-02-06,vs. SAS,9200.00,29.39
2019-02-02,vs. LAL,9500.00,22.41
2019-01-31,vs. PHI,9200.00,24.61
2019-01-28,@ IND,9600.00,16.99
2019-01-26,@ BOS,9800.00,19.13
2019-01-24,@ WAS,9800.00,30.58
2019-01-21,@ LAL,10000.00,31.55
2019-01-18,@ LAC,10400.00,32.78
2019-01-16,vs. NOP,10000.00,20.05
2019-01-15,@ DEN,10000.00,26.0
2019-01-13,@ DAL,10200.00,29.11
2019-01-11,vs. CHI,10200.00,30.15
2019-01-08,vs. NYK,10400.00,21.76
2019-01-05,@ SAC,10100.00,26.32
2019-01-03,vs. HOU,10400.00,28.06
2018-12-31,@ PHX,10100.00,35.01
2018-12-29,@ POR,9800.00,24.93
2018-12-27,vs. POR,9700.00,21.29
2018-12-25,vs. LAL,9700.00,23.56
2018-12-23,vs. LAC,9500.00,26.71
2018-12-22,vs. DAL,9400.00,24.0
2018-12-19,@ UTA,9200.00,27.49
2018-12-17,vs. MEM,9600.00,21.99
2018-12-14,@ SAC,9400.00,23.23
2018-12-12,vs. TOR,9400.00,35.72
2018-12-10,vs. MIN,9200.00,12.5
2018-12-07,@ MIL,9900.00,23.97
2018-12-05,@ CLE,9700.00,23.44
2018-12-03,@ ATL,9700.00,29.12
2018-12-01,@ DET,9600.00,19.35
2018-11-08,vs. MIL,10700.00,16.48
2018-11-05,vs. MEM,10700.00,17.05
2018-11-02,vs. MIN,10700.00,24.45
2018-10-31,vs. NOP,9900.00,23.95
2018-10-29,@ CHI,9800.00,29.28
2018-10-28,@ BKN,10000.00,33.8
2018-10-26,@ NYK,9900.00,25.83
2018-10-24,vs. WAS,9300.00,30.58
2018-10-22,vs. PHX,10200.00,26.35
2018-10-21,@ DEN,9800.00,26.37
2018-10-19,@ UTA,9600.00,31.44
2018-10-16,vs. OKC,9600.00,30.3
