Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,46.13
2019-03-27,@ MEM,9300.00,32.74
2019-03-24,vs. DET,9900.00,44.14
2019-03-21,vs. IND,9800.00,47.95
2019-03-19,@ MIN,9400.00,46.71
2019-03-18,@ SAS,9400.00,35.95
2019-03-16,@ OKC,9300.00,46.65
2019-03-13,@ HOU,9200.00,38.85
2019-03-10,vs. PHX,9300.00,34.86
2019-03-08,vs. DEN,9100.00,53.1
2019-03-05,vs. BOS,9400.00,35.63
2019-03-02,@ PHI,9400.00,38.63
2019-02-28,@ ORL,9300.00,44.49
2019-02-27,@ MIA,9300.00,46.33
2019-02-25,@ CHA,9600.00,38.7
2019-02-23,vs. HOU,9500.00,49.89
2019-02-21,vs. SAC,9500.00,56.26
2019-02-17,vs. LBN,-,42.22
2019-02-13,@ POR,9100.00,38.81
2019-02-12,vs. UTA,9100.00,37.9
2019-02-10,vs. MIA,9200.00,31.72
2019-02-08,@ PHX,9200.00,33.13
2019-02-06,vs. SAS,9200.00,26.39
2019-02-02,vs. LAL,9500.00,48.93
2019-01-31,vs. PHI,9200.00,34.67
2019-01-28,@ IND,9600.00,45.11
2019-01-26,@ BOS,9800.00,32.45
2019-01-24,@ WAS,9800.00,44.82
2019-01-21,@ LAL,10000.00,49.65
2019-01-18,@ LAC,10400.00,35.97
2019-01-16,vs. NOP,10000.00,35.22
2019-01-15,@ DEN,10000.00,45.52
2019-01-13,@ DAL,10200.00,43.35
2019-01-11,vs. CHI,10200.00,34.0
2019-01-08,vs. NYK,10400.00,42.91
2019-01-05,@ SAC,10100.00,47.38
2019-01-03,vs. HOU,10400.00,37.9
2018-12-31,@ PHX,10100.00,30.54
2018-12-29,@ POR,9800.00,43.92
2018-12-27,vs. POR,9700.00,35.96
2018-12-25,vs. LAL,9700.00,42.81
2018-12-23,vs. LAC,9500.00,39.68
2018-12-22,vs. DAL,9400.00,38.57
2018-12-19,@ UTA,9200.00,39.13
2018-12-17,vs. MEM,9600.00,49.26
2018-12-14,@ SAC,9400.00,55.81
2018-12-12,vs. TOR,9400.00,48.6
2018-12-10,vs. MIN,9200.00,40.44
2018-12-07,@ MIL,9900.00,45.88
2018-12-05,@ CLE,9700.00,47.54
2018-12-03,@ ATL,9700.00,37.78
2018-12-01,@ DET,9600.00,27.2
2018-11-08,vs. MIL,10700.00,29.04
2018-11-05,vs. MEM,10700.00,35.97
2018-11-02,vs. MIN,10700.00,36.59
2018-10-31,vs. NOP,9900.00,44.33
2018-10-29,@ CHI,9800.00,41.87
2018-10-28,@ BKN,10000.00,33.78
2018-10-26,@ NYK,9900.00,41.74
2018-10-24,vs. WAS,9300.00,43.34
2018-10-22,vs. PHX,10200.00,39.6
2018-10-21,@ DEN,9800.00,32.36
2018-10-19,@ UTA,9600.00,40.37
2018-10-16,vs. OKC,9600.00,41.98
