Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,19.56
2019-03-27,@ MEM,9300.00,6.35
2019-03-24,vs. DET,9900.00,21.59
2019-03-21,vs. IND,9800.00,23.33
2019-03-19,@ MIN,9400.00,10.43
2019-03-18,@ SAS,9400.00,13.74
2019-03-16,@ OKC,9300.00,20.75
2019-03-13,@ HOU,9200.00,7.12
2019-03-10,vs. PHX,9300.00,9.65
2019-03-08,vs. DEN,9100.00,19.19
2019-03-05,vs. BOS,9400.00,25.11
2019-03-02,@ PHI,9400.00,15.05
2019-02-28,@ ORL,9300.00,12.28
2019-02-27,@ MIA,9300.00,30.0
2019-02-25,@ CHA,9600.00,4.53
2019-02-23,vs. HOU,9500.00,25.03
2019-02-21,vs. SAC,9500.00,3.99
2019-02-17,vs. LBN,-,8.73
2019-02-13,@ POR,9100.00,20.03
2019-02-12,vs. UTA,9100.00,24.45
2019-02-10,vs. MIA,9200.00,13.42
2019-02-08,@ PHX,9200.00,4.14
2019-02-06,vs. SAS,9200.00,20.43
2019-02-02,vs. LAL,9500.00,14.12
2019-01-31,vs. PHI,9200.00,11.32
2019-01-28,@ IND,9600.00,19.58
2019-01-26,@ BOS,9800.00,15.17
2019-01-24,@ WAS,9800.00,16.25
2019-01-21,@ LAL,10000.00,12.05
2019-01-18,@ LAC,10400.00,15.54
2019-01-16,vs. NOP,10000.00,7.42
2019-01-15,@ DEN,10000.00,13.8
2019-01-13,@ DAL,10200.00,19.24
2019-01-11,vs. CHI,10200.00,24.31
2019-01-08,vs. NYK,10400.00,20.15
2019-01-05,@ SAC,10100.00,9.04
2019-01-03,vs. HOU,10400.00,5.13
2018-12-31,@ PHX,10100.00,20.42
2018-12-29,@ POR,9800.00,17.72
2018-12-27,vs. POR,9700.00,18.61
2018-12-25,vs. LAL,9700.00,11.79
2018-12-23,vs. LAC,9500.00,24.64
2018-12-22,vs. DAL,9400.00,16.33
2018-12-19,@ UTA,9200.00,19.78
2018-12-17,vs. MEM,9600.00,9.48
2018-12-14,@ SAC,9400.00,11.76
2018-12-12,vs. TOR,9400.00,5.89
2018-12-10,vs. MIN,9200.00,20.75
2018-12-07,@ MIL,9900.00,13.15
2018-12-05,@ CLE,9700.00,11.09
2018-12-03,@ ATL,9700.00,17.54
2018-12-01,@ DET,9600.00,19.43
2018-11-08,vs. MIL,10700.00,20.95
2018-11-05,vs. MEM,10700.00,21.24
2018-11-02,vs. MIN,10700.00,22.57
2018-10-31,vs. NOP,9900.00,21.61
2018-10-29,@ CHI,9800.00,20.96
2018-10-28,@ BKN,10000.00,5.1
2018-10-26,@ NYK,9900.00,5.39
2018-10-24,vs. WAS,9300.00,19.54
2018-10-22,vs. PHX,10200.00,15.98
2018-10-21,@ DEN,9800.00,10.61
2018-10-19,@ UTA,9600.00,2.07
2018-10-16,vs. OKC,9600.00,2.9
