Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,20.48
2019-03-27,@ MEM,9300.00,30.16
2019-03-24,vs. DET,9900.00,30.67
2019-03-21,vs. IND,9800.00,25.4
2019-03-19,@ MIN,9400.00,19.97
2019-03-18,@ SAS,9400.00,17.83
2019-03-16,@ OKC,9300.00,37.72
2019-03-13,@ HOU,9200.00,26.49
2019-03-10,vs. PHX,9300.00,20.7
2019-03-08,vs. DEN,9100.00,32.55
2019-03-05,vs. BOS,9400.00,29.66
2019-03-02,@ PHI,9400.00,30.35
2019-02-28,@ ORL,9300.00,23.6
2019-02-27,@ MIA,9300.00,21.3
2019-02-25,@ CHA,9600.00,9.89
2019-02-23,vs. HOU,9500.00,32.07
2019-02-21,vs. SAC,9500.00,27.22
2019-02-17,vs. LBN,-,32.33
2019-02-13,@ POR,9100.00,24.19
2019-02-12,vs. UTA,9100.00,27.66
2019-02-10,vs. MIA,9200.00,33.46
2019-02-08,@ PHX,9200.00,18.41
2019-02-06,vs. SAS,9200.00,24.95
2019-02-02,vs. LAL,9500.00,29.31
2019-01-31,vs. PHI,9200.00,25.82
2019-01-28,@ IND,9600.00,36.71
2019-01-26,@ BOS,9800.00,29.78
2019-01-24,@ WAS,9800.00,19.19
2019-01-21,@ LAL,10000.00,28.25
2019-01-18,@ LAC,10400.00,25.98
2019-01-16,vs. NOP,10000.00,34.73
2019-01-15,@ DEN,10000.00,25.68
2019-01-13,@ DAL,10200.00,30.93
2019-01-11,vs. CHI,10200.00,37.23
2019-01-08,vs. NYK,10400.00,18.94
2019-01-05,@ SAC,10100.00,21.84
2019-01-03,vs. HOU,10400.00,21.0
2018-12-31,@ PHX,10100.00,25.55
2018-12-29,@ POR,9800.00,23.58
2018-12-27,vs. POR,9700.00,22.39
2018-12-25,vs. LAL,9700.00,29.74
2018-12-23,vs. LAC,9500.00,21.52
2018-12-22,vs. DAL,9400.00,24.11
2018-12-19,@ UTA,9200.00,26.87
2018-12-17,vs. MEM,9600.00,29.08
2018-12-14,@ SAC,9400.00,21.43
2018-12-12,vs. TOR,9400.00,39.41
2018-12-10,vs. MIN,9200.00,38.35
2018-12-07,@ MIL,9900.00,35.77
2018-12-05,@ CLE,9700.00,23.52
2018-12-03,@ ATL,9700.00,31.86
2018-12-01,@ DET,9600.00,28.71
2018-11-08,vs. MIL,10700.00,14.74
2018-11-05,vs. MEM,10700.00,22.13
2018-11-02,vs. MIN,10700.00,32.36
2018-10-31,vs. NOP,9900.00,30.14
2018-10-29,@ CHI,9800.00,14.44
2018-10-28,@ BKN,10000.00,32.25
2018-10-26,@ NYK,9900.00,32.18
2018-10-24,vs. WAS,9300.00,31.9
2018-10-22,vs. PHX,10200.00,30.89
2018-10-21,@ DEN,9800.00,14.27
2018-10-19,@ UTA,9600.00,30.2
2018-10-16,vs. OKC,9600.00,22.66
