Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,16.72
2019-03-27,@ MEM,9300.00,18.52
2019-03-24,vs. DET,9900.00,6.19
2019-03-21,vs. IND,9800.00,18.27
2019-03-19,@ MIN,9400.00,7.21
2019-03-18,@ SAS,9400.00,20.55
2019-03-16,@ OKC,9300.00,17.91
2019-03-13,@ HOU,9200.00,14.12
2019-03-10,vs. PHX,9300.00,23.62
2019-03-08,vs. DEN,9100.00,-4.56
2019-03-05,vs. BOS,9400.00,3.58
2019-03-02,@ PHI,9400.00,9.96
2019-02-28,@ ORL,9300.00,8.27
2019-02-27,@ MIA,9300.00,5.03
2019-02-25,@ CHA,9600.00,6.92
2019-02-23,vs. HOU,9500.00,12.37
2019-02-21,vs. SAC,9500.00,17.63
2019-02-17,vs. LBN,-,10.16
2019-02-13,@ POR,9100.00,14.9
2019-02-12,vs. UTA,9100.00,17.96
2019-02-10,vs. MIA,9200.00,7.11
2019-02-08,@ PHX,9200.00,20.51
2019-02-06,vs. SAS,9200.00,10.11
2019-02-02,vs. LAL,9500.00,9.96
2019-01-31,vs. PHI,9200.00,20.22
2019-01-28,@ IND,9600.00,17.57
2019-01-26,@ BOS,9800.00,10.62
2019-01-24,@ WAS,9800.00,1.22
2019-01-21,@ LAL,10000.00,21.63
2019-01-18,@ LAC,10400.00,11.53
2019-01-16,vs. NOP,10000.00,10.4
2019-01-15,@ DEN,10000.00,9.74
2019-01-13,@ DAL,10200.00,18.26
2019-01-11,vs. CHI,10200.00,22.05
2019-01-08,vs. NYK,10400.00,8.27
2019-01-05,@ SAC,10100.00,22.39
2019-01-03,vs. HOU,10400.00,25.73
2018-12-31,@ PHX,10100.00,21.1
2018-12-29,@ POR,9800.00,12.68
2018-12-27,vs. POR,9700.00,11.28
2018-12-25,vs. LAL,9700.00,11.23
2018-12-23,vs. LAC,9500.00,10.74
2018-12-22,vs. DAL,9400.00,16.69
2018-12-19,@ UTA,9200.00,26.75
2018-12-17,vs. MEM,9600.00,13.02
2018-12-14,@ SAC,9400.00,28.08
2018-12-12,vs. TOR,9400.00,19.07
2018-12-10,vs. MIN,9200.00,13.63
2018-12-07,@ MIL,9900.00,23.38
2018-12-05,@ CLE,9700.00,21.99
2018-12-03,@ ATL,9700.00,15.08
2018-12-01,@ DET,9600.00,10.58
2018-11-08,vs. MIL,10700.00,11.5
2018-11-05,vs. MEM,10700.00,9.34
2018-11-02,vs. MIN,10700.00,6.91
2018-10-31,vs. NOP,9900.00,18.6
2018-10-29,@ CHI,9800.00,22.65
2018-10-28,@ BKN,10000.00,16.26
2018-10-26,@ NYK,9900.00,19.26
2018-10-24,vs. WAS,9300.00,5.59
2018-10-22,vs. PHX,10200.00,23.73
2018-10-21,@ DEN,9800.00,22.82
2018-10-19,@ UTA,9600.00,20.23
2018-10-16,vs. OKC,9600.00,17.2
