Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,5.94
2019-03-27,@ MEM,9300.00,18.24
2019-03-24,vs. DET,9900.00,9.6
2019-03-21,vs. IND,9800.00,9.41
2019-03-19,@ MIN,9400.00,2.58
2019-03-18,@ SAS,9400.00,12.08
2019-03-16,@ OKC,9300.00,23.42
2019-03-13,@ HOU,9200.00,15.06
2019-03-10,vs. PHX,9300.00,15.11
2019-03-08,vs. DEN,9100.00,18.56
2019-03-05,vs. BOS,9400.00,21.42
2019-03-02,@ PHI,9400.00,22.32
2019-02-28,@ ORL,9300.00,20.4
2019-02-27,@ MIA,9300.00,18.52
2019-02-25,@ CHA,9600.00,12.56
2019-02-23,vs. HOU,9500.00,10.64
2019-02-21,vs. SAC,9500.00,5.2
2019-02-17,vs. LBN,-,21.16
2019-02-13,@ POR,9100.00,6.42
2019-02-12,vs. UTA,9100.00,14.05
2019-02-10,vs. MIA,9200.00,3.26
2019-02-08,@ PHX,9200.00,10.43
2019-02-06,vs. SAS,9200.00,14.43
2019-02-02,vs. LAL,9500.00,19.53
2019-01-31,vs. PHI,9200.00,20.18
2019-01-28,@ IND,9600.00,21.32
2019-01-26,@ BOS,9800.00,22.6
2019-01-24,@ WAS,9800.00,10.05
2019-01-21,@ LAL,10000.00,22.68
2019-01-18,@ LAC,10400.00,10.48
2019-01-16,vs. NOP,10000.00,15.69
2019-01-15,@ DEN,10000.00,10.33
2019-01-13,@ DAL,10200.00,15.63
2019-01-11,vs. CHI,10200.00,7.65
2019-01-08,vs. NYK,10400.00,29.16
2019-01-05,@ SAC,10100.00,6.77
2019-01-03,vs. HOU,10400.00,16.04
2018-12-31,@ PHX,10100.00,16.44
2018-12-29,@ POR,9800.00,15.5
2018-12-27,vs. POR,9700.00,17.87
2018-12-25,vs. LAL,9700.00,6.49
2018-12-23,vs. LAC,9500.00,7.98
2018-12-22,vs. DAL,9400.00,10.04
2018-12-19,@ UTA,9200.00,-1.34
2018-12-17,vs. MEM,9600.00,15.95
2018-12-14,@ SAC,9400.00,17.9
2018-12-12,vs. TOR,9400.00,6.66
2018-12-10,vs. MIN,9200.00,12.81
2018-12-07,@ MIL,9900.00,9.78
2018-12-05,@ CLE,9700.00,17.16
2018-12-03,@ ATL,9700.00,1.63
2018-12-01,@ DET,9600.00,16.1
2018-11-08,vs. MIL,10700.00,20.59
2018-11-05,vs. MEM,10700.00,9.49
2018-11-02,vs. MIN,10700.00,18.72
2018-10-31,vs. NOP,9900.00,15.7
2018-10-29,@ CHI,9800.00,13.25
2018-10-28,@ BKN,10000.00,12.22
2018-10-26,@ NYK,9900.00,15.18
2018-10-24,vs. WAS,9300.00,5.55
2018-10-22,vs. PHX,10200.00,12.74
2018-10-21,@ DEN,9800.00,6.97
2018-10-19,@ UTA,9600.00,20.49
2018-10-16,vs. OKC,9600.00,4.92
