Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,51.5
2019-03-27,@ MEM,9300.00,39.08
2019-03-24,vs. DET,9900.00,36.92
2019-03-21,vs. IND,9800.00,45.63
2019-03-19,@ MIN,9400.00,42.89
2019-03-18,@ SAS,9400.00,40.69
2019-03-16,@ OKC,9300.00,49.83
2019-03-13,@ HOU,9200.00,43.61
2019-03-10,vs. PHX,9300.00,35.56
2019-03-08,vs. DEN,9100.00,52.01
2019-03-05,vs. BOS,9400.00,34.78
2019-03-02,@ PHI,9400.00,43.23
2019-02-28,@ ORL,9300.00,45.87
2019-02-27,@ MIA,9300.00,35.8
2019-02-25,@ CHA,9600.00,40.45
2019-02-23,vs. HOU,9500.00,49.54
2019-02-21,vs. SAC,9500.00,39.45
2019-02-17,vs. LBN,-,42.74
2019-02-13,@ POR,9100.00,42.83
2019-02-12,vs. UTA,9100.00,39.75
2019-02-10,vs. MIA,9200.00,48.24
2019-02-08,@ PHX,9200.00,45.18
2019-02-06,vs. SAS,9200.00,48.66
2019-02-02,vs. LAL,9500.00,46.22
2019-01-31,vs. PHI,9200.00,49.83
2019-01-28,@ IND,9600.00,49.22
2019-01-26,@ BOS,9800.00,49.54
2019-01-24,@ WAS,9800.00,39.51
2019-01-21,@ LAL,10000.00,50.22
2019-01-18,@ LAC,10400.00,35.23
2019-01-16,vs. NOP,10000.00,42.96
2019-01-15,@ DEN,10000.00,46.27
2019-01-13,@ DAL,10200.00,39.25
2019-01-11,vs. CHI,10200.00,27.47
2019-01-08,vs. NYK,10400.00,46.98
2019-01-05,@ SAC,10100.00,54.2
2019-01-03,vs. HOU,10400.00,35.54
2018-12-31,@ PHX,10100.00,48.13
2018-12-29,@ POR,9800.00,49.34
2018-12-27,vs. POR,9700.00,54.15
2018-12-25,vs. LAL,9700.00,53.77
2018-12-23,vs. LAC,9500.00,47.12
2018-12-22,vs. DAL,9400.00,46.0
2018-12-19,@ UTA,9200.00,40.59
2018-12-17,vs. MEM,9600.00,32.52
2018-12-14,@ SAC,9400.00,43.51
2018-12-12,vs. TOR,9400.00,36.17
2018-12-10,vs. MIN,9200.00,44.21
2018-12-07,@ MIL,9900.00,40.12
2018-12-05,@ CLE,9700.00,50.79
2018-12-03,@ ATL,9700.00,35.76
2018-12-01,@ DET,9600.00,45.15
2018-11-08,vs. MIL,10700.00,47.51
2018-11-05,vs. MEM,10700.00,50.09
2018-11-02,vs. MIN,10700.00,32.61
2018-10-31,vs. NOP,9900.00,46.23
2018-10-29,@ CHI,9800.00,46.79
2018-10-28,@ BKN,10000.00,46.38
2018-10-26,@ NYK,9900.00,45.06
2018-10-24,vs. WAS,9300.00,33.03
2018-10-22,vs. PHX,10200.00,29.9
2018-10-21,@ DEN,9800.00,49.71
2018-10-19,@ UTA,9600.00,36.05
2018-10-16,vs. OKC,9600.00,46.63
