Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,31.2
2019-03-27,@ MEM,9300.00,35.92
2019-03-24,vs. DET,9900.00,25.03
2019-03-21,vs. IND,9800.00,21.37
2019-03-19,@ MIN,9400.00,24.53
2019-03-18,@ SAS,9400.00,26.46
2019-03-16,@ OKC,9300.00,27.4
2019-03-13,@ HOU,9200.00,23.93
2019-03-10,vs. PHX,9300.00,21.16
2019-03-08,vs. DEN,9100.00,25.15
2019-03-05,vs. BOS,9400.00,21.24
2019-03-02,@ PHI,9400.00,30.22
2019-02-28,@ ORL,9300.00,23.63
2019-02-27,@ MIA,9300.00,20.94
2019-02-25,@ CHA,9600.00,31.79
2019-02-23,vs. HOU,9500.00,20.32
2019-02-21,vs. SAC,9500.00,29.75
2019-02-17,vs. LBN,-,19.34
2019-02-13,@ POR,9100.00,23.4
2019-02-12,vs. UTA,9100.00,28.36
2019-02-10,vs. MIA,9200.00,30.64
2019-02-08,@ PHX,9200.00,23.97
2019-02-06,vs. SAS,9200.00,25.04
2019-02-02,vs. LAL,9500.00,21.53
2019-01-31,vs. PHI,9200.00,31.79
2019-01-28,@ IND,9600.00,29.24
2019-01-26,@ BOS,9800.00,30.2
2019-01-24,@ WAS,9800.00,32.74
2019-01-21,@ LAL,10000.00,28.04
2019-01-18,@ LAC,10400.00,15.23
2019-01-16,vs. NOP,10000.00,32.09
2019-01-15,@ DEN,10000.00,29.58
2019-01-13,@ DAL,10200.00,21.58
2019-01-11,vs. CHI,10200.00,25.81
2019-01-08,vs. NYK,10400.00,23.5
2019-01-05,@ SAC,10100.00,28.47
2019-01-03,vs. HOU,10400.00,18.75
2018-12-31,@ PHX,10100.00,29.35
2018-12-29,@ POR,9800.00,13.58
2018-12-27,vs. POR,9700.00,26.77
2018-12-25,vs. LAL,9700.00,25.5
2018-12-23,vs. LAC,9500.00,29.49
2018-12-22,vs. DAL,9400.00,23.65
2018-12-19,@ UTA,9200.00,31.59
2018-12-17,vs. MEM,9600.00,25.78
2018-12-14,@ SAC,9400.00,32.32
2018-12-12,vs. TOR,9400.00,20.3
2018-12-10,vs. MIN,9200.00,25.46
2018-12-07,@ MIL,9900.00,28.11
2018-12-05,@ CLE,9700.00,22.58
2018-12-03,@ ATL,9700.00,29.99
2018-12-01,@ DET,9600.00,21.1
2018-11-08,vs. MIL,10700.00,35.72
2018-11-05,vs. MEM,10700.00,20.16
2018-11-02,vs. MIN,10700.00,19.23
2018-10-31,vs. NOP,9900.00,27.22
2018-10-29,@ CHI,9800.00,29.85
2018-10-28,@ BKN,10000.00,26.31
2018-10-26,@ NYK,9900.00,8.63
2018-10-24,vs. WAS,9300.00,27.57
2018-10-22,vs. PHX,10200.00,27.68
2018-10-21,@ DEN,9800.00,28.46
2018-10-19,@ UTA,9600.00,15.77
2018-10-16,vs. OKC,9600.00,33.35
