Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,48.13
2019-03-27,@ MEM,9300.00,45.18
2019-03-24,vs. DET,9900.00,48.38
2019-03-21,vs. IND,9800.00,35.37
2019-03-19,@ MIN,9400.00,51.0
2019-03-18,@ SAS,9400.00,41.0
2019-03-16,@ OKC,9300.00,37.66
2019-03-13,@ HOU,9200.00,47.85
2019-03-10,vs. PHX,9300.00,62.8
2019-03-08,vs. DEN,9100.00,46.93
2019-03-05,vs. BOS,9400.00,59.3
2019-03-02,@ PHI,9400.00,47.23
2019-02-28,@ ORL,9300.00,49.4
2019-02-27,@ MIA,9300.00,46.71
2019-02-25,@ CHA,9600.00,43.85
2019-02-23,vs. HOU,9500.00,44.88
2019-02-21,vs. SAC,9500.00,45.3
2019-02-17,vs. LBN,-,44.45
2019-02-13,@ POR,9100.00,55.81
2019-02-12,vs. UTA,9100.00,38.04
2019-02-10,vs. MIA,9200.00,52.8
2019-02-08,@ PHX,9200.00,50.77
2019-02-06,vs. SAS,9200.00,44.53
2019-02-02,vs. LAL,9500.00,33.8
2019-01-31,vs. PHI,9200.00,52.68
2019-01-28,@ IND,9600.00,45.6
2019-01-26,@ BOS,9800.00,50.03
2019-01-24,@ WAS,9800.00,45.75
2019-01-21,@ LAL,10000.00,40.08
2019-01-18,@ LAC,10400.00,48.84
2019-01-16,vs. NOP,10000.00,37.16
2019-01-15,@ DEN,10000.00,52.67
2019-01-13,@ DAL,10200.00,50.21
2019-01-11,vs. CHI,10200.00,49.42
2019-01-08,vs. NYK,10400.00,56.0
2019-01-05,@ SAC,10100.00,43.23
2019-01-03,vs. HOU,10400.00,48.64
2018-12-31,@ PHX,10100.00,51.71
2018-12-29,@ POR,9800.00,44.45
2018-12-27,vs. POR,9700.00,57.56
2018-12-25,vs. LAL,9700.00,40.76
2018-12-23,vs. LAC,9500.00,37.6
2018-12-22,vs. DAL,9400.00,47.49
2018-12-19,@ UTA,9200.00,42.77
2018-12-17,vs. MEM,9600.00,37.23
2018-12-14,@ SAC,9400.00,39.4
2018-12-12,vs. TOR,9400.00,45.37
2018-12-10,vs. MIN,9200.00,47.78
2018-12-07,@ MIL,9900.00,48.3
2018-12-05,@ CLE,9700.00,46.77
2018-12-03,@ ATL,9700.00,51.17
2018-12-01,@ DET,9600.00,40.98
2018-11-08,vs. MIL,10700.00,53.26
2018-11-05,vs. MEM,10700.00,38.59
2018-11-02,vs. MIN,10700.00,39.24
2018-10-31,vs. NOP,9900.00,46.15
2018-10-29,@ CHI,9800.00,40.81
2018-10-28,@ BKN,10000.00,49.01
2018-10-26,@ NYK,9900.00,47.13
2018-10-24,vs. WAS,9300.00,51.09
2018-10-22,vs. PHX,10200.00,43.86
2018-10-21,@ DEN,9800.00,44.38
2018-10-19,@ UTA,9600.00,51.6
2018-10-16,vs. OKC,9600.00,47.11
