Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,34.5
2019-03-27,@ MEM,9300.00,46.16
2019-03-24,vs. DET,9900.00,35.98
2019-03-21,vs. IND,9800.00,36.8
2019-03-19,@ MIN,9400.00,41.78
2019-03-18,@ SAS,9400.00,34.0
2019-03-16,@ OKC,9300.00,37.0
2019-03-13,@ HOU,9200.00,45.58
2019-03-10,vs. PHX,9300.00,32.39
2019-03-08,vs. DEN,9100.00,30.14
2019-03-05,vs. BOS,9400.00,49.88
2019-03-02,@ PHI,9400.00,36.65
2019-02-28,@ ORL,9300.00,48.0
2019-02-27,@ MIA,9300.00,45.25
2019-02-25,@ CHA,9600.00,34.3
2019-02-23,vs. HOU,9500.00,39.35
2019-02-21,vs. SAC,9500.00,42.19
2019-02-17,vs. LBN,-,36.67
2019-02-13,@ POR,9100.00,43.38
2019-02-12,vs. UTA,9100.00,40.9
2019-02-10,vs. MIA,9200.00,37.45
2019-02-08,@ PHX,9200.00,43.33
2019-02-06,vs. SAS,9200.00,32.79
2019-02-02,vs. LAL,9500.00,37.38
2019-01-31,vs. PHI,9200.00,29.12
2019-01-28,@ IND,9600.00,32.25
2019-01-26,@ BOS,9800.00,46.79
2019-01-24,@ WAS,9800.00,43.52
2019-01-21,@ LAL,10000.00,30.68
2019-01-18,@ LAC,10400.00,35.52
2019-01-16,vs. NOP,10000.00,41.78
2019-01-15,@ DEN,10000.00,41.9
2019-01-13,@ DAL,10200.00,41.26
2019-01-11,vs. CHI,10200.00,30.65
2019-01-08,vs. NYK,10400.00,31.26
2019-01-05,@ SAC,10100.00,46.03
2019-01-03,vs. HOU,10400.00,40.47
2018-12-31,@ PHX,10100.00,42.77
2018-12-29,@ POR,9800.00,42.38
2018-12-27,vs. POR,9700.00,38.49
2018-12-25,vs. LAL,9700.00,39.46
2018-12-23,vs. LAC,9500.00,33.94
2018-12-22,vs. DAL,9400.00,41.72
2018-12-19,@ UTA,9200.00,40.85
2018-12-17,vs. MEM,9600.00,25.15
2018-12-14,@ SAC,9400.00,32.17
2018-12-12,vs. TOR,9400.00,33.45
2018-12-10,vs. MIN,9200.00,45.97
2018-12-07,@ MIL,9900.00,42.34
2018-12-05,@ CLE,9700.00,44.56
2018-12-03,@ ATL,9700.00,26.69
2018-12-01,@ DET,9600.00,41.76
2018-11-08,vs. MIL,10700.00,38.7
2018-11-05,vs. MEM,10700.00,47.18
2018-11-02,vs. MIN,10700.00,38.32
2018-10-31,vs. NOP,9900.00,33.2
2018-10-29,@ CHI,9800.00,39.11
2018-10-28,@ BKN,10000.00,38.21
2018-10-26,@ NYK,9900.00,31.88
2018-10-24,vs. WAS,9300.00,34.37
2018-10-22,vs. PHX,10200.00,30.82
2018-10-21,@ DEN,9800.00,44.23
2018-10-19,@ UTA,9600.00,37.57
2018-10-16,vs. OKC,9600.00,36.52
