Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,54.35
2019-03-27,@ MEM,9300.00,41.21
2019-03-24,vs. DET,9900.00,54.65
2019-03-21,vs. IND,9800.00,43.19
2019-03-19,@ MIN,9400.00,42.62
2019-03-18,@ SAS,9400.00,38.48
2019-03-16,@ OKC,9300.00,39.93
2019-03-13,@ HOU,9200.00,33.48
2019-03-10,vs. PHX,9300.00,51.98
2019-03-08,vs. DEN,9100.00,35.48
2019-03-05,vs. BOS,9400.00,40.65
2019-03-02,@ PHI,9400.00,43.46
2019-02-28,@ ORL,9300.00,51.4
2019-02-27,@ MIA,9300.00,46.58
2019-02-25,@ CHA,9600.00,41.2
2019-02-23,vs. HOU,9500.00,44.99
2019-02-21,vs. SAC,9500.00,53.0
2019-02-17,vs. LBN,-,31.51
2019-02-13,@ POR,9100.00,47.92
2019-02-12,vs. UTA,9100.00,42.91
2019-02-10,vs. MIA,9200.00,36.45
2019-02-08,@ PHX,9200.00,55.92
2019-02-06,vs. SAS,9200.00,39.44
2019-02-02,vs. LAL,9500.00,46.68
2019-01-31,vs. PHI,9200.00,49.85
2019-01-28,@ IND,9600.00,55.49
2019-01-26,@ BOS,9800.00,46.11
2019-01-24,@ WAS,9800.00,41.58
2019-01-21,@ LAL,10000.00,48.06
2019-01-18,@ LAC,10400.00,48.47
2019-01-16,vs. NOP,10000.00,35.23
2019-01-15,@ DEN,10000.00,42.88
2019-01-13,@ DAL,10200.00,36.06
2019-01-11,vs. CHI,10200.00,36.65
2019-01-08,vs. NYK,10400.00,45.11
2019-01-05,@ SAC,10100.00,48.98
2019-01-03,vs. HOU,10400.00,32.07
2018-12-31,@ PHX,10100.00,43.16
2018-12-29,@ POR,9800.00,31.77
2018-12-27,vs. POR,9700.00,32.09
2018-12-25,vs. LAL,9700.00,49.25
2018-12-23,vs. LAC,9500.00,30.5
2018-12-22,vs. DAL,9400.00,40.32
2018-12-19,@ UTA,9200.00,47.01
2018-12-17,vs. MEM,9600.00,47.41
2018-12-14,@ SAC,9400.00,46.04
2018-12-12,vs. TOR,9400.00,50.25
2018-12-10,vs. MIN,9200.00,39.68
2018-12-07,@ MIL,9900.00,43.01
2018-12-05,@ CLE,9700.00,39.82
2018-12-03,@ ATL,9700.00,44.01
2018-12-01,@ DET,9600.00,36.35
2018-11-08,vs. MIL,10700.00,45.95
2018-11-05,vs. MEM,10700.00,50.61
2018-11-02,vs. MIN,10700.00,40.58
2018-10-31,vs. NOP,9900.00,49.4
2018-10-29,@ CHI,9800.00,48.57
2018-10-28,@ BKN,10000.00,39.35
2018-10-26,@ NYK,9900.00,46.75
2018-10-24,vs. WAS,9300.00,51.25
2018-10-22,vs. PHX,10200.00,41.34
2018-10-21,@ DEN,9800.00,41.68
2018-10-19,@ UTA,9600.00,50.31
2018-10-16,vs. OKC,9600.00,38.57
