Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,29.48
2019-03-27,@ MEM,9300.00,19.26
2019-03-24,vs. DET,9900.00,20.12
2019-03-21,vs. IND,9800.00,27.73
2019-03-19,@ MIN,9400.00,26.79
2019-03-18,@ SAS,9400.00,17.75
2019-03-16,@ OKC,9300.00,24.14
2019-03-13,@ HOU,9200.00,22.95
2019-03-10,vs. PHX,9300.00,12.01
2019-03-08,vs. DEN,9100.00,17.36
2019-03-05,vs. BOS,9400.00,29.06
2019-03-02,@ PHI,9400.00,18.85
2019-02-28,@ ORL,9300.00,28.51
2019-02-27,@ MIA,9300.00,22.01
2019-02-25,@ CHA,9600.00,10.39
2019-02-23,vs. HOU,9500.00,33.08
2019-02-21,vs. SAC,9500.00,17.92
2019-02-17,vs. LBN,-,21.99
2019-02-13,@ POR,9100.00,33.67
2019-02-12,vs. UTA,9100.00,24.87
2019-02-10,vs. MIA,9200.00,31.02
2019-02-08,@ PHX,9200.00,20.99
2019-02-06,vs. SAS,9200.00,18.34
2019-02-02,vs. LAL,9500.00,28.63
2019-01-31,vs. PHI,9200.00,15.49
2019-01-28,@ IND,9600.00,21.83
2019-01-26,@ BOS,9800.00,23.57
2019-01-24,@ WAS,9800.00,20.6
2019-01-21,@ LAL,10000.00,13.59
2019-01-18,@ LAC,10400.00,9.02
2019-01-16,vs. NOP,10000.00,18.16
2019-01-15,@ DEN,10000.00,32.26
2019-01-13,@ DAL,10200.00,24.99
2019-01-11,vs. CHI,10200.00,19.15
2019-01-08,vs. NYK,10400.00,25.38
2019-01-05,@ SAC,10100.00,28.46
2019-01-03,vs. HOU,10400.00,25.43
2018-12-31,@ PHX,10100.00,22.91
2018-12-29,@ POR,9800.00,18.6
2018-12-27,vs. POR,9700.00,14.58
2018-12-25,vs. LAL,9700.00,22.08
2018-12-23,vs. LAC,9500.00,21.44
2018-12-22,vs. DAL,9400.00,19.63
2018-12-19,@ UTA,9200.00,28.82
2018-12-17,vs. MEM,9600.00,6.17
2018-12-14,@ SAC,9400.00,19.26
2018-12-12,vs. TOR,9400.00,23.89
2018-12-10,vs. MIN,9200.00,22.33
2018-12-07,@ MIL,9900.00,18.15
2018-12-05,@ CLE,9700.00,22.04
2018-12-03,@ ATL,9700.00,26.35
2018-12-01,@ DET,9600.00,14.5
2018-11-08,vs. MIL,10700.00,19.8
2018-11-05,vs. MEM,10700.00,22.77
2018-11-02,vs. MIN,10700.00,24.44
2018-10-31,vs. NOP,9900.00,17.74
2018-10-29,@ CHI,9800.00,36.88
2018-10-28,@ BKN,10000.00,17.23
2018-10-26,@ NYK,9900.00,21.77
2018-10-24,vs. WAS,9300.00,18.05
2018-10-22,vs. PHX,10200.00,27.8
2018-10-21,@ DEN,9800.00,14.76
2018-10-19,@ UTA,9600.00,14.07
2018-10-16,vs. OKC,9600.00,32.4
