Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,24.13
2019-03-27,@ MEM,9300.00,20.69
2019-03-24,vs. DET,9900.00,5.3
2019-03-21,vs. IND,9800.00,33.11
2019-03-19,@ MIN,9400.00,23.26
2019-03-18,@ SAS,9400.00,21.83
2019-03-16,@ OKC,9300.00,13.49
2019-03-13,@ HOU,9200.00,11.58
2019-03-10,vs. PHX,9300.00,13.53
2019-03-08,vs. DEN,9100.00,21.38
2019-03-05,vs. BOS,9400.00,27.65
2019-03-02,@ PHI,9400.00,22.42
2019-02-28,@ ORL,9300.00,20.84
2019-02-27,@ MIA,9300.00,21.04
2019-02-25,@ CHA,9600.00,29.82
2019-02-23,vs. HOU,9500.00,14.5
2019-02-21,vs. SAC,9500.00,17.57
2019-02-17,vs. LBN,-,14.38
2019-02-13,@ POR,9100.00,23.38
2019-02-12,vs. UTA,9100.00,17.13
2019-02-10,vs. MIA,9200.00,17.89
2019-02-08,@ PHX,9200.00,27.56
2019-02-06,vs. SAS,9200.00,24.28
2019-02-02,vs. LAL,9500.00,12.9
2019-01-31,vs. PHI,9200.00,23.65
2019-01-28,@ IND,9600.00,14.6
2019-01-26,@ BOS,9800.00,18.88
2019-01-24,@ WAS,9800.00,13.24
2019-01-21,@ LAL,10000.00,23.64
2019-01-18,@ LAC,10400.00,22.47
2019-01-16,vs. NOP,10000.00,20.24
2019-01-15,@ DEN,10000.00,20.87
2019-01-13,@ DAL,10200.00,22.43
2019-01-11,vs. CHI,10200.00,35.19
2019-01-08,vs. NYK,10400.00,23.87
2019-01-05,@ SAC,10100.00,19.6
2019-01-03,vs. HOU,10400.00,23.05
2018-12-31,@ PHX,10100.00,22.45
2018-12-29,@ POR,9800.00,21.4
2018-12-27,vs. POR,9700.00,12.52
2018-12-25,vs. LAL,9700.00,13.2
2018-12-23,vs. LAC,9500.00,7.56
2018-12-22,vs. DAL,9400.00,20.4
2018-12-19,@ UTA,9200.00,16.63
2018-12-17,vs. MEM,9600.00,4.12
2018-12-14,@ SAC,9400.00,12.92
2018-12-12,vs. TOR,9400.00,14.57
2018-12-10,vs. MIN,9200.00,18.05
2018-12-07,@ MIL,9900.00,17.62
2018-12-05,@ CLE,9700.00,8.22
2018-12-03,@ ATL,9700.00,19.87
2018-12-01,@ DET,9600.00,22.44
2018-11-08,vs. MIL,10700.00,26.13
2018-11-05,vs. MEM,10700.00,20.42
2018-11-02,vs. MIN,10700.00,21.62
2018-10-31,vs. NOP,9900.00,20.62
2018-10-29,@ CHI,9800.00,29.02
2018-10-28,@ BKN,10000.00,25.44
2018-10-26,@ NYK,9900.00,20.33
2018-10-24,vs. WAS,9300.00,27.61
2018-10-22,vs. PHX,10200.00,25.61
2018-10-21,@ DEN,9800.00,15.74
2018-10-19,@ UTA,9600.00,14.72
2018-10-16,vs. OKC,9600.00,22.49
