Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,21.08
2019-03-27,@ MEM,9300.00,20.6
2019-03-24,vs. DET,9900.00,16.82
2019-03-21,vs. IND,9800.00,24.97
2019-03-19,@ MIN,9400.00,25.99
2019-03-18,@ SAS,9400.00,25.45
2019-03-16,@ OKC,9300.00,28.24
2019-03-13,@ HOU,9200.00,20.41
2019-03-10,vs. PHX,9300.00,20.36
2019-03-08,vs. DEN,9100.00,27.6
2019-03-05,vs. BOS,9400.00,18.88
2019-03-02,@ PHI,9400.00,26.36
2019-02-28,@ ORL,9300.00,21.03
2019-02-27,@ MIA,9300.00,17.59
2019-02-25,@ CHA,9600.00,15.23
2019-02-23,vs. HOU,9500.00,24.38
2019-02-21,vs. SAC,9500.00,40.81
2019-02-17,vs. LBN,-,28.55
2019-02-13,@ POR,9100.00,13.27
2019-02-12,vs. UTA,9100.00,25.8
2019-02-10,vs. MIA,9200.00,22.83
2019-02-08,@ PHX,9200.00,26.66
2019-02-06,vs. SAS,9200.00,16.92
2019-02-02,vs. LAL,9500.00,23.71
2019-01-31,vs. PHI,9200.00,32.24
2019-01-28,@ IND,9600.00,22.48
2019-01-26,@ BOS,9800.00,21.9
2019-01-24,@ WAS,9800.00,22.22
2019-01-21,@ LAL,10000.00,23.37
2019-01-18,@ LAC,10400.00,30.98
2019-01-16,vs. NOP,10000.00,21.24
2019-01-15,@ DEN,10000.00,29.1
2019-01-13,@ DAL,10200.00,18.92
2019-01-11,vs. CHI,10200.00,32.9
2019-01-08,vs. NYK,10400.00,21.08
2019-01-05,@ SAC,10100.00,35.47
2019-01-03,vs. HOU,10400.00,21.43
2018-12-31,@ PHX,10100.00,24.42
2018-12-29,@ POR,9800.00,24.67
2018-12-27,vs. POR,9700.00,23.16
2018-12-25,vs. LAL,9700.00,18.06
2018-12-23,vs. LAC,9500.00,24.45
2018-12-22,vs. DAL,9400.00,16.02
2018-12-19,@ UTA,9200.00,24.27
2018-12-17,vs. MEM,9600.00,18.06
2018-12-14,@ SAC,9400.00,29.97
2018-12-12,vs. TOR,9400.00,31.42
2018-12-10,vs. MIN,9200.00,26.25
2018-12-07,@ MIL,9900.00,31.43
2018-12-05,@ CLE,9700.00,28.56
2018-12-03,@ ATL,9700.00,31.81
2018-12-01,@ DET,9600.00,30.69
2018-11-08,vs. MIL,10700.00,24.41
2018-11-05,vs. MEM,10700.00,29.24
2018-11-02,vs. MIN,10700.00,27.81
2018-10-31,vs. NOP,9900.00,27.71
2018-10-29,@ CHI,9800.00,17.13
2018-10-28,@ BKN,10000.00,25.26
2018-10-26,@ NYK,9900.00,26.07
2018-10-24,vs. WAS,9300.00,27.16
2018-10-22,vs. PHX,10200.00,27.37
2018-10-21,@ DEN,9800.00,18.3
2018-10-19,@ UTA,9600.00,26.25
2018-10-16,vs. OKC,9600.00,19.1
