Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,16.37
2019-03-27,@ MEM,9300.00,35.36
2019-03-24,vs. DET,9900.00,22.82
2019-03-21,vs. IND,9800.00,38.83
2019-03-19,@ MIN,9400.00,23.62
2019-03-18,@ SAS,9400.00,35.68
2019-03-16,@ OKC,9300.00,29.32
2019-03-13,@ HOU,9200.00,24.42
2019-03-10,vs. PHX,9300.00,32.05
2019-03-08,vs. DEN,9100.00,25.04
2019-03-05,vs. BOS,9400.00,31.62
2019-03-02,@ PHI,9400.00,25.02
2019-02-28,@ ORL,9300.00,32.55
2019-02-27,@ MIA,9300.00,21.74
2019-02-25,@ CHA,9600.00,29.77
2019-02-23,vs. HOU,9500.00,28.5
2019-02-21,vs. SAC,9500.00,27.26
2019-02-17,vs. LBN,-,20.85
2019-02-13,@ POR,9100.00,23.06
2019-02-12,vs. UTA,9100.00,29.54
2019-02-10,vs. MIA,9200.00,32.09
2019-02-08,@ PHX,9200.00,23.93
2019-02-06,vs. SAS,9200.00,28.24
2019-02-02,vs. LAL,9500.00,30.59
2019-01-31,vs. PHI,9200.00,28.97
2019-01-28,@ IND,9600.00,23.06
2019-01-26,@ BOS,9800.00,31.28
2019-01-24,@ WAS,9800.00,34.29
2019-01-21,@ LAL,10000.00,31.33
2019-01-18,@ LAC,10400.00,18.75
2019-01-16,vs. NOP,10000.00,28.28
2019-01-15,@ DEN,10000.00,22.66
2019-01-13,@ DAL,10200.00,21.33
2019-01-11,vs. CHI,10200.00,26.78
2019-01-08,vs. NYK,10400.00,26.44
2019-01-05,@ SAC,10100.00,36.75
2019-01-03,vs. HOU,10400.00,27.11
2018-12-31,@ PHX,10100.00,18.07
2018-12-29,@ POR,9800.00,36.0
2018-12-27,vs. POR,9700.00,18.88
2018-12-25,vs. LAL,9700.00,24.58
2018-12-23,vs. LAC,9500.00,9.97
2018-12-22,vs. DAL,9400.00,23.26
2018-12-19,@ UTA,9200.00,31.5
2018-12-17,vs. MEM,9600.00,17.86
2018-12-14,@ SAC,9400.00,30.28
2018-12-12,vs. TOR,9400.00,20.79
2018-12-10,vs. MIN,9200.00,39.28
2018-12-07,@ MIL,9900.00,33.13
2018-12-05,@ CLE,9700.00,22.36
2018-12-03,@ ATL,9700.00,34.71
2018-12-01,@ DET,9600.00,21.87
2018-11-08,vs. MIL,10700.00,30.71
2018-11-05,vs. MEM,10700.00,17.24
2018-11-02,vs. MIN,10700.00,21.66
2018-10-31,vs. NOP,9900.00,20.61
2018-10-29,@ CHI,9800.00,18.75
2018-10-28,@ BKN,10000.00,36.71
2018-10-26,@ NYK,9900.00,35.09
2018-10-24,vs. WAS,9300.00,28.08
2018-10-22,vs. PHX,10200.00,27.07
2018-10-21,@ DEN,9800.00,27.2
2018-10-19,@ UTA,9600.00,20.15
2018-10-16,vs. OKC,9600.00,29.1
