Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,30.77
2019-03-27,@ MEM,9300.00,39.93
2019-03-24,vs. DET,9900.00,23.94
2019-03-21,vs. IND,9800.00,31.51
2019-03-19,@ MIN,9400.00,39.83
2019-03-18,@ SAS,9400.00,29.74
2019-03-16,@ OKC,9300.00,35.15
2019-03-13,@ HOU,9200.00,26.72
2019-03-10,vs. PHX,9300.00,19.45
2019-03-08,vs. DEN,9100.00,38.37
2019-03-05,vs. BOS,9400.00,24.88
2019-03-02,@ PHI,9400.00,34.17
2019-02-28,@ ORL,9300.00,33.08
2019-02-27,@ MIA,9300.00,39.44
2019-02-25,@ CHA,9600.00,28.68
2019-02-23,vs. HOU,9500.00,31.19
2019-02-21,vs. SAC,9500.00,46.58
2019-02-17,vs. LBN,-,35.44
2019-02-13,@ POR,9100.00,31.57
2019-02-12,vs. UTA,9100.00,30.1
2019-02-10,vs. MIA,9200.00,41.37
2019-02-08,@ PHX,9200.00,29.01
2019-02-06,vs. SAS,9200.00,26.93
2019-02-02,vs. LAL,9500.00,36.18
2019-01-31,vs. PHI,9200.00,41.14
2019-01-28,@ IND,9600.00,31.38
2019-01-26,@ BOS,9800.00,27.72
2019-01-24,@ WAS,9800.00,35.96
2019-01-21,@ LAL,10000.00,27.28
2019-01-18,@ LAC,10400.00,28.37
2019-01-16,vs. NOP,10000.00,29.66
2019-01-15,@ DEN,10000.00,38.73
2019-01-13,@ DAL,10200.00,37.25
2019-01-11,vs. CHI,10200.00,29.15
2019-01-08,vs. NYK,10400.00,30.88
2019-01-05,@ SAC,10100.00,35.61
2019-01-03,vs. HOU,10400.00,40.35
2018-12-31,@ PHX,10100.00,37.3
2018-12-29,@ POR,9800.00,37.85
2018-12-27,vs. POR,9700.00,28.5
2018-12-25,vs. LAL,9700.00,34.12
2018-12-23,vs. LAC,9500.00,35.54
2018-12-22,vs. DAL,9400.00,33.82
2018-12-19,@ UTA,9200.00,39.99
2018-12-17,vs. MEM,9600.00,36.48
2018-12-14,@ SAC,9400.00,32.2
2018-12-12,vs. TOR,9400.00,38.07
2018-12-10,vs. MIN,9200.00,32.18
2018-12-07,@ MIL,9900.00,40.6
2018-12-05,@ CLE,9700.00,33.15
2018-12-03,@ ATL,9700.00,42.72
2018-12-01,@ DET,9600.00,45.74
2018-11-08,vs. MIL,10700.00,46.52
2018-11-05,vs. MEM,10700.00,24.67
2018-11-02,vs. MIN,10700.00,27.95
2018-10-31,vs. NOP,9900.00,38.72
2018-10-29,@ CHI,9800.00,42.28
2018-10-28,@ BKN,10000.00,40.93
2018-10-26,@ NYK,9900.00,38.38
2018-10-24,vs. WAS,9300.00,31.56
2018-10-22,vs. PHX,10200.00,30.81
2018-10-21,@ DEN,9800.00,38.41
2018-10-19,@ UTA,9600.00,38.46
2018-10-16,vs. OKC,9600.00,30.71
